proj_id,player_id,player,team,pp_team,pp_opp_team,pp_game_id,pos,stat_type,line,odds_type,start_time,league_id,duration,line_num
10806340,298406,Uriah Tenette,UNM,UNM,,146471,G,Pts+Asts,16.5,standard,2026-03-24T21:00:00.000-04:00,20,Full,16.5
10791750,277636,Keaton Wagler,ILL,ILL,HOU,146296,G,Points,24.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,24.5
10791756,278364,Kingston Flemings,HOU,HOU,ILL,146296,G,Points,24.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,24.5
10793982,182904,Emanuel Sharp,HOU,HOU,ILL,146296,G,Points,24.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,24.5
10795298,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Pts+Rebs,24.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,24.5
10795301,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Pts+Rebs,24.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,24.5
10795303,278364,Kingston Flemings,HOU,HOU,ILL,146296,G,Pts+Rebs,24.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,24.5
10791706,282286,Andrej Stojakovic,ILL,ILL,HOU,146296,G,Points,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10791725,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Points,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10791732,182904,Emanuel Sharp,HOU,HOU,ILL,146296,G,Points,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10791749,277636,Keaton Wagler,ILL,ILL,HOU,146296,G,Points,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10791755,278364,Kingston Flemings,HOU,HOU,ILL,146296,G,Points,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10793986,218833,Milos Uzan,HOU,HOU,ILL,146296,G,Points,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10795297,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Pts+Rebs,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10795300,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Pts+Rebs,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10795305,219212,Tomislav Ivisic,ILL,ILL,HOU,146296,C,Pts+Rebs,19.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,19.5
10795203,282286,Andrej Stojakovic,ILL,ILL,HOU,146296,G,Points,17.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,17.5
10795207,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Points,17.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,17.5
10795211,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Points,17.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,17.5
10795213,277636,Keaton Wagler,ILL,ILL,HOU,146296,G,Points,17.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,17.5
10795215,278364,Kingston Flemings,HOU,HOU,ILL,146296,G,Points,17.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,17.5
10795218,219869,Kylan Boswell,ILL,ILL,HOU,146296,G,Points,17.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,17.5
10786779,278364,Kingston Flemings,HOU,HOU,ILL,146296,G,Points,15.5,standard,2026-03-26T13:00:00.000-04:00,20,Full,15.5
10786778,277636,Keaton Wagler,ILL,ILL,HOU,146296,G,Points,15.0,standard,2026-03-26T13:00:00.000-04:00,20,Full,15.0
10791705,282286,Andrej Stojakovic,ILL,ILL,HOU,146296,G,Points,14.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10791717,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Points,14.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10791743,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Points,14.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10791762,219869,Kylan Boswell,ILL,ILL,HOU,146296,G,Points,14.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10791768,308538,Mercy Miller,HOU,HOU,ILL,146296,G,Points,14.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10791774,218833,Milos Uzan,HOU,HOU,ILL,146296,G,Points,14.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10791782,219212,Tomislav Ivisic,ILL,ILL,HOU,146296,C,Points,14.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10794035,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Points,14.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10795296,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Pts+Rebs,14.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,14.5
10786775,182904,Emanuel Sharp,HOU,HOU,ILL,146296,G,Points,14.0,standard,2026-03-26T13:00:00.000-04:00,20,Full,14.0
10786773,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Points,13.5,standard,2026-03-26T13:00:00.000-04:00,20,Full,13.5
10791720,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Rebounds,12.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,12.5
10791729,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Rebounds,12.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,12.5
10794045,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Rebounds,11.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795205,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Points,11.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795208,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Points,11.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795209,182904,Emanuel Sharp,HOU,HOU,ILL,146296,G,Points,11.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795210,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Points,11.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795214,277636,Keaton Wagler,ILL,ILL,HOU,146296,G,Points,11.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795216,278364,Kingston Flemings,HOU,HOU,ILL,146296,G,Points,11.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795217,219869,Kylan Boswell,ILL,ILL,HOU,146296,G,Points,11.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795220,218833,Milos Uzan,HOU,HOU,ILL,146296,G,Points,11.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10795222,219212,Tomislav Ivisic,ILL,ILL,HOU,146296,C,Points,11.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,11.5
10786772,282286,Andrej Stojakovic,ILL,ILL,HOU,146296,G,Points,10.5,standard,2026-03-26T13:00:00.000-04:00,20,Full,10.5
10791761,219869,Kylan Boswell,ILL,ILL,HOU,146296,G,Points,10.5,standard,2026-03-26T13:00:00.000-04:00,20,Full,10.5
10786776,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Points,10.0,standard,2026-03-26T13:00:00.000-04:00,20,Full,10.0
10791775,218833,Milos Uzan,HOU,HOU,ILL,146296,G,Points,10.0,standard,2026-03-26T13:00:00.000-04:00,20,Full,10.0
10791704,282286,Andrej Stojakovic,ILL,ILL,HOU,146296,G,Points,9.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791710,219209,Ben Humrichous,ILL,ILL,HOU,146296,F,Points,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791716,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Points,9.5,standard,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791719,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Rebounds,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791724,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Points,9.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791728,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Rebounds,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791737,277635,Jake Davis,ILL,ILL,HOU,146296,F,Points,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791745,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Rebounds,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791767,308538,Mercy Miller,HOU,HOU,ILL,146296,G,Points,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791781,219212,Tomislav Ivisic,ILL,ILL,HOU,146296,C,Points,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791785,219212,Tomislav Ivisic,ILL,ILL,HOU,146296,C,Rebounds,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10791787,279058,Zvonimir Ivisic,ILL,ILL,HOU,146296,F-C,Points,9.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10794036,182904,Emanuel Sharp,HOU,HOU,ILL,146296,G,Points,9.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,9.5
10786774,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Rebounds,8.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,8.5
10791783,219212,Tomislav Ivisic,ILL,ILL,HOU,146296,C,Points,8.5,standard,2026-03-26T13:00:00.000-04:00,20,Full,8.5
10795302,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Rebounds,8.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,8.5
10795306,219212,Tomislav Ivisic,ILL,ILL,HOU,146296,C,Rebounds,8.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,8.5
10791721,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Rebounds,7.5,standard,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10791727,277634,David Mirkovic,ILL,ILL,HOU,146296,F,Rebounds,7.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10791766,308538,Mercy Miller,HOU,HOU,ILL,146296,G,Points,7.5,standard,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10794047,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Rebounds,7.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10794050,278364,Kingston Flemings,HOU,HOU,ILL,146296,G,Assists,7.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10794052,278364,Kingston Flemings,HOU,HOU,ILL,146296,G,Rebounds,7.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10794054,219212,Tomislav Ivisic,ILL,ILL,HOU,146296,C,Rebounds,7.5,demon,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10795204,282286,Andrej Stojakovic,ILL,ILL,HOU,146296,G,Points,7.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10795206,278362,Chris Cenac,HOU,HOU,ILL,146296,F-C,Points,7.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10795212,225269,Joseph Tugler,HOU,HOU,ILL,146296,F,Points,7.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,7.5
10795219,219869,Kylan Boswell,ILL,ILL,HOU,146296,G,Points,7.5,goblin,2026-03-26T13:00:00.000-04:00,20,Full,7.5
