proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,duration,line_num,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK
10776928,91710,braden smith|PUR,Braden Smith,braden smith,PUR,MIA,PUR,MIA,G,Fantasy Score,fantasy,Demon,41.0,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Fantasy Score,demon,Full,41.0,89,70.52,Above Avg,Above Avg,89
10776935,178699,trey kaufman renn|PUR,Trey Kaufman-Renn,trey kaufman renn,PUR,MIA,PUR,MIA,F,Fantasy Score,fantasy,Demon,39.0,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Fantasy Score,demon,Full,39.0,89,70.52,Above Avg,Above Avg,89
10776925,278851,malik reneau|MIA,Malik Reneau,malik reneau,MIA,PUR,MIA,PUR,F,Fantasy Score,fantasy,Demon,36.5,2026-03-22T12:10:00.000-04:00,145998,20,MIA,Fantasy Score,demon,Full,36.5,65,69.26,Elite,Elite,65
10776932,278852,tre donaldson|MIA,Tre Donaldson,tre donaldson,MIA,PUR,MIA,PUR,G,Fantasy Score,fantasy,Demon,35.5,2026-03-22T12:10:00.000-04:00,145998,20,MIA,Fantasy Score,demon,Full,35.5,65,69.26,Elite,Elite,65
10776920,91710,braden smith|PUR,Braden Smith,braden smith,PUR,MIA,PUR,MIA,G,Fantasy Score,fantasy,Standard,35.0,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Fantasy Score,standard,Full,35.0,89,70.52,Above Avg,Above Avg,89
10771302,178699,trey kaufman renn|PUR,Trey Kaufman-Renn,trey kaufman renn,PUR,MIA,PUR,MIA,F,Pts+Rebs,pr,Demon,34.5,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Pts+Rebs,demon,Full,34.5,89,70.52,Above Avg,Above Avg,89
10772028,278851,malik reneau|MIA,Malik Reneau,malik reneau,MIA,PUR,MIA,PUR,F,Pts+Rebs,pr,Demon,34.5,2026-03-22T12:10:00.000-04:00,145998,20,MIA,Pts+Rebs,demon,Full,34.5,65,69.26,Elite,Elite,65
10776927,279548,oscar cluff|PUR,Oscar Cluff,oscar cluff,PUR,MIA,PUR,MIA,C,Fantasy Score,fantasy,Demon,34.5,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Fantasy Score,demon,Full,34.5,89,70.52,Above Avg,Above Avg,89
10770305,91710,braden smith|PUR,Braden Smith,braden smith,PUR,MIA,PUR,MIA,G,Pts+Rebs+Asts,pra,Demon,33.5,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Pts+Rebs+Asts,demon,Full,33.5,89,70.52,Above Avg,Above Avg,89
10776926,178699,trey kaufman renn|PUR,Trey Kaufman-Renn,trey kaufman renn,PUR,MIA,PUR,MIA,F,Fantasy Score,fantasy,Standard,32.5,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Fantasy Score,standard,Full,32.5,89,70.52,Above Avg,Above Avg,89
10770303,91710,braden smith|PUR,Braden Smith,braden smith,PUR,MIA,PUR,MIA,G,Pts+Rebs+Asts,pra,Demon,31.5,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Pts+Rebs+Asts,demon,Full,31.5,89,70.52,Above Avg,Above Avg,89
10776916,278851,malik reneau|MIA,Malik Reneau,malik reneau,MIA,PUR,MIA,PUR,F,Fantasy Score,fantasy,Standard,31.0,2026-03-22T12:10:00.000-04:00,145998,20,MIA,Fantasy Score,standard,Full,31.0,65,69.26,Elite,Elite,65
10776918,278852,tre donaldson|MIA,Tre Donaldson,tre donaldson,MIA,PUR,MIA,PUR,G,Fantasy Score,fantasy,Standard,30.0,2026-03-22T12:10:00.000-04:00,145998,20,MIA,Fantasy Score,standard,Full,30.0,65,69.26,Elite,Elite,65
10770304,91710,braden smith|PUR,Braden Smith,braden smith,PUR,MIA,PUR,MIA,G,Pts+Rebs+Asts,pra,Demon,29.5,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Pts+Rebs+Asts,demon,Full,29.5,89,70.52,Above Avg,Above Avg,89
10771292,91710,braden smith|PUR,Braden Smith,braden smith,PUR,MIA,PUR,MIA,G,Pts+Asts,pa,Demon,29.5,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Pts+Asts,demon,Full,29.5,89,70.52,Above Avg,Above Avg,89
10771301,178699,trey kaufman renn|PUR,Trey Kaufman-Renn,trey kaufman renn,PUR,MIA,PUR,MIA,F,Pts+Rebs,pr,Demon,29.5,2026-03-22T12:10:00.000-04:00,145998,20,PUR,Pts+Rebs,demon,Full,29.5,89,70.52,Above Avg,Above Avg,89
