proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,duration,line_num,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK,team_id,espn_athlete_id,attach_status,stat_status,games_used,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,min_last5_avg,min_season_avg,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,model_dir_5
10859044,232538,azzi fudd|CONN,Azzi Fudd,azzi fudd,CONN,UNC,CONN,UNC,G,Points,pts,Demon,24.5,2026-03-27T17:00:00.000-04:00,146672,176,CONN,Points,demon,Full,24.5,92,70.63,Above Avg,Above Avg,92,,,NO_MATCH,OK,30,34.0,7.0,19.0,16.0,10.0,14.0,24.0,13.0,25.0,25.0,17.2,18.7,17.2,24.4,27.7,1,4,0,0.2,0.8,0.2,0.8,3,7,0,0.3,0.7,0.3,0.7,UNDER
10859066,224015,sarah strong|CONN,Sarah Strong,sarah strong,CONN,UNC,CONN,UNC,F,Points,pts,Demon,24.5,2026-03-27T17:00:00.000-04:00,146672,176,CONN,Points,demon,Full,24.5,92,70.63,Above Avg,Above Avg,92,,,NO_MATCH,OK,29,18.0,18.0,18.0,23.0,11.0,11.0,13.0,13.0,21.0,22.0,17.6,16.8,18.345,25.2,26.0,0,5,0,0.0,1.0,0.0,1.0,0,10,0,0.0,1.0,0.0,1.0,UNDER
10859026,298749,nyla harris|UNC,Nyla Harris,nyla harris,UNC,CONN,UNC,CONN,F,Points,pts,Demon,17.5,2026-03-27T17:00:00.000-04:00,146672,176,UNC,Points,demon,Full,17.5,19,66.0,Elite,Elite,19,,,NO_MATCH,OK,29,14.0,17.0,6.0,19.0,19.0,10.0,2.0,15.0,10.0,6.0,15.0,11.8,11.966,29.8,24.3,2,3,0,0.4,0.6,0.4,0.6,2,8,0,0.2,0.8,0.2,0.8,UNDER
10859029,309275,lanie grant|UNC,Lanie Grant,lanie grant,UNC,CONN,UNC,CONN,G,Points,pts,Demon,17.5,2026-03-27T17:00:00.000-04:00,146672,176,UNC,Points,demon,Full,17.5,19,66.0,Elite,Elite,19,,,NO_MATCH,OK,28,20.0,15.0,11.0,21.0,10.0,15.0,9.0,12.0,6.0,15.0,15.4,13.4,11.571,29.6,29.5,2,3,0,0.4,0.6,0.4,0.6,2,8,0,0.2,0.8,0.2,0.8,UNDER
10859035,286568,elina aarnisalo|UNC,Elina Aarnisalo,elina aarnisalo,UNC,CONN,UNC,CONN,G,Points,pts,Demon,17.5,2026-03-27T17:00:00.000-04:00,146672,176,UNC,Points,demon,Full,17.5,19,66.0,Elite,Elite,19,,,NO_MATCH,OK,29,21.0,7.0,17.0,18.0,22.0,20.0,11.0,13.0,8.0,7.0,17.0,14.4,10.483,35.8,26.2,3,2,0,0.6,0.4,0.6,0.4,4,6,0,0.4,0.6,0.4,0.6,OVER
10859063,309970,blanca quinonez|CONN,Blanca Quiñonez,blanca quinonez,CONN,UNC,CONN,UNC,F,Points,pts,Demon,17.5,2026-03-27T17:00:00.000-04:00,146672,176,CONN,Points,demon,Full,17.5,92,70.63,Above Avg,Above Avg,92,,,NO_MATCH,OK,24,18.0,15.0,13.0,5.0,9.0,5.0,10.0,7.0,4.0,16.0,12.0,10.2,10.167,20.2,20.5,1,4,0,0.2,0.8,0.2,0.8,1,9,0,0.1,0.9,0.1,0.9,UNDER
10859025,298749,nyla harris|UNC,Nyla Harris,nyla harris,UNC,CONN,UNC,CONN,F,Points,pts,Demon,14.5,2026-03-27T17:00:00.000-04:00,146672,176,UNC,Points,demon,Full,14.5,19,66.0,Elite,Elite,19,,,NO_MATCH,OK,29,14.0,17.0,6.0,19.0,19.0,10.0,2.0,15.0,10.0,6.0,15.0,11.8,11.966,29.8,24.3,3,2,0,0.6,0.4,0.6,0.4,4,6,0,0.4,0.6,0.4,0.6,OVER
10859030,309275,lanie grant|UNC,Lanie Grant,lanie grant,UNC,CONN,UNC,CONN,G,Points,pts,Demon,14.5,2026-03-27T17:00:00.000-04:00,146672,176,UNC,Points,demon,Full,14.5,19,66.0,Elite,Elite,19,,,NO_MATCH,OK,28,20.0,15.0,11.0,21.0,10.0,15.0,9.0,12.0,6.0,15.0,15.4,13.4,11.571,29.6,29.5,3,2,0,0.6,0.4,0.6,0.4,5,5,0,0.5,0.5,0.5,0.5,OVER
10859036,286568,elina aarnisalo|UNC,Elina Aarnisalo,elina aarnisalo,UNC,CONN,UNC,CONN,G,Points,pts,Demon,14.5,2026-03-27T17:00:00.000-04:00,146672,176,UNC,Points,demon,Full,14.5,19,66.0,Elite,Elite,19,,,NO_MATCH,OK,29,21.0,7.0,17.0,18.0,22.0,20.0,11.0,13.0,8.0,7.0,17.0,14.4,10.483,35.8,26.2,4,1,0,0.8,0.2,0.8,0.2,5,5,0,0.5,0.5,0.5,0.5,OVER
10859039,279614,indya nivar|UNC,Indya Nivar,indya nivar,UNC,CONN,UNC,CONN,G,Points,pts,Demon,14.5,2026-03-27T17:00:00.000-04:00,146672,176,UNC,Points,demon,Full,14.5,19,66.0,Elite,Elite,19,,,NO_MATCH,OK,28,11.0,11.0,10.0,7.0,9.0,4.0,10.0,12.0,14.0,9.0,9.6,9.7,10.0,28.6,29.3,0,5,0,0.0,1.0,0.0,1.0,0,10,0,0.0,1.0,0.0,1.0,UNDER
