TEAM_ABBREVIATION,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER
ATL,116.4,89.6,42.5,36.6,13.1,23.2,16.1,52.99999999999999,29.4,58.8,18,14,15,18,19,21,19,19,13,4,17.516129032258064,20,Avg
BOS,106.8,86.6,38.1,39.1,13.9,21.4,12.4,47.49999999999999,24.200000000000003,48.400000000000006,1,22,25,6,2,1,2,2,4,29,4.43010752688172,1,Elite
BKN,115.4,84.7,41.9,32.6,12.4,24.9,14.4,52.1,29.5,59.0,16,4,1,1,14,15,23,23,24,17,14.483870967741934,13,Above Avg
CHA,111.7,88.0,41.1,35.6,12.8,20.7,12.6,52.4,28.3,56.6,8,11,8,10,10,17,12,12,1,28,9.010752688172042,8,Above Avg
CHI,121.0,93.7,44.6,38.1,14.0,23.0,12.7,55.6,30.6,61.2,27,25,21,29,28,28,27,27,12,27,25.924731182795696,28,Weak
CLE,115.2,88.9,41.2,37.9,13.9,23.8,15.3,51.00000000000001,27.300000000000004,54.60000000000001,15,22,20,15,11,11,6,6,17,11,13.61290322580645,12,Above Avg
DAL,118.9,93.9,44.7,36.7,12.7,22.0,13.4,57.2,32.0,64.0,23,8,16,30,30,30,29,29,7,24,23.236559139784944,24,Weak
DEN,116.6,90.9,42.6,38.6,13.4,23.2,11.8,52.300000000000004,29.200000000000003,58.400000000000006,20,16,23,25,21,16,17,17,13,30,19.236559139784944,21,Avg
DET,109.5,85.2,37.7,36.5,12.6,27.2,17.0,48.7,25.1,50.2,3,7,12,2,1,4,3,3,30,1,5.21505376344086,2,Elite
GSW,114.9,88.5,42.3,35.8,12.8,21.8,16.0,52.7,29.499999999999996,58.99999999999999,12,11,9,14,18,18,22,22,6,5,14.494623655913978,14,Above Avg
HOU,110.1,88.1,40.5,35.3,12.5,22.1,13.5,52.8,28.0,56.0,4,6,6,12,7,20,10,10,8,22,7.032258064516128,5,Elite
IND,120.6,90.1,44.3,33.6,11.9,26.1,13.5,56.49999999999999,32.4,64.8,26,1,2,21,26,29,30,30,27,22,23.50537634408602,26,Weak
LAC,112.5,87.5,41.0,36.5,13.5,21.5,14.3,51.0,27.5,55.0,10,17,12,7,9,9,8,8,5,19,9.462365591397848,9,Above Avg
LAL,114.9,88.0,42.5,36.3,12.9,21.3,14.7,51.7,29.6,59.2,12,13,11,10,19,14,24,24,3,13,14.559139784946236,15,Avg
MEM,119.2,90.6,43.3,38.9,14.1,23.7,15.6,51.699999999999996,29.199999999999996,58.39999999999999,24,26,24,22,23,13,16,16,16,7,21.806451612903224,23,Weak
MIA,117.9,92.8,42.9,39.2,13.9,22.5,15.4,53.599999999999994,29.0,58.0,22,22,27,28,22,22,15,15,10,10,20.483870967741932,22,Avg
MIL,116.9,87.8,41.6,39.7,14.8,24.2,13.2,48.099999999999994,26.8,53.6,21,29,28,9,13,3,5,5,20,25,16.18279569892473,17,Avg
MIN,114.4,89.7,41.3,34.7,12.4,25.0,15.0,55.0,28.9,57.8,11,4,4,20,12,26,14,14,26,12,13.204301075268816,11,Above Avg
NOP,119.5,91.5,43.6,40.5,14.2,23.5,14.5,51.0,29.400000000000002,58.800000000000004,25,27,29,26,24,9,20,20,15,15,23.44086021505376,25,Weak
NYK,110.5,85.9,39.4,38.4,13.8,22.9,14.4,47.50000000000001,25.599999999999998,51.199999999999996,5,21,22,4,4,2,4,4,11,17,6.75268817204301,4,Elite
OKC,107.6,88.2,38.4,39.1,14.3,22.1,16.8,49.1,24.099999999999998,48.199999999999996,2,28,25,13,3,5,1,1,8,2,6.548387096774193,3,Elite
ORL,115.1,87.6,41.9,33.7,11.9,24.9,14.6,53.89999999999999,30.0,60.0,14,1,3,8,14,24,25,25,24,14,14.591397849462364,16,Avg
PHI,116.5,89.3,41.9,37.8,13.5,24.5,15.6,51.5,28.4,56.8,19,17,19,17,14,12,13,13,22,7,16.78494623655914,18,Avg
PHX,111.1,85.4,40.2,35.0,12.1,23.8,16.2,50.400000000000006,28.1,56.2,6,3,5,3,6,8,11,11,17,3,7.10752688172043,6,Elite
POR,116.1,89.6,42.1,35.4,12.7,24.4,15.6,54.199999999999996,29.400000000000002,58.800000000000004,17,8,7,18,17,25,20,20,21,7,16.96774193548387,19,Avg
SAC,121.1,89.2,44.1,36.5,13.7,24.5,14.0,52.7,30.400000000000002,60.800000000000004,28,20,12,16,25,18,26,26,22,20,24.36559139784946,27,Weak
SAS,111.2,90.8,40.8,37.0,13.1,20.9,13.2,53.8,27.699999999999996,55.39999999999999,7,14,17,24,8,23,9,9,2,25,9.688172043010752,10,Above Avg
TOR,112.0,86.1,40.1,36.1,12.7,24.0,16.0,49.99999999999999,27.400000000000002,54.800000000000004,9,8,10,5,5,7,7,7,19,5,8.139784946236558,7,Elite
UTA,125.4,90.7,44.6,41.4,15.4,27.0,14.5,49.300000000000004,29.200000000000003,58.400000000000006,30,30,30,23,28,6,17,17,28,15,26.548387096774192,29,Weak
WAS,124.0,92.2,44.5,37.2,13.6,27.0,13.7,55.0,30.9,61.8,29,19,18,27,27,26,28,28,28,21,27.032258064516128,30,Weak
