projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,pos,team,opp_team,prop_type,line,standard_line,pick_type,pp_home_team,pp_away_team,image_url,game_date
11533572,11533572,173789,152987,2026-04-22T19:00:00.000-04:00,Ausar Thompson,G-F,DET,,Pts+Asts,12.5,12.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Ausar_Thompson_NBA_player_7Obr7GoiKRNtF8Nj1LYUn3gX.webp,2026-04-22
11575629,11575629,173641,152987,2026-04-22T19:00:00.000-04:00,Anthony Black,G,ORL,,Pts+Asts,12.5,,Demon,,,https://static.prizepicks.com/images/players/NBA/Anthony_Black_NBA_player_suwF3Oh8vV0aS9mPHjiv2L8n.webp,2026-04-22
11533707,11533707,55372,152987,2026-04-22T19:00:00.000-04:00,Franz Wagner,F,ORL,,Rebs+Asts,7.5,7.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22
11538283,11538283,188001,152987,2026-04-22T19:00:00.000-04:00,Paolo Banchero,F,ORL,,FG Made,6.5,,Goblin,,,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-04-22
11578923,11578923,272587,153016,2026-04-22T21:30:00.000-04:00,Jalen Green,G,PHX,,Fantasy Score,37.0,,Demon,,,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22
11578909,11578909,272587,153016,2026-04-22T21:30:00.000-04:00,Jalen Green,G,PHX,,Fantasy Score,31.0,31.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22
11578916,11578916,272587,153016,2026-04-22T21:30:00.000-04:00,Jalen Green,G,PHX,,Fantasy Score,25.0,,Goblin,,,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22
11530049,11530049,93905,153016,2026-04-22T21:30:00.000-04:00,Chet Holmgren,C-F,OKC,,Pts+Rebs,24.5,,Goblin,,,https://static.prizepicks.com/images/players/NBA/Chet_Holmgren_NBA_player_vJ4nqK6iuXIrNmp4iJ5ZwfEC.webp,2026-04-22
11534198,11534198,220343,153016,2026-04-22T21:30:00.000-04:00,Isaiah Hartenstein,C-F,OKC,,Pts+Asts,8.5,,Goblin,,,https://static.prizepicks.com/images/manual/Isaiah_Hartenstein.png,2026-04-22
11532522,11532522,79951,153016,2026-04-22T21:30:00.000-04:00,Jalen Williams,G-F,OKC,,Two Pointers Made,5.5,5.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Williams_NBA_player_Gy76x01bCh1JQzfiqKe7Luxi.webp,2026-04-22
11532542,11532542,10798,153016,2026-04-22T21:30:00.000-04:00,Luguentz Dort,G,OKC,,FG Attempted,5.5,5.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Luguentz_Dort_NBA_player_e1jWAiWanPNpRtbYeXm01a9Q.webp,2026-04-22
11577609,11577609,272587,153016,2026-04-22T21:30:00.000-04:00,Jalen Green,G,PHX,,Rebounds,5.0,5.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22
11530180,11530180,272587,153016,2026-04-22T21:30:00.000-04:00,Jalen Green,G,PHX,,Rebounds,4.5,,Goblin,,,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,2026-04-22
11536194,11536194,10798,153016,2026-04-22T21:30:00.000-04:00,Luguentz Dort,G,OKC,,3-PT Attempted,4.5,,Demon,,,https://static.prizepicks.com/images/players/NBA/Luguentz_Dort_NBA_player_e1jWAiWanPNpRtbYeXm01a9Q.webp,2026-04-22
11578798,11578798,271602,152987,2026-04-22T19:00:00.000-04:00,Desmond Bane,G,ORL,,Fantasy Score,39.0,,Demon,,,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22
11578811,11578811,55372,152987,2026-04-22T19:00:00.000-04:00,Franz Wagner,F,ORL,,Fantasy Score,35.5,,Demon,,,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22
11534096,11534096,314407,152987,2026-04-22T19:00:00.000-04:00,Tobias Harris + Franz Wagner,F,DET/ORL,,Points (Combo),33.0,33.0,Standard,,,https://static.prizepicks.com/images/players/CMBO_group_gWDvXNlziZpprsQuBANLQINj.webp,2026-04-22
11578791,11578791,271602,152987,2026-04-22T19:00:00.000-04:00,Desmond Bane,G,ORL,,Fantasy Score,32.5,32.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22
11578797,11578797,55372,152987,2026-04-22T19:00:00.000-04:00,Franz Wagner,F,ORL,,Fantasy Score,29.5,29.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22
11578808,11578808,271602,152987,2026-04-22T19:00:00.000-04:00,Desmond Bane,G,ORL,,Fantasy Score,27.0,,Goblin,,,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22
11533644,11533644,271602,152987,2026-04-22T19:00:00.000-04:00,Desmond Bane,G,ORL,,Pts+Rebs+Asts,26.5,26.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-04-22
11533699,11533699,55372,152987,2026-04-22T19:00:00.000-04:00,Franz Wagner,F,ORL,,Pts+Rebs+Asts,25.5,25.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22
11578801,11578801,55372,152987,2026-04-22T19:00:00.000-04:00,Franz Wagner,F,ORL,,Fantasy Score,24.5,,Goblin,,,https://static.prizepicks.com/images/players/NBA/Franz_Wagner_NBA_player_ADVHCGrSiQgQ2jmJ9hs3oR7u.webp,2026-04-22
11534121,11534121,87848,152987,2026-04-22T19:00:00.000-04:00,Jalen Duren,C,DET,,Pts+Asts,20.5,20.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,2026-04-22
11534126,11534126,188001,152987,2026-04-22T19:00:00.000-04:00,Paolo Banchero,F,ORL,,Points,20.5,20.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-04-22
11533816,11533816,216580,152987,2026-04-22T19:00:00.000-04:00,Tobias Harris,F,DET,,Pts+Asts,18.5,18.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Tobias_Harris_NBA_player_tGwMomg94AAFiXYjH5vFThKq.webp,2026-04-22
11538065,11538065,87848,152987,2026-04-22T19:00:00.000-04:00,Jalen Duren,C,DET,,Pts+Asts,18.5,,Goblin,,,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,2026-04-22
11533733,11533733,87848,152987,2026-04-22T19:00:00.000-04:00,Jalen Duren,C,DET,,Rebs+Asts,13.5,,Demon,,,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,2026-04-22
