nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg
1641705,10806680,10806680,173819,138259,2026-03-23T19:00:00.000-04:00,,,Victor Wembanyama,F-C,SAS,MIA,61.5,Fantasy Score,fantasy,Demon,54.5,1,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,5104157,60.6,71.9,40.6,64.6,88.4,77.2,63.6,67.5,89.2,56.1,65.22,67.97,67.97,3,2,0,0.6,0.6,0.4,0.7,0.3,OK,29.6
1628389,10806650,10806650,188000,138259,2026-03-23T19:00:00.000-04:00,,,Bam Adebayo,C-F,MIA,SAS,48.5,Fantasy Score,fantasy,Demon,41.5,1,https://static.prizepicks.com/images/players/NBA/Bam_Adebayo_NBA_player_k5AKrt98DD5x7VKXQ6GPiPz1.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4066261,80.2,58,52.4,40.1,115.8,55.3,60.9,42.4,65.8,53.2,69.3,62.41,62.41,4,1,0,0.8,0.8,0.2,0.8,0.2,OK,39.6
1641705,10806671,10806671,173819,138259,2026-03-23T19:00:00.000-04:00,,,Victor Wembanyama,F-C,SAS,MIA,48.5,Fantasy Score,fantasy,Goblin,54.5,1,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,5104157,60.6,71.9,40.6,64.6,88.4,77.2,63.6,67.5,89.2,56.1,65.22,67.97,67.97,4,1,0,0.8,0.8,0.2,0.9,0.1,OK,29.6
1642264,10806677,10806677,217804,138259,2026-03-23T19:00:00.000-04:00,,,Stephon Castle,G,SAS,MIA,43.0,Fantasy Score,fantasy,Demon,36.5,1,https://static.prizepicks.com/images/players/NBA/Stephon_Castle_NBA_player_3nImU3v39rqjCKdKG1wdfekq.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4845367,31.7,49.9,49.4,75.7,42.8,39.1,26.1,48.7,47.8,31.8,49.9,44.3,44.3,3,2,0,0.6,0.6,0.4,0.5,0.5,OK,31.2
1629639,10806664,10806664,10776,138259,2026-03-23T19:00:00.000-04:00,,,Tyler Herro,G,MIA,SAS,42.0,Fantasy Score,fantasy,Demon,35.5,1,https://static.prizepicks.com/images/players/NBA/Tyler_Herro_NBA_player_Bz7r2msPv6LxaUBsQ7Zgi8st.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4395725,46.7,42.6,43.1,32.2,45.7,68.8,41.3,34.6,31.4,48.8,42.06,43.52,43.52,4,1,0,0.8,0.8,0.2,0.6,0.4,OK,32.8
1628368,10806666,10806666,226913,138259,2026-03-23T19:00:00.000-04:00,,,De'Aaron Fox,G,SAS,MIA,41.0,Fantasy Score,fantasy,Demon,34.5,1,https://static.prizepicks.com/images/players/NBA/De'Aaron_Fox_NBA_player_ey65igBBNutBRz0ibXh85IuZ.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg,4066259,35.1,41.9,39,40.1,43.7,51.6,50.1,47.4,41.9,54.5,39.96,44.53,44.53,2,3,0,0.4,0.4,0.6,0.7,0.3,OK,29
1628389,10806640,10806640,188000,138259,2026-03-23T19:00:00.000-04:00,,,Bam Adebayo,C-F,MIA,SAS,35.5,Fantasy Score,fantasy,Goblin,41.5,1,https://static.prizepicks.com/images/players/NBA/Bam_Adebayo_NBA_player_k5AKrt98DD5x7VKXQ6GPiPz1.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4066261,80.2,58,52.4,40.1,115.8,55.3,60.9,42.4,65.8,53.2,69.3,62.41,62.41,5,0,0,1,1,0,1,0,OK,39.6
1626181,10806669,10806669,271615,138259,2026-03-23T19:00:00.000-04:00,,,Norman Powell,G,MIA,SAS,34.5,Fantasy Score,fantasy,Demon,28.5,1,https://static.prizepicks.com/images/players/NBA/Norman_Powell_NBA_player_iZ2Zi8YLXUk9dnKXL0euVv1I.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,2595516,37.4,36.7,33.2,9.6,39.2,50.4,29.1,8.9,1,35.3,31.22,28.08,28.08,3,2,0,0.6,0.6,0.4,0.5,0.5,OK,27
203952,10806638,10806638,227725,138259,2026-03-23T19:00:00.000-04:00,,,Andrew Wiggins,F,MIA,SAS,32.5,Fantasy Score,fantasy,Demon,26.5,1,https://static.prizepicks.com/images/players/NBA/Andrew_Wiggins_NBA_player_yKQK0gmYfGjWuANzVD4ek19k.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,3059319,20.3,40.9,38.7,30.9,51.6,49.9,32.9,44,47,45.7,36.48,40.19,40.19,3,2,0,0.6,0.6,0.4,0.8,0.2,OK,29
1631170,10806657,10806657,177386,138259,2026-03-23T19:00:00.000-04:00,,,Jaime Jaquez,G,MIA,SAS,31.5,Fantasy Score,fantasy,Demon,25.5,1,https://static.prizepicks.com/images/players/NBA/Jaime_Jaquez_NBA_player_93WtzdYg1jI8Uxy2vKBQ4a6X.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg,4432848,15.7,47.9,21.3,24.7,44.2,34.9,40.4,43,25.6,36.8,30.76,33.45,33.45,2,3,0,0.4,0.4,0.6,0.6,0.4,OK,27.8
