nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,data_source,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
202695,10938573,10938573,188019,139684,2026-03-29T15:30:00.000-04:00,,,Kawhi Leonard,F,LAC,MIL,52.5,Fantasy Score,fantasy,Demon,46.0,1,https://static.prizepicks.com/images/players/nba/Kawhi_Leonard_c12fb587-fc86-471c-8a84-19caf31325ce.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,6450.0,nba_db,57.6,44.2,55.5,60.1,46.6,48.2,44.8,71.5,60.4,47.5,52.8,53.64,53.64,3.0,2.0,0.0,0.6,0.6,0.4,0.5,0.5,OK,31.0,OK,5.0,3.0,2.0,0.0,0.6,0.4
1631157,10938599,10938599,195543,139684,2026-03-29T15:30:00.000-04:00,,,Ryan Rollins,G,MIL,LAC,45.5,Fantasy Score,fantasy,Demon,38.5,1,https://static.prizepicks.com/images/players/NBA/Ryan_Rollins_NBA_player_IPpG6WGpDyZfnDShFjrfJveN.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.2,27.6,55.2,10.0,16.0,12.0,8.0,9.0,11.0,8.0,8.0,5.0,19.0,9.462365591397848,9.0,Above Avg,4591725.0,nba_db,27.2,57.8,36.8,68.0,30.6,37.1,46.4,49.6,50.0,34.1,44.08,43.76,43.76,2.0,3.0,0.0,0.4,0.4,0.6,0.5,0.5,OK,27.8,OK,5.0,2.0,3.0,0.0,0.4,0.6
202695,10938584,10938584,188019,139684,2026-03-29T15:30:00.000-04:00,,,Kawhi Leonard,F,LAC,MIL,39.5,Fantasy Score,fantasy,Goblin,46.0,1,https://static.prizepicks.com/images/players/nba/Kawhi_Leonard_c12fb587-fc86-471c-8a84-19caf31325ce.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,6450.0,nba_db,57.6,44.2,55.5,60.1,46.6,48.2,44.8,71.5,60.4,47.5,52.8,53.64,53.64,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,31.0,OK,5.0,5.0,0.0,0.0,1.0,0.0
1629636,10938575,10938575,304023,139684,2026-03-29T15:30:00.000-04:00,,,Darius Garland,G,LAC,MIL,39.0,Fantasy Score,fantasy,Demon,33.0,1,https://static.prizepicks.com/images/manual/Darius_GarlandLAC.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,4396907.0,nba_db,43.0,49.3,33.9,79.6,31.2,56.9,48.6,42.7,46.7,39.3,47.4,47.12,47.12,3.0,2.0,0.0,0.6,0.6,0.4,0.8,0.2,OK,30.2,OK,5.0,3.0,2.0,0.0,0.6,0.4
1631097,10938568,10938568,299981,139684,2026-03-29T15:30:00.000-04:00,,,Bennedict Mathurin,G-F,LAC,MIL,34.5,Fantasy Score,fantasy,Demon,28.5,1,https://static.prizepicks.com/images/manual/BennedictMathurin.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,4683634.0,nba_db,33.9,44.8,34.8,38.7,43.2,36.4,45.4,50.0,16.1,49.1,39.08,39.24,39.24,4.0,1.0,0.0,0.8,0.8,0.2,0.8,0.2,OK,30.6,OK,5.0,4.0,1.0,0.0,0.8,0.2
1631157,10938589,10938589,195543,139684,2026-03-29T15:30:00.000-04:00,,,Ryan Rollins,G,MIL,LAC,32.5,Fantasy Score,fantasy,Goblin,38.5,1,https://static.prizepicks.com/images/players/NBA/Ryan_Rollins_NBA_player_IPpG6WGpDyZfnDShFjrfJveN.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.2,27.6,55.2,10.0,16.0,12.0,8.0,9.0,11.0,8.0,8.0,5.0,19.0,9.462365591397848,9.0,Above Avg,4591725.0,nba_db,27.2,57.8,36.8,68.0,30.6,37.1,46.4,49.6,50.0,34.1,44.08,43.76,43.76,3.0,2.0,0.0,0.6,0.6,0.4,0.8,0.2,OK,27.8,OK,5.0,3.0,2.0,0.0,0.6,0.4
1631172,10938598,10938598,300650,139684,2026-03-29T15:30:00.000-04:00,,,Ousmane Dieng,F,MIL,LAC,30.5,Fantasy Score,fantasy,Demon,25.5,1,https://static.prizepicks.com/images/manual/Ousmane_Dieng.png,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.2,27.6,55.2,10.0,16.0,12.0,8.0,9.0,11.0,8.0,8.0,5.0,19.0,9.462365591397848,9.0,Above Avg,4997526.0,nba_db,41.7,33.3,22.0,23.4,29.7,35.5,-0.5,44.0,19.8,39.1,30.02,28.8,28.8,2.0,3.0,0.0,0.4,0.4,0.6,0.5,0.5,OK,30.8,OK,5.0,2.0,3.0,0.0,0.4,0.6
1626167,10938596,10938596,269527,139684,2026-03-29T15:30:00.000-04:00,,,Myles Turner,C-F,MIL,LAC,29.0,Fantasy Score,fantasy,Demon,23.5,1,https://static.prizepicks.com/images/players/NBA/Myles_Turner_NBA_player_m62QTJhZKxz0vSvMk9qKafM.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.2,27.6,55.2,10.0,16.0,12.0,8.0,9.0,11.0,8.0,8.0,5.0,19.0,9.462365591397848,9.0,Above Avg,3133628.0,nba_db,39.2,12.5,19.1,9.6,29.3,19.7,17.8,46.3,7.0,18.1,21.94,21.86,21.86,2.0,3.0,0.0,0.4,0.4,0.6,0.3,0.7,OK,23.4,OK,5.0,2.0,3.0,0.0,0.4,0.6
1628398,10938579,10938579,227344,139684,2026-03-29T15:30:00.000-04:00,,,Kyle Kuzma,F,MIL,LAC,28.0,Fantasy Score,fantasy,Demon,23.0,1,https://static.prizepicks.com/images/players/NBA/Kyle_Kuzma_NBA_player_CzuU40biz9ZDpj2ZXS5rpoIs.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.2,27.6,55.2,10.0,16.0,12.0,8.0,9.0,11.0,8.0,8.0,5.0,19.0,9.462365591397848,9.0,Above Avg,3134907.0,nba_db,31.9,24.5,9.5,33.1,22.3,15.6,56.6,33.9,25.4,22.1,24.26,27.49,27.49,2.0,3.0,0.0,0.4,0.4,0.6,0.4,0.6,OK,24.0,OK,5.0,2.0,3.0,0.0,0.4,0.6
1629636,10938565,10938565,304023,139684,2026-03-29T15:30:00.000-04:00,,,Darius Garland,G,LAC,MIL,27.0,Fantasy Score,fantasy,Goblin,33.0,1,https://static.prizepicks.com/images/manual/Darius_GarlandLAC.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,4396907.0,nba_db,43.0,49.3,33.9,79.6,31.2,56.9,48.6,42.7,46.7,39.3,47.4,47.12,47.12,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,30.2,OK,5.0,5.0,0.0,0.0,1.0,0.0
