nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,data_source,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,opp_l10_pts,opp_l10_reb,opp_l10_ast,opp_l10_stl,opp_l10_blk,opp_last_game_pts,opp_last_game_reb,opp_last_game_ast,opp_last_game_date,opp_games_played,opp_home_avg_pts,opp_away_avg_pts,opp_last_3_avg_pts,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source,ctx_adj,days_rest,b2b_flag,home_away,rest_adj,schedule_source,h2h_last_stat,h2h_last_date,h2h_games_vs_opp,h2h_avg,h2h_over_rate,h2h_over_rate_l5,h2h_source,usage_boost,usage_boost_proj,usage_boost_reason,usage_boost_source,projection,edge,abs_edge,edge_norm,edge_norm_mag,player_floor_p10,avg_win_margin,player_hr_historical,opp_hr_historical,floor_clears_line,line_gap,dir_line_gap,dir_line_gap_norm,forced_over_only,bet_direction,eligible,void_reason,edge_dr,line_hit_rate,composite_hit_rate,l5_vs_same_opp_hit_rate,minutes_certainty,prop_weight,reliability_mult,def_adj,is_playoff_game,pace_adj,opp_prop_adj,projection_adj,edge_adj,edge_adj_norm,edge_adj_dr,def_rank_signal,prop_hr_prior,stat_last5_avg_num,stat_last10_avg_num,stat_season_avg_num,avg_vs_line,edge_z,line_hit_z,min_z,def_rank_z,avg_vs_line_z,prop_hr_z,intel_shr_z,intel_def_z,intel_cons_z,pace_z,usage_bonus,l5_support_mod,rank_score_raw,rank_score,assist_non_pg_high_var,ml_prob,ml_edge,final_score,consistency_grade,consistency_multiplier,game_script_mult,game_script_note,rank_score_final,tier,tier_encoded,pick_type_encoded,direction_encoded,line_score,def_rank,def_tier_encoded,hit_rate_L5,hit_rate_L10,avg_L5_vs_line,avg_L10_vs_line,prop_score,sport_encoded,minutes_cv,minutes_trend,role_type_encoded,dominance_pct,specialization_rank,minutes_tier_label,edge_score,blended_score,model_dir,final_bet_direction,final_dir_reason
1631109|1631114,11532882,11532882,314619,153016,2026-04-22T21:30:00.000-04:00,OKC,,Jalen Williams + Mark Williams,G-F,OKC/PHX,OKC/PHX,12,Rebounds (Combo),rebounds(combo),Standard,12,0,https://static.prizepicks.com/images/players/CMBO_group_BXzkiyDILCsaaKc4SB2BQoT.webp,2026-04-22,Jalen Williams,Mark Williams,OKC,PHX,OK,1,,,,,,,,,,,,,,,,,,,,,,,,4593803,nba_db,7,6,2,9,1,6,3,4,4,3,5,4.5,4.5,0,5,0,0,0,1,0,1,OK,,OK,5,0,5,0,0,1,,5,0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,215.5,-17.5,116.5,True,False,NORMAL,live,-0.05,2,False,HOME,0.02,cache,,,0,,,,,0,0,,none,4.75,-7.25,7.25,-0.6041666666666666,0.6041666666666666,,,,,,,,0.5,0,UNDER,1,,0.6516032570118714,1,1,,0.8,0.93,1,0,False,0.029,0,4.74525,-7.25475,-0.6045625,0.6519661147923137,,0.455,5,4.5,4.5,0.6041666666666667,0.3806143216261789,2.517045917802909,-1.331162248849462,,3.283622818375955,-0.8286399245628538,0,0,0,0.9792493045301013,0,0.12,0.6821333591627018,0.671999029509175,0,0.8694153818049294,0.02607947587966919,0.671999029509175,?,0.95,0.97,No spread data: 0.97x default,0.671999029509175,C,1,1,0,12,,,1,1,-0.5833333333333334,-0.625,0.671999029509175,0,,1.111111111111111,1,1,1,UNKNOWN,-0.1298749477959701,0.9608246145414787,UNDER,UNDER,
1626164,11530075,11530075,188014,153016,2026-04-22T21:30:00.000-04:00,,PHX,Devin Booker,G,PHX,OKC,17.5,Points,pts,Goblin,22.5,3,https://static.prizepicks.com/images/players/NBA/Devin_Booker_NBA_player_hFxfQ4HSfTF5eG5yhA81zf4O.webp,2026-04-22,,,,,OK,0,107.5,88.2,38.3,39.1,14.3,22.2,16.8,49.1,24,47.99999999999999,2,28,25,11,3,5,1,1,9,2,6.419354838709676,3,Elite,3136193,nba_db,23,20,22,37,31,30,22,34,36,26,26.6,28.1,28.1,5,0,0,1,1,0,1,0,OK,37.8,OK,5,5,0,0,1,0,37.8,26.6,3,HIGH_VOL,PRIMARY,22.67,6.67,5.67,0.33,0.33,23,6,2,2026-04-19,3,24,22,22.67,215.5,17.5,99,True,False,NORMAL,live,-0.05,2,False,AWAY,0,cache,23,2026-04-19,3,22.67,1,1,opp,0,0,,none,27.35,9.850000000000001,9.850000000000001,0.562857142857143,0.562857142857143,,,,,,,,0.5,1,OVER,1,,0.6135337452363393,1,1,1,1,1,1.08,-0.048,True,-0.029,0,23.87655,6.376549999999998,0.3643742857142856,0.4239509010543028,-0.8620689655172413,0.58,26.6,28.1,28.1,0.562857142857143,0.3056223180497887,2.126201642661182,1.437241261877308,-0.6795086604019787,0.7438743500089322,1.031217005296493,0,0,0,-1.020701426281222,0,0.12,0.6036849898124692,0.4959108106250019,0,0.8663858682714782,0.2230881452560425,0.4959108106250019,?,0.95,0.8,"PHX -17.5 pt margin vs ?, pts: 0.80x game script (dog; spread_risk 0.80, total_risk 1.00)",0.4959108106250019,C,1,2,1,17.5,3,4,1,1,0.5200000000000001,0.6057142857142858,0.4959108106250019,0,,0.9466192170818505,3,1.775381263616558,1,HIGH,-0.1335613873176258,0.9599157604814434,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
1626164,11530080,11530080,188014,153016,2026-04-22T21:30:00.000-04:00,,PHX,Devin Booker,G,PHX,OKC,24.5,Pts+Asts,pa,Goblin,28.5,2,https://static.prizepicks.com/images/players/NBA/Devin_Booker_NBA_player_hFxfQ4HSfTF5eG5yhA81zf4O.webp,2026-04-22,,,,,OK,0,107.5,88.2,38.3,39.1,14.3,22.2,16.8,49.1,24,47.99999999999999,2,28,25,11,3,5,1,1,9,2,6.419354838709676,3,Elite,3136193,nba_db,25,28,26,46,39,34,28,41,41,34,32.8,34.2,34.2,5,0,0,1,1,0,1,0,OK,37.8,OK,5,5,0,0,1,0,37.8,32.8,3,HIGH_VOL,PRIMARY,22.67,6.67,5.67,0.33,0.33,23,6,2,2026-04-19,3,24,22,22.67,215.5,17.5,99,True,False,NORMAL,live,-0.05,2,False,AWAY,0,cache,25,2026-04-19,3,28.33,1,1,opp,0,0,,none,35.51000000000001,11.01000000000001,11.01000000000001,0.449387755102041,0.449387755102041,,,,,,,,0.5,1,OVER,0,VOID_TIER_D,0.5066733354654521,1,1,1,1,1,1.08,-0.048,True,-0.029,0,31.00023,6.500230000000002,0.2653155102040817,0.3237414022231348,-0.8620689655172413,0.55,32.8,34.2,34.2,0.3673469387755103,0.09963357870780618,2.126201642661182,1.437241261877308,-0.6795086604019787,0.1185972452004715,0.3586517926259921,0,0,0,-1.020701426281222,0,0.1058527906941518,0.368098638158288,0.3136124623021318,0,0.8649317138245131,0.2167758345603943,0.3136124623021318,?,0.95,0.83,"PHX -17.5 pt margin vs ?, pa: 0.83x game script (dog; spread_risk 0.80, total_risk 1.00)",0.3136124623021318,D,0,2,1,24.5,3,4,1,1,0.3387755102040815,0.3959183673469389,0.3136124623021318,0,,0.95906432748538,3,1.644230769230769,1,HIGH,-0.1350517509328149,0.9594795141473539,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
1630198,11590105,11590105,88490,153016,2026-04-22T21:30:00.000-04:00,OKC,,Isaiah Joe,G,OKC,PHX,0.5,3-PT Made,3ptmade,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Isaiah_Joe_NBA_player_ut9gQOUduwi81flqjZSBTjr9.webp,2026-04-22,,,,,OK,0,111.3,85.3,40.2,35,12.1,23.9,16.4,50.3,28.1,56.2,6,2,5,3,6,8,10,10,18,3,6.924731182795698,6,Elite,4395702,nba_db,3,4,6,2,6,2,1,4,1,3,4.2,3.2,3.2,5,0,0,1,1,0,1,0,OK,17.6,OK,5,5,0,0,1,0,17.6,4.2,0,LOW_VOL,SUPPORT,10,2.25,1,0.25,0,9,2,1,2026-04-19,4,9.5,10.5,10,215.5,-17.5,116.5,True,False,NORMAL,live,-0.05,2,False,HOME,0,cache,,,0,,,,,0,0,,none,3.7,3.2,3.2,6.4,6.4,,,,,,,,0.5,1,OVER,0,VOID_OVER_ELITE_DEF_NON_Q5,2.544210651641051,1,1,,0.75,0.9,1.08,-0.036,True,-0.029,0,3.2745,2.7745,5.548999999999999,2.544210651641051,-0.6551724137931034,0.52,4.2,3.2,3.2,1,10.90218692714942,2.126201642661182,-2.023263126531155,-0.1363428412727489,2.141936519632859,-0.3139134200445113,0,0,0,-1.020701426281222,0,0.12,3.106188866687098,3.311521166598956,0,0.8552017411401208,0.1925481557846069,3.311521166598956,?,0.95,1.04,"OKC +17.5 pt margin vs PHO, 3ptmade: 1.04x game script (fav; spread_risk 1.05, total_risk 1.00)",3.311521166598956,A,3,2,1,0.5,6,4,1,1,2,2,3.311521166598956,0,,1.3125,3,1.690566037735849,1,LOW,-0.1056325360631148,0.9565605223420361,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
1630224|1631114,11562490,11562490,314400,153016,2026-04-22T21:30:00.000-04:00,OKC,,Jalen Williams + Jalen Green,G-F,OKC/PHX,OKC/PHX,8.5,Assists (Combo),assists(combo),Standard,8.5,0,https://static.prizepicks.com/images/players/CMBO_group_x16GXMZZryVyon0qNwggKwFV.webp,2026-04-22,Jalen Williams,Jalen Green,OKC,PHX,OK,1,,,,,,,,,,,,,,,,,,,,,,,,4437244,nba_db,1,4,2,0,1,4,7,2,1,3,1.6,2.5,2.5,0,5,0,0,0,1,0,1,OK,,OK,5,0,5,0,0,1,,1.6,0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,215.5,-17.5,116.5,True,False,NORMAL,live,-0.05,2,False,HOME,0.02,cache,,,0,,,,,0,0,,none,2.05,-6.45,6.45,-0.7588235294117647,0.7588235294117647,,,,,,,,0.5,0,UNDER,1,,0.7908965308603695,1,1,,0.8,0.93,1,0,False,0.029,0,2.04795,-6.45205,-0.759064705882353,0.7911101904507697,,0.455,1.6,2.5,2.5,0.7588235294117648,0.6613735009759976,2.517045917802909,-1.331162248849462,,4.358330683716949,-0.8286399245628538,0,0,0,0.9792493045301013,0,0.12,0.8560523222097193,0.8420837998953024,0,0.847321384837469,-0.000336766242980957,0.8420837998953024,?,0.95,0.97,No spread data: 0.97x default,0.8420837998953024,B,2,1,0,8.5,,,1,1,-0.8117647058823529,-0.7058823529411765,0.8420837998953024,0,,0.64,1,1,1,UNKNOWN,-0.1511005871021271,0.9541964154512406,UNDER,UNDER,
1626164,11530076,11530076,188014,153016,2026-04-22T21:30:00.000-04:00,,PHX,Devin Booker,G,PHX,OKC,19.5,Points,pts,Goblin,22.5,2,https://static.prizepicks.com/images/players/NBA/Devin_Booker_NBA_player_hFxfQ4HSfTF5eG5yhA81zf4O.webp,2026-04-22,,,,,OK,0,107.5,88.2,38.3,39.1,14.3,22.2,16.8,49.1,24,47.99999999999999,2,28,25,11,3,5,1,1,9,2,6.419354838709676,3,Elite,3136193,nba_db,23,20,22,37,31,30,22,34,36,26,26.6,28.1,28.1,5,0,0,1,1,0,1,0,OK,37.8,OK,5,5,0,0,1,0,37.8,26.6,3,HIGH_VOL,PRIMARY,22.67,6.67,5.67,0.33,0.33,23,6,2,2026-04-19,3,24,22,22.67,215.5,17.5,99,True,False,NORMAL,live,-0.05,2,False,AWAY,0,cache,23,2026-04-19,3,22.67,1,1,opp,0,0,,none,27.35,7.850000000000001,7.850000000000001,0.4025641025641026,0.4025641025641026,,,,,,,,0.5,1,OVER,0,VOID_TIER_D,0.4614342092488274,1,1,1,1,1,1.08,-0.048,True,-0.029,0,23.87655,4.376549999999998,0.2244384615384614,0.2808230103851844,-0.8620689655172413,0.58,26.6,28.1,28.1,0.4025641025641026,0.01463140015993361,2.126201642661182,1.437241261877308,-0.6795086604019787,0.2312281245795449,1.031217005296493,0,0,0,-1.020701426281222,0,0.1094569788342822,0.392204923062374,0.3221698964514382,0,0.845407423996067,0.2222054004669189,0.3221698964514382,?,0.95,0.8,"PHX -17.5 pt margin vs ?, pts: 0.80x game script (dog; spread_risk 0.80, total_risk 1.00)",0.3221698964514382,D,0,2,1,19.5,3,4,1,1,0.3641025641025642,0.4410256410256411,0.3221698964514382,0,,0.9466192170818505,3,1.775381263616558,1,HIGH,-0.1542029758830942,0.9536222271988201,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
1630591|1631105,11534102,11534102,314414,152987,2026-04-22T19:00:00.000-04:00,DET,,Jalen Duren + Jalen Suggs,C,DET/ORL,DET/ORL,31,Points (Combo),points(combo),Standard,31,0,https://static.prizepicks.com/images/players/CMBO_group_qEwsLpdIMh2kgu9fe3I0IXEP.webp,2026-04-22,Jalen Duren,Jalen Suggs,DET,ORL,OK,1,,,,,,,,,,,,,,,,,,,,,,,,4432165,nba_db,16,12,4,23,12,11,12,11,19,7,13.4,12.7,12.7,0,5,0,0,0,1,0,1,OK,,OK,5,0,5,0,0,1,,13.4,0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,218.5,-8.5,113.5,False,False,NORMAL,live,0,2,False,HOME,0.02,cache,,,0,,,,,0,0,,none,13.05,-17.95,17.95,-0.5790322580645161,0.5790322580645161,,,,,,,,0.5,0,UNDER,1,,0.628488514162874,1,1,,0.8,0.93,1,0,False,0.023,0,13.61115,-17.38885,-0.5609306451612902,0.611748329700745,,0.455,13.4,12.7,12.7,0.5790322580645161,0.3349861108418082,2.517045917802909,-1.331162248849462,,3.108964247550382,-0.8286399245628538,0,0,0,-1.015075498598273,0,0.12,0.5810742191936308,0.5733462984129316,0,0.8438102168247081,0.0542481541633606,0.5733462984129316,?,0.95,0.97,No spread data: 0.97x default,0.5733462984129316,C,1,1,0,31,,,1,1,-0.567741935483871,-0.5903225806451613,0.5733462984129316,0,,1.055118110236221,1,1,1,UNKNOWN,-0.1561897671644545,0.9531430650474124,UNDER,UNDER,
1628989,11585785,11585785,299900,152987,2026-04-22T19:00:00.000-04:00,DET,,Kevin Huerter,G-F,DET,ORL,2.5,Points,pts,Goblin,5,3,https://static.prizepicks.com/images/manual/Kevin_Huerter.png,2026-04-22,,,,,OK,0,115.4,87.8,41.9,34,12,25.1,14.7,53.8,29.9,59.8,15,1,3,8,14,22,25,25,25,13,15,16,Avg,4066372,nba_db,3,15,5,17,5,12,8,17,11,22,9,11.5,11.5,5,0,0,1,1,0,1,0,OK,22.2,OK,5,5,0,0,1,0,22.2,9,0,MID_VOL,SUPPORT,10,2.25,2,1.25,0,3,2,1,2026-04-19,4,11.5,8.5,13.33,218.5,-8.5,113.5,False,False,NORMAL,live,0,2,False,HOME,0.02,cache,3,2026-04-19,4,10,0.75,0.75,opp,0,0,,none,10.25,7.75,7.75,3.1,3.1,,,,,,,,0.5,1,OVER,1,,2.544210651641051,1,1,0.75,0.9,1,1.08,0.004,False,-0.023,0,10.26025,7.760250000000001,3.1041,2.544210651641051,0.03448275862068972,0.58,9,11.5,11.5,1,4.911471252401463,2.126201642661182,0.0530395065139232,1.674209889158017,2.141936519632859,1.031217005296493,0,0,0,0.9786334716188753,0,0.12,4.145250176507933,4.500079241001081,0,0.842575285369164,0.3469958305358887,4.500079241001081,?,0.95,1.05,"DET +8.5 pt margin vs ORL, pts: 1.05x game script (fav; spread_risk 1.05, total_risk 1.00)",4.500079241001081,A,3,2,1,2.5,16,1,1,1,2,2,4.500079241001081,0,,0.782608695652174,1,0.912485414235706,18,MEDIUM,-0.1569941575495114,0.9527725856107492,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
1631288,11603820,11603820,309613,152987,2026-04-22T19:00:00.000-04:00,,ORL,Jamal Cain,F,ORL,DET,0.5,Rebounds,reb,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Jamal_Cain_NBA_player_i01qhVcZOkb5dwXBNr5NrMaA.webp,2026-04-22,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.8,25.2,50.40000000000001,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite,4278572,nba_db,1,1,2,2,8,2,2,5,4,1,2.8,2.8,2.8,5,0,0,1,1,0,1,0,OK,15.4,OK,5,5,0,0,1,0,15.4,2.8,0,LOW_VOL,SUPPORT,2.5,1.5,0.5,0,0,2,1,0,2026-04-19,2,3,2,2.5,218.5,8.5,105,False,False,NORMAL,live,0,2,False,AWAY,0.02,cache,1,2026-04-19,2,1.5,1,1,opp,0,0,,none,2.8,2.3,2.3,4.6,4.6,,,,,,,,0.5,1,OVER,1,,2.544210651641051,1,1,1,0.75,1,1.08,-0.052,False,-0.023,0,2.646,2.146,4.292,2.544210651641051,-0.9310344827586207,0.58,2.8,2.8,2.8,1,7.634523831832349,2.126201642661182,-2.023263126531155,-0.8605639334450554,2.141936519632859,1.031217005296493,0,0,0,0.9786334716188753,0,0.12,3.649561526931187,3.461468708909963,0,0.8367923099869999,0.2557042241096497,3.461468708909963,?,0.95,0.922,"ORL -8.5 pt margin vs DET, reb: 0.92x game script (dog; spread_risk 0.87, total_risk 1.00)",3.461468708909963,A,3,2,1,0.5,2,4,1,1,2,2,3.461468708909963,0,,1,0,0.5764705882352942,26,LOW,-0.07208472899814389,0.9510376929961,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
1631094,11565692,11565692,188001,152987,2026-04-22T19:00:00.000-04:00,,ORL,Paolo Banchero,F,ORL,DET,2.5,Assists,ast,Goblin,4.5,2,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-04-22,,,,,OK,0,109.4,85.2,37.7,36.4,12.5,27.1,16.9,48.8,25.2,50.40000000000001,3,6,12,2,1,4,3,3,29,1,5.021505376344086,2,Elite,4432573,nba_db,4,6,4,11,7,6,3,6,5,3,6.4,5.5,5.5,5,0,0,1,1,0,1,0,OK,34.2,OK,5,5,0,0,1,0,34.2,6.4,0,HIGH_VOL,PRIMARY,26,8.33,3,1.67,0,23,9,4,2026-04-19,3,27.5,23,26,218.5,8.5,105,False,False,NORMAL,live,0,2,False,AWAY,0.02,cache,4,2026-04-19,3,3,0.67,0.67,opp,0,0,,none,5.949999999999999,3.449999999999999,3.449999999999999,1.38,1.38,,,,,,,,0.5,1,OVER,1,,1.314913618730466,1,1,0.67,1,1,1.08,-0.052,False,-0.023,0,5.622749999999999,3.122749999999999,1.2491,1.208113193306751,-0.9310344827586207,0.555,6.4,5.5,5.5,1,1.789037627987377,2.126201642661182,1.437241261877308,-0.8605639334450554,2.141936519632859,0.4707459947377426,0,0,0,0.9786334716188753,0,0.12,1.785508955888399,1.667585621356171,0,0.8277671442987566,0.2338353991508484,1.667585621356171,?,0.95,0.909,"ORL -8.5 pt margin vs DET, ast: 0.91x game script (dog; spread_risk 0.87, total_risk 1.00)",1.667585621356171,A,3,2,1,2.5,2,4,1,1,1.56,1.2,1.667585621356171,0,,1.163636363636364,3,1.5,4,HIGH,-0.1414639963440953,0.948330143289627,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
