team,opp_gp,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,sa_ratio,opp_gaa_rank,opp_saa_rank,opp_pk_pct_rank,opp_gf_rank,pace_fast_rank,pace_slow_rank,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,def_rank,def_tier
COL,82,2.476,0.0,0.0,3.683,0.0,0.0,55,0.0,1,1,1,1,1,1,1.0,1,Elite,1,ELITE
CAR,82,2.927,0.0,0.0,3.61,0.0,0.0,53,0.0,4,1,1,2,1,1,2.2,4,Elite,4,ELITE
DAL,82,2.756,0.0,0.0,3.402,0.0,0.0,50,0.0,2,1,1,8,1,1,1.4000000000000001,2,Elite,2,ELITE
BUF,82,2.939,0.0,0.0,3.512,0.0,0.0,50,0.0,7,1,1,5,1,1,3.4000000000000004,7,Elite,7,ELITE
TBL,82,2.817,0.0,0.0,3.537,0.0,0.0,50,0.0,3,1,1,4,1,1,1.8000000000000003,3,Elite,3,ELITE
MTL,82,3.122,0.0,0.0,3.451,0.0,0.0,48,0.0,18,1,1,6,1,1,7.8,18,Avg,18,AVERAGE
MIN,82,2.927,0.0,0.0,3.317,0.0,0.0,46,0.0,4,1,1,11,1,1,2.2,4,Elite,4,ELITE
BOS,82,3.049,0.0,0.0,3.317,0.0,0.0,45,0.0,13,1,1,11,1,1,5.8,13,Above Avg,13,SOLID
OTT,82,3.0,0.0,0.0,3.39,0.0,0.0,44,0.0,11,1,1,9,1,1,5.0,11,Above Avg,11,SOLID
PIT,82,3.268,0.0,0.0,3.573,0.0,0.0,41,0.0,24,1,1,3,1,1,10.200000000000001,24,Below Avg,24,WEAK
PHI,82,2.963,0.0,0.0,3.049,0.0,0.0,43,0.0,9,1,1,20,1,1,4.2,9,Above Avg,9,SOLID
WSH,82,2.976,0.0,0.0,3.207,0.0,0.0,43,0.0,10,1,1,15,1,1,4.6,10,Above Avg,10,SOLID
VGK,82,3.049,0.0,0.0,3.232,0.0,0.0,39,0.0,13,1,1,14,1,1,5.8,13,Above Avg,13,SOLID
EDM,82,3.28,0.0,0.0,3.439,0.0,0.0,41,0.0,25,1,1,7,1,1,10.6,25,Below Avg,25,WEAK
UTA,82,2.927,0.0,0.0,3.268,0.0,0.0,43,0.0,4,1,1,13,1,1,2.2,4,Elite,4,ELITE
DET,82,3.146,0.0,0.0,2.939,0.0,0.0,41,0.0,19,1,1,22,1,1,8.200000000000001,19,Avg,19,AVERAGE
CBJ,82,3.085,0.0,0.0,3.085,0.0,0.0,40,0.0,16,1,1,16,1,1,7.0,16,Avg,16,AVERAGE
ANA,82,3.512,0.0,0.0,3.329,0.0,0.0,43,0.0,29,1,1,10,1,1,12.200000000000001,29,Weak,29,WEAK
NYI,82,2.939,0.0,0.0,2.841,0.0,0.0,43,0.0,7,1,1,24,1,1,3.4000000000000004,7,Elite,7,ELITE
LAK,82,3.012,0.0,0.0,2.744,0.0,0.0,35,0.0,12,1,1,29,1,1,5.4,12,Above Avg,12,SOLID
NJD,82,3.098,0.0,0.0,2.805,0.0,0.0,42,0.0,17,1,1,27,1,1,7.4,17,Avg,17,AVERAGE
STL,82,3.146,0.0,0.0,2.817,0.0,0.0,37,0.0,19,1,1,25,1,1,8.200000000000001,19,Avg,19,AVERAGE
NSH,82,3.28,0.0,0.0,3.012,0.0,0.0,38,0.0,25,1,1,21,1,1,10.6,25,Below Avg,25,WEAK
SJS,82,3.561,0.0,0.0,3.061,0.0,0.0,39,0.0,30,1,1,18,1,1,12.6,30,Weak,30,WEAK
FLA,82,3.366,0.0,0.0,3.061,0.0,0.0,40,0.0,28,1,1,18,1,1,11.8,28,Weak,28,WEAK
WPG,82,3.171,0.0,0.0,2.817,0.0,0.0,35,0.0,22,1,1,25,1,1,9.4,22,Below Avg,22,WEAK
SEA,82,3.207,0.0,0.0,2.756,0.0,0.0,34,0.0,23,1,1,28,1,1,9.8,23,Below Avg,23,WEAK
TOR,82,3.646,0.0,0.0,3.085,0.0,0.0,32,0.0,31,1,1,16,1,1,13.0,31,Weak,31,WEAK
CGY,82,3.159,0.0,0.0,2.585,0.0,0.0,34,0.0,21,1,1,32,1,1,9.0,21,Below Avg,21,WEAK
NYR,82,3.049,0.0,0.0,2.902,0.0,0.0,34,0.0,13,1,1,23,1,1,5.8,13,Above Avg,13,SOLID
CHI,82,3.354,0.0,0.0,2.598,0.0,0.0,29,0.0,27,1,1,31,1,1,11.4,27,Weak,27,WEAK
VAN,82,3.854,0.0,0.0,2.634,0.0,0.0,25,0.0,32,1,1,30,1,1,13.4,32,Weak,32,WEAK
