projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct
11478706,218273,Jaccob Slavin,CAR,D,Time On Ice,22.25,22.25,standard,False,OTT,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,1.0
11478704,218660,Tim Stutzle,OTT,F,Time On Ice,20.25,20.25,standard,False,CAR,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,1.0
11478703,218224,Sebastian Aho,CAR,F,Time On Ice,19.25,19.25,standard,False,OTT,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,1.0
11478716,218268,Brady Tkachuk,OTT,F,Time On Ice,18.25,18.25,standard,False,CAR,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,1.0
11478774,265264,Nikolaj Ehlers,CAR,F,Time On Ice,16.25,16.25,standard,False,OTT,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,1.0
11481445,218298,Jordan Staal,CAR,F,Faceoffs Won,11,11.0,standard,False,OTT,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,1.0
11481447,218224,Sebastian Aho,CAR,F,Faceoffs Won,8.5,,demon,False,OTT,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,
11481450,218662,Claude Giroux,OTT,F,Faceoffs Won,7.5,,demon,False,CAR,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,
11481452,231268,Logan Stankoven,CAR,F,Faceoffs Won,5.5,,demon,False,OTT,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,
11482810,218339,Linus Ullmark,OTT,G,Goalie Saves,22.5,,goblin,False,CAR,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,
11482805,58566,Frederik Andersen,CAR,G,Goalie Saves,19.5,,goblin,False,OTT,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,
11482806,58566,Frederik Andersen,CAR,G,Goalie Saves,17.5,,goblin,False,OTT,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,
11477624,218339,Linus Ullmark,OTT,G,Goals Allowed,3.5,,demon,False,CAR,,,2026-04-18T15:00:00.000-04:00,152643,2026-04-17T23:08:04Z,
