rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,ml_prob,edge_score,blended_score,pick_type,game_start,game_script_mult,game_script_note
1,A,Noah Dobson,MTL,NJ,0,SKATER,D,Blocked Shots,blocked_shots,2.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SECONDARY,PP_OCC,SOLID,12,3.029,0.000,0.000,0.613,0.093,,22.55,0.82104,-0.5000,0.8375,,,standard,2026-04-04T19:00:00.000-04:00,1.000,"MTL +1.5 pt margin vs NJ, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
2,A,Miro Heiskanen,DAL,COL,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SECONDARY,PP_REGULAR,ELITE,1,2.544,0.000,0.000,0.838,0.365,,25.73,0.81956,-0.5000,0.7447,,,standard,2026-04-04T15:00:00.000-04:00,0.990,"DAL -1.5 pt margin vs COL, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
3,A,Mattias Samuelsson,BUF,WSH,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SECONDARY,NO_PP,ELITE,8,2.929,0.000,0.000,0.562,0.000,,22.98,0.80788,-0.5000,0.7447,,,standard,2026-04-04T19:00:00.000-04:00,1.000,"BUF +1.5 pt margin vs WSH, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
4,A,Matthew Schaefer,NYI,CAR,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SECONDARY,PP_REGULAR,SOLID,10,2.971,0.000,0.000,0.740,0.234,,24.60,0.79322,-0.5000,0.7447,,,standard,2026-04-04T19:00:00.000-04:00,0.990,"NYI -1.5 pt margin vs CAR, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
5,A,Rasmus Sandin,WSH,BUF,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,ELITE,7,2.899,0.000,0.000,0.420,0.014,,19.20,0.78005,-0.5000,0.7447,,,standard,2026-04-04T19:00:00.000-04:00,0.990,"WSH -1.5 pt margin vs BUF, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
6,B,Roman Josi,NSH,SJ,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SECONDARY,PP_REGULAR,WEAK,31,3.567,0.000,0.000,0.778,0.317,,24.88,0.77991,-0.5000,0.8375,,,standard,2026-04-04T22:00:00.000-04:00,0.990,"NSH -1.5 pt margin vs SJ, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
7,B,Artem Zub,OTT,MIN,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,ELITE,6,2.871,0.000,0.000,0.365,0.000,,20.53,0.77820,-0.5000,0.7105,,,standard,2026-04-04T13:00:00.000-04:00,1.000,"OTT +1.5 pt margin vs MIN, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
8,B,Jacob Trouba,ANA,CGY,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,SOLID,15,3.101,0.000,0.000,0.440,0.013,,22.87,0.75961,-0.5000,0.7153,,,standard,2026-04-04T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs CGY, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
9,B,Adam Larsson,SEA,CHI,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,AVERAGE,23,3.217,0.000,0.000,0.297,0.000,,21.45,0.75468,-0.5000,0.7447,,,standard,2026-04-04T22:00:00.000-04:00,1.000,"SEA +1.5 pt margin vs CHI, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
10,B,Lane Hutson,MTL,NJ,0,SKATER,D,Time On Ice,time_on_ice,25.0,UNDER,0.1375,0.1375,1.0,0.8,0.75,0.7,5,5/5,10,8/10,20,30,,,,,,,,0,5,2,8,,,,,ELITE,PP_REGULAR,SOLID,12,3.029,0.000,0.000,0.973,0.253,,23.52,0.75465,-0.3625,0.9487,,,standard,2026-04-04T19:00:00.000-04:00,1.000,"MTL +1.5 pt margin vs NJ, time_on_ice: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
11,B,Andrew Peeke,BOS,TB,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SHUTDOWN,NO_PP,ELITE,3,2.776,0.000,0.000,0.197,0.000,,19.35,0.75067,-0.5000,0.7105,,,standard,2026-04-04T17:00:00.000-04:00,0.990,"BOS -1.5 pt margin vs TB, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
12,B,Simon Edvinsson,DET,NYR,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,AVERAGE,22,3.203,0.000,0.000,0.354,0.015,,22.47,0.73830,-0.5000,0.7105,,,standard,2026-04-04T12:30:00.000-04:00,1.000,"DET +1.5 pt margin vs NYR, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
13,B,Jared Spurgeon,MIN,OTT,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,PP_OCC,AVERAGE,17,3.103,0.000,0.000,0.257,0.068,,19.75,0.73750,-0.5000,0.7105,,,standard,2026-04-04T13:00:00.000-04:00,0.990,"MIN -1.5 pt margin vs OTT, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
14,B,Adam Pelech,NYI,CAR,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SHUTDOWN,NO_PP,SOLID,10,2.971,0.000,0.000,0.195,0.000,,20.98,0.73198,-0.5000,0.7143,,,standard,2026-04-04T19:00:00.000-04:00,0.990,"NYI -1.5 pt margin vs CAR, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
15,B,Jonas Brodin,MIN,OTT,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,AVERAGE,17,3.103,0.000,0.000,0.286,0.018,,20.53,0.73092,-0.5000,0.7105,,,standard,2026-04-04T13:00:00.000-04:00,0.990,"MIN -1.5 pt margin vs OTT, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
16,B,Brandon Carlo,TOR,LA,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SHUTDOWN,NO_PP,SOLID,11,3.015,0.000,0.000,0.132,0.000,,19.50,0.73092,-0.5000,0.7105,,,standard,2026-04-04T19:00:00.000-04:00,0.990,"TOR -1.5 pt margin vs LA, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
17,B,Simon Benoit,TOR,LA,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SHUTDOWN,NO_PP,SOLID,11,3.015,0.000,0.000,0.075,0.000,,17.22,0.73092,-0.5000,0.7105,,,standard,2026-04-04T19:00:00.000-04:00,0.990,"TOR -1.5 pt margin vs LA, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
18,B,Ben Chiarot,DET,NYR,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SHUTDOWN,NO_PP,AVERAGE,22,3.203,0.000,0.000,0.160,0.000,,20.88,0.72607,-0.5000,0.7143,,,standard,2026-04-04T12:30:00.000-04:00,1.000,"DET +1.5 pt margin vs NYR, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
19,B,Connor McDavid,EDM,VGK,1,SKATER,F,Time On Ice,time_on_ice,22.8,UNDER,0.2008,0.2008,1.0,0.7,0.65,0.5667,5,5/5,10,7/10,20,30,,,,,,,,0,5,3,7,,,,,ELITE,PP1_STAR,AVERAGE,20,3.129,0.000,0.000,1.658,0.632,,22.97,0.72585,-0.2992,0.9487,,,standard,2026-04-04T22:00:00.000-04:00,1.000,"EDM +1.5 pt margin vs VGK, time_on_ice: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
20,B,Nikita Kucherov,TB,BOS,0,SKATER,F,Time On Ice,time_on_ice,21.0,UNDER,0.1933,0.1933,0.8,0.9,0.7,0.6667,5,4/5,10,9/10,20,30,,,,,,,,1,4,1,9,,,,,ELITE,PP1_STAR,AVERAGE,18,3.116,0.000,0.000,1.797,0.522,,20.35,0.72419,-0.3067,0.9487,,,standard,2026-04-04T17:00:00.000-04:00,1.000,"TB +1.5 pt margin vs BOS, time_on_ice: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
