rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,ml_prob,edge_score,blended_score,pick_type,game_start,game_script_mult,game_script_note
1,B,Rasmus Ristolainen,PHI,NYI,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,ELITE,5,2.826,0.000,0.000,0.289,0.026,,21.28,0.73812,0.5000,0.6194,,,standard,2026-04-03T19:00:00.000-04:00,0.990,"PHI -1.5 pt margin vs NYI, blocked_shots: 0.99x game script (pick; spread_risk 0.98, total_risk 1.00)"
2,B,Ryan Pulock,NYI,PHI,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,SOLID,14,3.088,0.000,0.000,0.366,0.014,,20.95,0.73228,0.5000,0.6194,,,standard,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
3,B,Jacob Trouba,ANA,STL,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,NO_PP,AVERAGE,24,3.294,0.000,0.000,0.446,0.014,,22.90,0.71898,0.5000,0.6194,,,standard,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, blocked_shots: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
4,C,Colton Parayko,STL,ANA,0,SKATER,D,Shots On Goal,shots_on_goal,0.5,OVER,0.95,0.95,1.0,1.0,0.8,0.8,5,5/5,10,10/10,20,30,,,,,,,,5,0,10,0,,,,,SHUTDOWN,NO_PP,WEAK,29,3.435,0.000,0.000,0.203,0.000,,22.37,0.61394,0.4500,0.2388,,,goblin,2026-04-03T22:00:00.000-04:00,0.980,"STL -1.5 pt margin vs ANA, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
5,C,Matthew Schaefer,NYI,PHI,1,SKATER,D,Shots On Goal,shots_on_goal,2.5,OVER,0.8767,0.8767,1.0,0.9,0.7,0.5667,5,5/5,10,9/10,20,30,,,,,,,,5,0,9,1,,,,,SECONDARY,PP_REGULAR,SOLID,14,3.088,0.000,0.000,0.750,0.237,,24.55,0.59182,0.3767,0.2388,,,goblin,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
6,C,John Carlson,ANA,STL,1,SKATER,D,Shots On Goal,shots_on_goal,1.5,OVER,0.8133,0.8133,1.0,0.7,0.7,0.6333,5,5/5,10,7/10,20,30,,,,,,,,5,0,7,3,,,,,ELITE,PP_REGULAR,AVERAGE,24,3.294,0.000,0.000,1.000,0.333,,25.23,0.57786,0.3133,0.2388,,,goblin,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
7,C,Matvei Michkov,PHI,NYI,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,UNDER,0.33,0.33,0.8,0.6,0.6,0.5,5,4/5,10,6/10,20,30,,,,,,,,1,4,4,6,,,,,DEPTH,PP_OCC,ELITE,5,2.826,0.000,0.000,0.541,0.162,,14.87,0.57693,0.1700,0.7447,,,standard,2026-04-03T19:00:00.000-04:00,0.980,"PHI -1.5 pt margin vs NYI, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
8,C,Leo Carlsson,ANA,STL,1,SKATER,F,Shots On Goal,shots_on_goal,2.5,UNDER,0.4708,0.4708,0.6,0.5,0.45,0.4667,5,3/5,10,5/10,20,30,,,,,,,,2,3,5,5,,,,,ELITE,PP_REGULAR,AVERAGE,24,3.294,0.000,0.000,1.000,0.270,,19.17,0.56858,0.0292,0.9487,,,standard,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
9,C,Dylan Holloway,STL,ANA,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.8467,0.8467,0.8,0.9,0.9,0.7667,5,4/5,10,9/10,20,30,,,,,,,,4,1,9,1,,,,,SECONDARY,PP_OCC,WEAK,29,3.435,0.000,0.000,0.745,0.078,,18.13,0.56824,0.3467,0.1818,,,goblin,2026-04-03T22:00:00.000-04:00,0.980,"STL -1.5 pt margin vs ANA, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
10,C,Noah Cates,PHI,NYI,0,SKATER,F,Shots On Goal,shots_on_goal,0.5,OVER,0.8975,0.8975,1.0,0.9,0.75,0.7,5,5/5,10,9/10,20,30,,,,,,,,5,0,9,1,,,,,SECONDARY,PP_OCC,ELITE,5,2.826,0.000,0.000,0.560,0.120,,16.35,0.56259,0.3975,0.2388,,,goblin,2026-04-03T19:00:00.000-04:00,0.980,"PHI -1.5 pt margin vs NYI, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
11,C,Robert Thomas,STL,ANA,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,UNDER,0.32,0.32,0.8,0.6,0.6,0.6,5,4/5,10,6/10,20,30,,,,,,,,1,4,4,6,,,,,SECONDARY,PP_OCC,WEAK,29,3.435,0.000,0.000,0.893,0.196,,19.00,0.55164,0.1800,0.7447,,,standard,2026-04-03T22:00:00.000-04:00,0.980,"STL -1.5 pt margin vs ANA, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
12,C,Mason McTavish,ANA,STL,1,SKATER,F,Shots On Goal,shots_on_goal,1.5,UNDER,0.3925,0.3925,0.6,0.7,0.55,0.4,5,3/5,10,7/10,20,30,,,,,,,,2,3,3,7,,,,,DEPTH,PP_OCC,AVERAGE,24,3.294,0.000,0.000,0.500,0.118,,15.42,0.53132,0.1075,0.8000,,,standard,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
13,C,Beckett Sennecke,ANA,STL,1,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.7933,0.7933,0.8,0.8,0.8,0.7333,5,4/5,10,8/10,20,30,,,,,,,,4,1,8,2,,,,,SECONDARY,PP_OCC,AVERAGE,24,3.294,0.000,0.000,0.760,0.160,,17.40,0.52012,0.2933,0.1818,,,goblin,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
