team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Newcastle Jets,NEWCASTLE JETS,A-League,24,37.0,1.542,,0,14,0,8,7,Avg
Auckland FC,AUCKLAND,A-League,24,26.0,1.083,,0,11,0,5,2,Elite
Sydney FC,SYDNEY,A-League,24,23.0,0.958,,0,11,0,9,1,Elite
Adelaide United,ADELAIDE,A-League,24,34.0,1.417,,0,10,0,7,6,Above Avg
Melbourne Victory,MELBOURNE VICTORY,A-League,24,31.0,1.292,,0,10,0,8,4,Above Avg
Melbourne City FC,MELBOURNE CITY,A-League,24,29.0,1.208,,0,9,0,7,3,Elite
Macarthur FC,MACARTHUR,A-League,24,41.0,1.708,,0,8,0,9,11,Weak
Wellington Phoenix FC,WELLINGTON PHOENIX,A-League,24,43.0,1.792,,0,8,0,10,12,Weak
Central Coast Mariners,CENTRAL COAST,A-League,24,38.0,1.583,,0,7,0,9,8,Avg
Perth Glory,PERTH,A-League,24,38.0,1.583,,0,7,0,11,8,Avg
Brisbane Roar,BRISBANE,A-League,24,31.0,1.292,,0,6,0,10,4,Above Avg
Western Sydney Wanderers,WSW,A-League,24,39.0,1.625,,0,5,0,13,10,Weak
Boca Juniors,BOCA JUNIORS,Argentina,13,8.0,0.615,,0,5,0,2,2,Elite
Estudiantes de La Plata,ESTUDIANTES,Argentina,13,7.0,0.538,,0,7,0,3,1,Elite
Independiente,INDEPENDIENTE,Argentina,13,16.0,1.231,,0,4,0,3,23,Weak
Lanús,LANÚS,Argentina,13,14.0,1.077,,0,6,0,3,18,Avg
Newell's Old Boys,NEWELL'S,Argentina,13,23.0,1.769,,0,2,0,7,30,Weak
San Lorenzo,SAN LORENZO,Argentina,13,12.0,0.923,,0,4,0,3,9,Above Avg
Talleres (Córdoba),TALLERES,Argentina,13,12.0,0.923,,0,6,0,4,9,Above Avg
Unión (Santa Fe),UNIÓN,Argentina,13,14.0,1.077,,0,5,0,4,18,Avg
Vélez Sarsfield,VÉLEZ,Argentina,13,9.0,0.692,,0,7,0,2,4,Elite
Instituto (Córdoba),INSTITUTO,Argentina,13,15.0,1.154,,0,5,0,6,22,Avg
Platense,PLATENSE,Argentina,13,8.0,0.615,,0,3,0,3,2,Elite
Defensa y Justicia,DEF Y JUSTICIA,Argentina,13,12.0,0.923,,0,4,0,2,9,Above Avg
Gimnasia (Mendoza),GIMNASIA (MENDOZA),Argentina,13,16.0,1.231,,0,3,0,6,23,Weak
Central Córdoba (Santiago del Estero),CENTRAL CÓRDOBA,Argentina,13,16.0,1.231,,0,3,0,7,23,Weak
Deportivo Riestra,RIESTRA,Argentina,13,10.0,0.769,,0,0,0,6,6,Elite
Argentinos Juniors,ARGENTINOS,Argentina,13,10.0,0.769,,0,6,0,2,6,Elite
Belgrano (Córdoba),BELGRANO,Argentina,13,12.0,0.923,,0,6,0,3,9,Above Avg
Gimnasia La Plata,GELP,Argentina,13,19.0,1.462,,0,5,0,6,28,Weak
Huracán,HURACÁN,Argentina,13,10.0,0.769,,0,5,0,3,6,Elite
Racing Club,RACING,Argentina,13,13.0,1.0,,0,5,0,5,15,Above Avg
River Plate,RIVER,Argentina,13,9.0,0.692,,0,8,0,3,4,Elite
Rosario Central,ROSARIO,Argentina,13,13.0,1.0,,0,6,0,4,15,Above Avg
Banfield,BANFIELD,Argentina,13,17.0,1.308,,0,4,0,8,26,Weak
Tigre,TIGRE,Argentina,13,12.0,0.923,,0,4,0,3,9,Above Avg
Aldosivi,ALDOSIVI,Argentina,13,14.0,1.077,,0,0,0,7,18,Avg
Independiente Rivadavia,INDEPENDIENTE RIVADAVIA,Argentina,13,13.0,1.0,,0,9,0,2,15,Above Avg
Atlético Tucumán,ATLETICO TUCUMAN,Argentina,13,18.0,1.385,,0,2,0,7,27,Weak
