player_norm,espn_athlete_id
hakon valdimarsson,311527
caoimhin kelleher,275599
alphonse areola,148987
mads hermansen,281564
igor thiago,301894
jarrod bowen,201089
valentin castellanos,252933
callum wilson,138924
crysencio summerville,284792
kevin schade,310958
sepp van den berg,270507
konstantinos mavropanos,242705
mateus fernandes,346820
aaron wan-bissaka,250945
el hadji malick diouf,359796
michael kayode,356640
kaye furo,394418
dango ouattara,315530
keane lewis-potter,284490
mikkel damsgaard,308932
mohamadou kante,368333
reiss nelson,227794
romelle donovan,357477
adama traore,231367
jean-clair todibo,277327
jordan henderson,127262
keiber lamadrid,336864
kristoffer ajer,206173
kyle walker-peters,235129
lewis orford,351382
mathias jensen,227472
maximilian kilman,229967
nathan collins,279780
ollie scarles,350502
tomas soucek,230666
yehor yarmoliuk,342029
axel disasi,231718
ethan pinnock,241093
ezra mayers,380182
freddie potts,310325
soungoutou magassa,333240
joshua ajala,379137
luka bentt,418500
ollie shield,419118
jay idzes,272873
arijanet muric,259838
alessio romagnoli,177816
edoardo motta,367320
domenico berardi,173817
mattia zaccagni,204669
m'bala nzola,261173
armand lauriente,272719
kenneth taylor,282228
fisayo dele-bashiru,295515
mario gila,324097
nemanja matic,135743
daniel maldini,290545
gustav isaksen,291550
adam marusic,218105
danilo cataldi,178627
darryl bakola,384170
kristian thorstvedt,284212
nuno tavares,288901
sebastian walukiewicz,288483
tarik muharemovic,318390
ismael kone,325001
dani calvo,123743
fernando calero,261199
aaron escandell,200964
marko dmitrovic,179211
tyrhys dolan,306520
ilyas chaira,304332
federico vinas,295847
nacho vidal,240102
omar hilali,310682
haissem hassan,276440
leandro cabrera,133259
jofre carreras,307270
ramon terrats,309838
carlos romero,271904
alberto reina,253732
david carmo,236301
javi lopez,297354
kwasi sibo,274697
pol lozano,260242
nicolas fonseca,276240
diego menendez,376695
pablo agudin,414050
virgil dijk,157892
davinson sanchez,197105
lucas torreira,212973
ugurcan cakir,222922
alisson becker,196876
mohamed salah,173896
victor osimhen,228296
leroy sane,202641
hugo ekitike,304901
cody gakpo,249524
baris yilmaz,322538
dominik szoboszlai,257206
noa lang,255344
gabriel sara,268478
mario lemina,181729
federico chiesa,234306
rio ngumoha,379588
roland sallai,219444
ahmed kutucu,266562
alexis allister,249299
florian wirtz,303748
mauro icardi,167411
yaser asprilla,311056
kieran morrison,357162
wilfried singo,286569
abdulkerim bardakci,193149
andy robertson,104943
curtis jones,190257
ismail jakobs,268796
jeremie frimpong,281119
joe gomez,102053
kaan ayhan,159146
milos kerkez,323110
ryan gravenberch,274632
sacha boey,287225
trey nyoni,356075
yunus akgun,266575
ilkay gundogan,131424
ibrahima konate,251634
eren elmali,287678
ada yuzgec,407331
amara nallo,373758
calvin ramsay,291353
can guner,403895
eyup karasu,415122
