sr_name,opp_pts,games,opp_ppg,overall_rank
Northern Iowa,1771.0,29.0,61.07,1
Houston,1675.0,27.0,62.04,2
Duke,1705.0,27.0,63.15,3
Tennessee-Martin,1838.0,29.0,63.38,4
West Virginia,1715.0,27.0,63.52,5
Navy,1843.0,29.0,63.55,6
Marist,1720.0,27.0,63.7,7
Saint Mary's (CA),1864.0,29.0,64.28,8
Iowa,1674.0,26.0,64.38,9
Louisiana Tech,1741.0,27.0,64.48,10
Seton Hall,1806.0,28.0,64.5,11
Fordham,1811.0,28.0,64.68,12
Iowa State,1759.0,27.0,65.15,13
SIU Edwardsville,1896.0,29.0,65.38,14
Nebraska,1770.0,27.0,65.56,15
Appalachian State,1968.0,30.0,65.6,16
Clemson,1837.0,28.0,65.61,17
Stephen F. Austin,1841.0,28.0,65.75,18
Connecticut,1848.0,28.0,66.0,19
New Haven,1858.0,28.0,66.36,20
McNeese State,1858.0,28.0,66.36,21
Michigan State,1726.0,26.0,66.38,22
North Texas,1797.0,27.0,66.56,23
Siena,1864.0,28.0,66.57,24
Gonzaga,1936.0,29.0,66.76,25
Utah Valley,1803.0,27.0,66.78,26
Merrimack,1872.0,28.0,66.86,27
Towson,1808.0,27.0,66.96,28
Hofstra,1942.0,29.0,66.97,29
Cincinnati,1809.0,27.0,67.0,30
UNC Wilmington,1880.0,28.0,67.14,31
Seattle,1948.0,29.0,67.17,32
Mercyhurst,1948.0,29.0,67.17,33
Harvard,1681.0,25.0,67.24,34
UT Arlington,1819.0,27.0,67.37,35
Drexel,1895.0,28.0,67.68,36
Minnesota,1828.0,27.0,67.7,37
UC Irvine,1897.0,28.0,67.75,38
Jacksonville State,1831.0,27.0,67.81,39
George Mason,1831.0,27.0,67.81,40
Virginia,1836.0,27.0,68.0,41
Illinois State,1973.0,29.0,68.03,42
Howard,1907.0,28.0,68.11,43
Saint Louis,1839.0,27.0,68.11,44
Davidson,1843.0,27.0,68.26,45
Maryland-Baltimore County,1777.0,26.0,68.35,46
East Tennessee State,1983.0,29.0,68.38,47
Texas A&amp;M-Corpus Christi,1915.0,28.0,68.39,48
Rhode Island,1847.0,27.0,68.41,49
Stonehill,1984.0,29.0,68.41,50
Arizona,1849.0,27.0,68.48,51
Brown,1644.0,24.0,68.5,52
California Baptist,1851.0,27.0,68.56,53
Grand Canyon,1852.0,27.0,68.59,54
Kansas,1853.0,27.0,68.63,55
Saint Peter's,1717.0,25.0,68.68,56
Michigan,1856.0,27.0,68.74,57
Hawaii,1788.0,26.0,68.77,58
Pacific,2065.0,30.0,68.83,59
Maine,1930.0,28.0,68.93,60
