team,opp_pts,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_fg3m,opp_pra,opp_pr,opp_pa,opp_ra,opp_bs,games,team_id,pts_rank,pts_tier,reb_rank,reb_tier,ast_rank,ast_tier,stl_rank,stl_tier,blk_rank,blk_tier,tov_rank,tov_tier,fg3m_rank,fg3m_tier,pra_rank,pra_tier,pr_rank,pr_tier,pa_rank,pa_tier,ra_rank,ra_tier,bs_rank,bs_tier,n_teams,overall_rank,stat_source
104,76.0,35.0,14.0,7.0,1.0,10.0,10.0,125.0,111.0,90.0,49.0,8.0,1,104,193.0,EASY,148.0,EASY_MID,137.0,EASY_MID,58.0,HARD_MID,7.0,HARD,20.0,HARD,215.0,EASY,183.0,EASY,185.0,EASY,189.0,EASY,156.0,EASY_MID,16.0,HARD,228,193.0,box
107,61.0,31.25,12.75,7.0,2.0,13.0,6.0,105.0,92.25,73.75,44.0,9.0,4,107,51.0,HARD_MID,88.0,HARD_MID,104.0,MID,58.0,HARD_MID,32.0,HARD,85.0,HARD_MID,105.0,MID,57.0,HARD_MID,53.0,HARD_MID,61.0,HARD_MID,84.0,HARD_MID,37.0,HARD,228,51.0,box
108,55.6,29.0,11.0,9.2,3.4,16.8,4.4,95.6,84.6,66.6,40.0,12.6,5,108,19.0,HARD,51.0,HARD_MID,55.0,HARD_MID,155.0,EASY_MID,113.0,MID,171.0,EASY_MID,63.0,HARD_MID,15.0,HARD,16.0,HARD,22.0,HARD,32.0,HARD,142.0,EASY_MID,228,19.0,box
111,51.0,38.0,9.0,6.0,2.0,12.0,4.0,98.0,89.0,60.0,47.0,8.0,1,111,4.0,HARD,188.0,EASY,14.0,HARD,33.0,HARD,32.0,HARD,54.0,HARD_MID,34.0,HARD,20.0,HARD,28.0,HARD,2.0,HARD,131.0,MID,16.0,HARD,228,4.0,box
112358,73.33333333333333,28.333333333333332,14.0,7.333333333333333,2.0,12.0,7.333333333333333,115.66666666666667,101.66666666666667,87.33333333333333,42.333333333333336,9.333333333333334,3,112358,173.0,EASY_MID,43.0,HARD,137.0,EASY_MID,86.0,HARD_MID,32.0,HARD,54.0,HARD_MID,167.0,EASY_MID,142.0,EASY_MID,139.0,EASY_MID,178.0,EASY_MID,61.0,HARD_MID,52.0,HARD_MID,228,173.0,box
113,67.0,40.0,12.0,6.0,3.0,20.0,8.0,119.0,107.0,79.0,52.0,9.0,1,113,117.0,MID,200.0,EASY,82.0,HARD_MID,33.0,HARD,80.0,HARD_MID,214.0,EASY,178.0,EASY_MID,161.0,EASY_MID,171.0,EASY_MID,111.0,MID,180.0,EASY_MID,37.0,HARD,228,117.0,box
119,72.0,29.0,13.0,8.0,2.0,8.0,8.0,114.0,101.0,85.0,42.0,10.0,1,119,165.0,EASY_MID,51.0,HARD_MID,105.0,MID,104.0,MID,32.0,HARD,4.0,HARD,178.0,EASY_MID,127.0,MID,131.0,MID,152.0,EASY_MID,54.0,HARD_MID,66.0,HARD_MID,228,165.0,box
120,70.5,26.5,9.0,2.5,1.5,14.5,4.5,106.0,97.0,79.5,35.5,4.0,2,120,155.0,EASY_MID,25.0,HARD,14.0,HARD,2.0,HARD,22.0,HARD,128.0,MID,64.0,HARD_MID,67.0,HARD_MID,98.0,MID,114.0,MID,7.0,HARD,1.0,HARD,228,155.0,box
127,69.5,35.0,15.5,8.5,4.0,17.5,4.5,120.0,104.5,85.0,50.5,12.5,2,127,149.0,EASY_MID,148.0,EASY_MID,178.0,EASY_MID,128.0,MID,138.0,EASY_MID,183.0,EASY,64.0,HARD_MID,165.0,EASY_MID,159.0,EASY_MID,152.0,EASY_MID,177.0,EASY_MID,138.0,EASY_MID,228,149.0,box
130,60.0,33.0,15.5,6.25,3.5,16.5,4.0,108.5,93.0,75.5,48.5,9.75,4,130,40.0,HARD,112.0,MID,178.0,EASY_MID,45.0,HARD,115.0,MID,164.0,EASY_MID,34.0,HARD,84.0,HARD_MID,61.0,HARD_MID,74.0,HARD_MID,152.0,EASY_MID,62.0,HARD_MID,228,40.0,box
142,75.0,42.5,18.5,11.5,4.0,12.0,11.5,136.0,117.5,93.5,61.0,15.5,2,142,185.0,EASY,214.0,EASY,210.0,EASY,203.0,EASY,138.0,EASY_MID,54.0,HARD_MID,225.0,EASY,212.0,EASY,210.0,EASY,207.0,EASY,219.0,EASY,204.0,EASY,228,185.0,box
145,65.5,30.0,13.5,4.0,2.0,16.5,8.0,109.0,95.5,79.0,43.5,6.0,2,145,100.0,MID,67.0,HARD_MID,125.0,MID,8.0,HARD,32.0,HARD,164.0,EASY_MID,178.0,EASY_MID,88.0,HARD_MID,80.0,HARD_MID,111.0,MID,81.0,HARD_MID,3.0,HARD,228,100.0,box
147,61.8,34.8,11.8,8.2,3.2,20.4,5.6,108.4,96.6,73.6,46.6,11.4,5,147,65.0,HARD_MID,147.0,EASY_MID,81.0,HARD_MID,122.0,MID,106.0,MID,217.0,EASY,100.0,MID,83.0,HARD_MID,96.0,MID,59.0,HARD_MID,129.0,MID,104.0,MID,228,65.0,box
151,54.0,41.0,11.0,4.0,4.0,16.0,2.0,106.0,95.0,65.0,52.0,8.0,1,151,10.0,HARD,204.0,EASY,55.0,HARD_MID,8.0,HARD,138.0,EASY_MID,154.0,EASY_MID,3.0,HARD,67.0,HARD_MID,77.0,HARD_MID,14.0,HARD,180.0,EASY_MID,16.0,HARD,228,10.0,box
152,76.5,37.5,17.0,10.5,2.5,10.5,8.5,131.0,114.0,93.5,54.5,13.0,2,152,200.0,EASY,183.0,EASY,191.0,EASY,186.0,EASY,65.0,HARD_MID,32.0,HARD,196.0,EASY,204.0,EASY,203.0,EASY,207.0,EASY,199.0,EASY,149.0,EASY_MID,228,200.0,box
154,59.0,42.0,15.0,12.0,3.0,17.0,7.0,116.0,101.0,74.0,57.0,15.0,1,154,33.0,HARD,210.0,EASY,160.0,EASY_MID,208.0,EASY,80.0,HARD_MID,172.0,EASY_MID,154.0,EASY_MID,145.0,EASY_MID,131.0,MID,62.0,HARD_MID,207.0,EASY,194.0,EASY,228,33.0,box
158,61.5,30.5,10.5,9.0,3.0,15.0,4.0,102.5,92.0,72.0,41.0,12.0,2,158,57.0,HARD_MID,78.0,HARD_MID,45.0,HARD,137.0,EASY_MID,80.0,HARD_MID,136.0,MID,34.0,HARD,40.0,HARD,46.0,HARD_MID,45.0,HARD,42.0,HARD,120.0,MID,228,57.0,box
16,56.0,34.5,9.5,9.0,3.0,16.0,3.0,100.0,90.5,65.5,44.0,12.0,2,16,20.0,HARD,142.0,EASY_MID,25.0,HARD,137.0,EASY_MID,80.0,HARD_MID,154.0,EASY_MID,14.0,HARD,25.0,HARD,41.0,HARD,16.0,HARD,84.0,HARD_MID,120.0,MID,228,20.0,box
161,55.5,28.75,7.0,5.5,2.0,10.25,3.75,91.25,84.25,62.5,35.75,7.5,4,161,18.0,HARD,49.0,HARD_MID,2.0,HARD,23.0,HARD,32.0,HARD,30.0,HARD,32.0,HARD,8.0,HARD,14.0,HARD,7.0,HARD,10.0,HARD,13.0,HARD,228,18.0,box
163,62.0,30.666666666666668,14.0,7.333333333333333,3.0,14.0,7.666666666666667,106.66666666666667,92.66666666666667,76.0,44.666666666666664,10.333333333333334,3,163,66.0,HARD_MID,81.0,HARD_MID,137.0,EASY_MID,86.0,HARD_MID,80.0,HARD_MID,112.0,MID,175.0,EASY_MID,73.0,HARD_MID,59.0,HARD_MID,80.0,HARD_MID,103.0,MID,77.0,HARD_MID,228,66.0,box
171,55.333333333333336,27.666666666666668,8.833333333333334,9.666666666666666,4.5,17.166666666666668,3.6666666666666665,91.83333333333333,83.0,64.16666666666667,36.5,14.166666666666666,6,171,16.0,HARD,34.0,HARD,13.0,HARD,167.0,EASY_MID,174.0,EASY_MID,182.0,EASY_MID,31.0,HARD,9.0,HARD,10.0,HARD,13.0,HARD,14.0,HARD,184.0,EASY,228,16.0,box
179,68.0,35.5,17.5,5.0,2.0,12.5,8.0,121.0,103.5,85.5,53.0,7.0,2,179,126.0,MID,161.0,EASY_MID,204.0,EASY,15.0,HARD,32.0,HARD,76.0,HARD_MID,178.0,EASY_MID,170.0,EASY_MID,152.0,EASY_MID,158.0,EASY_MID,186.0,EASY,7.0,HARD,228,126.0,box
183,80.5,36.5,23.0,9.5,2.0,11.0,8.0,140.0,117.0,103.5,59.5,11.5,2,183,213.0,EASY,173.0,EASY_MID,227.0,EASY,160.0,EASY_MID,32.0,HARD,36.0,HARD,178.0,EASY_MID,219.0,EASY,209.0,EASY,223.0,EASY,217.0,EASY,107.0,MID,228,213.0,box
189,75.0,43.0,22.0,8.0,5.0,17.0,11.0,140.0,118.0,97.0,65.0,13.0,1,189,185.0,EASY,215.0,EASY,225.0,EASY,104.0,MID,188.0,EASY,172.0,EASY_MID,222.0,EASY,219.0,EASY,211.0,EASY,214.0,EASY,225.0,EASY,149.0,EASY_MID,228,185.0,box
193,62.5,36.5,10.5,8.25,3.5,14.0,4.5,109.5,99.0,73.0,47.0,11.75,4,193,78.0,HARD_MID,173.0,EASY_MID,45.0,HARD,123.0,MID,115.0,MID,112.0,MID,64.0,HARD_MID,92.0,MID,111.0,MID,52.0,HARD_MID,131.0,MID,117.0,MID,228,78.0,box
194,68.5,32.0,6.5,8.5,1.5,15.0,3.0,107.0,100.5,75.0,38.5,10.0,2,194,136.0,MID,95.0,MID,1.0,HARD,128.0,MID,22.0,HARD,136.0,MID,14.0,HARD,75.0,HARD_MID,125.0,MID,71.0,HARD_MID,21.0,HARD,66.0,HARD_MID,228,136.0,box
195,76.66666666666667,42.333333333333336,13.0,9.333333333333334,5.333333333333333,18.666666666666668,10.333333333333334,132.0,119.0,89.66666666666667,55.333333333333336,14.666666666666666,3,195,204.0,EASY,213.0,EASY,105.0,MID,158.0,EASY_MID,207.0,EASY,202.0,EASY,220.0,EASY,206.0,EASY,214.0,EASY,188.0,EASY,203.0,EASY,191.0,EASY,228,204.0,box
197,77.5,26.0,19.5,6.5,5.0,8.5,7.5,123.0,103.5,97.0,45.5,11.5,2,197,207.0,EASY,18.0,HARD,217.0,EASY,46.0,HARD_MID,188.0,EASY,12.0,HARD,169.0,EASY_MID,177.0,EASY_MID,152.0,EASY_MID,214.0,EASY,116.0,MID,107.0,MID,228,207.0,box
2000,62.25,25.75,15.0,9.0,3.5,15.25,4.25,103.0,88.0,77.25,40.75,12.5,4,2000,76.0,HARD_MID,17.0,HARD,160.0,EASY_MID,137.0,EASY_MID,115.0,MID,148.0,EASY_MID,56.0,HARD_MID,43.0,HARD,24.0,HARD,96.0,MID,41.0,HARD,138.0,EASY_MID,228,76.0,box
