proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,duration,line_num,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK,team_adj_o,team_adj_d,team_adj_em,team_tempo,opp_adj_o,opp_adj_d,opp_adj_em,adj_em_diff,pace_context,torvik_data_source
10822774,279778,kenyon giles|WICH,Kenyon Giles,kenyon giles,WICH,TLSA,WICH,TLSA,G,Pts+Rebs+Asts,pra,Standard,26.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs+Asts,standard,Full,26.5,153,73.04,Avg,Avg,153,,,,,102.1,108.18,-6.08,,cache_miss,cache_miss
10822793,280768,tylen riley|TLSA,Tylen Riley,tylen riley,TLSA,WICH,TLSA,WICH,G,Pts+Rebs+Asts,pra,Standard,25.5,2026-03-24T19:00:00.000-04:00,146470,20,TLSA,Pts+Rebs+Asts,standard,Full,25.5,83,70.25,Above Avg,Above Avg,83,102.1,108.18,-6.08,66.52,,,,,medium,torvik
10822773,279778,kenyon giles|WICH,Kenyon Giles,kenyon giles,WICH,TLSA,WICH,TLSA,G,Pts+Rebs,pr,Standard,24.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs,standard,Full,24.5,153,73.04,Avg,Avg,153,,,,,102.1,108.18,-6.08,,cache_miss,cache_miss
10823230,279786,karon boyd|WICH,Karon Boyd,karon boyd,WICH,TLSA,WICH,TLSA,F,Pts+Rebs+Asts,pra,Demon,24.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs+Asts,demon,Full,24.5,153,73.04,Avg,Avg,153,,,,,102.1,108.18,-6.08,,cache_miss,cache_miss
10822772,279778,kenyon giles|WICH,Kenyon Giles,kenyon giles,WICH,TLSA,WICH,TLSA,G,Pts+Asts,pa,Standard,23.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Asts,standard,Full,23.5,153,73.04,Avg,Avg,153,,,,,102.1,108.18,-6.08,,cache_miss,cache_miss
10823228,279786,karon boyd|WICH,Karon Boyd,karon boyd,WICH,TLSA,WICH,TLSA,F,Pts+Rebs+Asts,pra,Demon,22.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs+Asts,demon,Full,22.5,153,73.04,Avg,Avg,153,,,,,102.1,108.18,-6.08,,cache_miss,cache_miss
10822771,279778,kenyon giles|WICH,Kenyon Giles,kenyon giles,WICH,TLSA,WICH,TLSA,G,Points,pts,Standard,21.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Points,standard,Full,21.5,153,73.04,Avg,Avg,153,,,,,102.1,108.18,-6.08,,cache_miss,cache_miss
10822791,280768,tylen riley|TLSA,Tylen Riley,tylen riley,TLSA,WICH,TLSA,WICH,G,Pts+Asts,pa,Standard,21.5,2026-03-24T19:00:00.000-04:00,146470,20,TLSA,Pts+Asts,standard,Full,21.5,83,70.25,Above Avg,Above Avg,83,102.1,108.18,-6.08,66.52,,,,,medium,torvik
10822792,280768,tylen riley|TLSA,Tylen Riley,tylen riley,TLSA,WICH,TLSA,WICH,G,Pts+Rebs,pr,Standard,20.5,2026-03-24T19:00:00.000-04:00,146470,20,TLSA,Pts+Rebs,standard,Full,20.5,83,70.25,Above Avg,Above Avg,83,102.1,108.18,-6.08,66.52,,,,,medium,torvik
10823229,279786,karon boyd|WICH,Karon Boyd,karon boyd,WICH,TLSA,WICH,TLSA,F,Pts+Rebs+Asts,pra,Demon,20.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs+Asts,demon,Full,20.5,153,73.04,Avg,Avg,153,,,,,102.1,108.18,-6.08,,cache_miss,cache_miss
