espn_id,player_name,player_key,tournament_date,tournament_name,round,strokes,birdies,bogeys,pars,birdies_or_better,bogeys_or_worse,holes_played
,Ben James,ben james,2026-06-11,RBC Canadian Open,2,47.0,4.0,0.0,4.0,4.0,1.0,9.0
,Ryan Fox,ryan fox,2026-06-11,RBC Canadian Open,2,62.0,6.0,2.0,1.0,6.0,2.0,9.0
,Brooks Koepka,brooks koepka,2026-06-11,RBC Canadian Open,2,64.0,4.0,2.0,1.0,4.0,4.0,9.0
,Emiliano Grillo,emiliano grillo,2026-06-11,RBC Canadian Open,2,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Robert MacIntyre,robert macintyre,2026-06-11,RBC Canadian Open,2,58.0,5.0,1.0,4.0,5.0,1.0,10.0
,Harry Hall,harry hall,2026-06-11,RBC Canadian Open,2,59.0,3.0,1.0,8.0,3.0,1.0,12.0
,Austin Eckroat,austin eckroat,2026-06-11,RBC Canadian Open,2,54.0,2.0,1.0,6.0,2.0,2.0,10.0
,Jackson Suber,jackson suber,2026-06-11,RBC Canadian Open,2,51.0,3.0,1.0,6.0,3.0,1.0,10.0
,Aldrich Potgieter,aldrich potgieter,2026-06-11,RBC Canadian Open,2,60.0,4.0,1.0,4.0,4.0,2.0,10.0
,Shane Lowry,shane lowry,2026-06-11,RBC Canadian Open,2,62.0,0.0,2.0,9.0,0.0,3.0,12.0
,Johnny Keefer,johnny keefer,2026-06-11,RBC Canadian Open,2,56.0,3.0,2.0,5.0,3.0,2.0,10.0
,Max Homa,max homa,2026-06-11,RBC Canadian Open,2,63.0,4.0,2.0,5.0,4.0,2.0,11.0
,Chandler Phillips,chandler phillips,2026-06-11,RBC Canadian Open,2,65.0,5.0,2.0,1.0,5.0,3.0,9.0
,Alex Fitzpatrick,alex fitzpatrick,2026-06-11,RBC Canadian Open,2,60.0,4.0,0.0,6.0,4.0,1.0,11.0
,Adam Hadwin,adam hadwin,2026-06-11,RBC Canadian Open,2,68.0,5.0,3.0,2.0,5.0,3.0,10.0
,Christiaan Bezuidenhout,christiaan bezuidenhout,2026-06-11,RBC Canadian Open,2,70.0,2.0,2.0,10.0,2.0,2.0,14.0
,Michael Thorbjornsen,michael thorbjornsen,2026-06-11,RBC Canadian Open,2,64.0,3.0,1.0,9.0,3.0,1.0,13.0
