TEAM_ABBREVIATION,closer_name,closer_hand,closer_era,closer_saves,staff_lhp,staff_rhp,sp1_name,sp1_hand,sp1_era,sp1_gs,sp2_name,sp2_hand,sp2_era,sp2_gs,sp3_name,sp3_hand,sp3_era,sp3_gs,sp4_name,sp4_hand,sp4_era,sp4_gs,sp5_name,sp5_hand,sp5_era,sp5_gs
ATH,Hogan Harris,L,3.55,13,6,7,J.T. Ginn,R,3.71,24,Jeffrey Springs,L,6.08,24,Jacob Lopez,L,4.82,19,Gage Jump,L,4.69,17,Jack Perkins,R,6.42,12
ATL,Raisel Iglesias,R,2.88,29,6,7,Grant Holmes,R,3.71,25,Bryce Elder,R,3.95,25,Chris Sale,L,2.06,24,Martín Pérez,L,3.05,22,Tyler Mahle,R,1.52,4
AZ,Brandyn Garcia,L,2.25,4,3,11,Eduardo Rodriguez,L,2.5,27,Merrill Kelly,R,5.08,25,Brandon Pfaadt,R,3.51,14,Mitch Bratt,L,4.7,10,Jose Cabrera,R,5.32,5
BAL,Andrew Kittredge,R,3.19,8,3,10,Shane Baz,R,4.01,27,Kyle Bradish,R,4.03,26,Trevor Rogers,L,4.38,25,Brandon Young,R,3.38,23,Chris Bassitt,R,4.74,13
BOS,Aroldis Chapman,L,1.81,30,8,5,Sonny Gray,R,2.82,25,Ranger Suarez,L,3.35,23,Payton Tolle,L,3.09,22,Jake Bennett,L,3.27,16,Patrick Sandoval,L,4.2,9
CHC,Jacob Webb,R,2.91,9,5,8,Shota Imanaga,L,3.78,26,Kevin Gausman,R,4.38,23,Colin Rea,R,4.48,19,Matthew Boyd,L,3.99,17,Aaron Civale,R,5.42,15
CIN,Emilio Pagán,R,3.9,18,4,9,Andrew Abbott,L,4.49,28,Brady Singer,R,4.72,26,Chase Burns,R,2.77,25,Rhett Lowder,R,5.14,21,Nick Lodolo,L,5.24,16
CLE,Cade Smith,R,2.4,35,6,7,Joey Cantillo,L,3.7,28,Tanner Bibee,R,3.88,28,Gavin Williams,R,3.98,27,Parker Messick,L,2.5,26,Foster Griffin,L,3.06,22
COL,Jordan Romano,R,2.25,9,2,11,Tomoyuki Sugano,R,5.23,24,Ryan Feltner,R,6.08,20,Gabriel Hughes,R,6.61,9,Tanner Gordon,R,5.38,7,Zach Agnos,R,5.49,3
CWS,Grant Taylor,R,2.03,8,5,8,Anthony Kay,L,4.09,25,Sean Burke,R,3.32,23,Erick Fedde,R,4.16,13,Bryan Hudson,L,3.16,7,Luis Castillo,R,6.45,5
DET,Kenley Jansen,R,4.04,17,4,9,Framber Valdez,L,4.35,26,Keider Montero,R,3.24,22,Troy Melton,R,1.86,16,Drew Anderson,R,3.87,7,Jackson Jobe,R,3.93,4
HOU,Josh Hader,L,0.76,20,3,10,Peter Lambert,R,3.66,23,Hunter Brown,R,3.33,15,Tatsuya Imai,R,5.32,15,Kai-Wei Teng,R,4.42,10,Cristian Javier,R,6.45,8
KC,Alex Lange,R,5.81,10,4,9,Michael Wacha,R,3.32,27,Seth Lugo,R,4.61,27,Noah Cameron,L,3.98,25,Randy Dobnak,R,1.92,8,Daniel Lynch IV,L,3.06,5
LAA,Ben Joyce,R,3.24,3,4,9,Reid Detmers,L,3.54,27,Walbert Ureña,R,2.94,22,Grayson Rodriguez,R,6.03,15,Ryan Johnson,R,5.47,14,Yusei Kikuchi,L,6.25,8
LAD,Tanner Scott,L,2.45,20,6,7,Yoshinobu Yamamoto,R,2.56,24,Tyler Glasnow,R,3.02,8,Eric Lauer,L,6.69,6,Blake Snell,L,2.42,5,Tarik Skubal,L,3.0,5
MIA,Calvin Faucher,R,3.99,2,1,12,Sandy Alcantara,R,3.46,29,Eury Pérez,R,3.44,24,Janson Junk,R,4.21,19,Tyler Phillips,R,3.59,15,Ryan Gusto,R,3.98,13
MIL,Trevor Megill,R,2.24,25,5,8,Jacob Misiorowski,R,1.73,25,Kyle Harrison,L,2.79,21,Shane Drohan,L,3.75,16,Robert Gasser,L,4.59,15,Logan Henderson,R,2.48,14
MIN,Yoendrys Gómez,R,2.66,19,4,9,Taj Bradley,R,3.97,26,Bailey Ober,R,4.37,21,Connor Prielipp,L,5.55,19,Zebby Matthews,R,4.86,18,Dean Kremer,R,4.39,5
NYM,Kodai Senga,R,7.5,4,4,9,Nolan McLean,R,3.06,27,Christian Scott,R,3.8,20,Sean Manaea,L,4.55,14,Zac Thornton,L,2.88,10,Kodai Senga,R,7.5,8
NYY,David Bednar,R,2.31,31,5,8,Cam Schlittler,R,2.09,28,Will Warren,R,4.39,25,Gerrit Cole,R,3.19,17,Max Fried,L,2.8,16,Carlos Rodón,L,3.2,12
PHI,Jhoan Duran,R,1.64,28,5,8,Cristopher Sánchez,L,2.52,28,Jesús Luzardo,L,3.09,27,Aaron Nola,R,5.03,27,Zack Wheeler,R,3.4,22,Andrew Painter,R,5.95,18
PIT,Gregory Soto,L,3.2,14,3,10,Paul Skenes,R,3.79,27,Braxton Ashcraft,R,3.59,26,Bubba Chandler,R,4.26,25,Jared Jones,R,4.83,16,Carmen Mlodzinski,R,4.05,12
SD,Mason Miller,R,0.96,32,5,8,Michael King,R,3.23,27,Walker Buehler,R,4.66,27,Robbie Ray,L,3.08,21,Randy Vásquez,R,4.02,21,Griffin Canning,R,6.08,11
SEA,Andrés Muñoz,R,4.28,24,3,10,Logan Gilbert,R,3.36,26,Emerson Hancock,R,3.57,25,George Kirby,R,4.02,25,Bryan Woo,R,4.36,25,Bryce Miller,R,4.12,16
SF,Dylan Smith,R,3.34,3,3,11,Landen Roupp,R,4.25,26,Logan Webb,R,3.72,24,Blade Tidwell,R,4.54,5,Matt Wilkinson,L,4.63,3,Yunior Marte,R,1.93,1
