TEAM_ABBREVIATION,SP_ERA,WHIP,OBP_ALLOWED,ERA_RANK,WHIP_RANK,OBP_ALLOWED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,def_rank,def_tier,inningsPitched,gamesPlayed
NYY,2.96,1.13,0.288,1,1,1,1.0,1,Elite,1,Elite,309.2,35.0
ATL,3.19,1.17,0.295,2,3,4,2.769230769230769,3,Elite,2,Elite,313.0,36.0
LAD,3.23,1.13,0.288,3,1,1,1.9230769230769231,2,Elite,3,Elite,303.1,35.0
MIL,3.61,1.26,0.312,4,10,11,7.461538461538462,7,Above Avg,4,Above Avg,299.1,34.0
TEX,3.66,1.22,0.303,5,6,6,5.538461538461538,5,Elite,5,Elite,297.2,34.0
TB,3.67,1.2,0.293,6,5,3,5.0,4,Elite,6,Elite,306.1,34.0
PIT,3.72,1.23,0.306,7,7,8,7.230769230769232,6,Elite,7,Elite,319.1,35.0
SEA,3.74,1.26,0.319,8,10,14,10.0,10,Above Avg,8,Above Avg,313.0,36.0
DET,3.84,1.32,0.318,9,16,13,12.076923076923077,12,Above Avg,9,Above Avg,311.1,36.0
MIA,3.86,1.24,0.304,10,8,7,8.692307692307693,9,Above Avg,10,Above Avg,307.2,35.0
SF,3.87,1.32,0.319,11,16,14,13.230769230769232,14,Avg,11,Avg,300.1,34.0
NYM,3.91,1.25,0.306,12,9,8,10.153846153846153,11,Above Avg,12,Above Avg,315.0,35.0
CHC,3.93,1.19,0.296,13,4,5,8.384615384615385,8,Above Avg,13,Above Avg,307.0,35.0
CLE,4.03,1.27,0.31,14,12,10,12.461538461538462,13,Avg,14,Avg,315.0,36.0
BOS,4.14,1.31,0.322,15,14,16,14.923076923076923,16,Avg,15,Avg,308.1,35.0
CWS,4.25,1.39,0.335,16,20,22,18.615384615384617,19,Below Avg,16,Below Avg,302.2,35.0
TOR,4.27,1.3,0.316,17,13,12,14.615384615384617,15,Avg,17,Avg,309.2,35.0
SD,4.3,1.31,0.324,18,14,17,16.53846153846154,17,Avg,18,Avg,295.0,33.0
KC,4.34,1.37,0.327,19,18,18,18.461538461538463,18,Avg,19,Avg,309.1,35.0
CIN,4.46,1.5,0.35,20,29,29,24.846153846153847,25,Weak,20,Weak,307.0,35.0
MIN,4.46,1.37,0.333,20,18,20,19.384615384615387,20,Below Avg,20,Below Avg,307.0,35.0
STL,4.49,1.43,0.343,22,24,26,23.53846153846154,23,Below Avg,22,Below Avg,313.0,35.0
LAA,4.53,1.42,0.338,23,23,23,23.000000000000004,22,Below Avg,23,Below Avg,309.2,36.0
ATH,4.53,1.46,0.344,23,27,27,25.153846153846157,26,Weak,23,Weak,305.2,34.0
COL,4.59,1.39,0.333,25,20,20,22.307692307692307,21,Below Avg,25,Below Avg,317.1,36.0
PHI,4.61,1.45,0.339,26,25,24,25.23076923076923,27,Weak,26,Weak,310.1,35.0
BAL,4.79,1.49,0.344,27,28,27,27.30769230769231,29,Weak,27,Weak,308.0,35.0
WSH,4.81,1.45,0.339,28,25,24,26.153846153846153,28,Weak,28,Weak,316.0,35.0
AZ,5.07,1.41,0.331,29,22,19,24.53846153846154,24,Below Avg,29,Below Avg,289.1,33.0
HOU,5.86,1.65,0.378,30,30,30,30.0,30,Weak,30,Weak,310.1,36.0
