projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,player_name,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,line_score,standard_line,pick_type,sport,game_date
12018014,12018014,204575,151304,2026-05-11T18:10:00.000-04:00,Joey Cantillo,Joey Cantillo,https://static.prizepicks.com/images/players/MLB/Joseph_Cantillo_MLB_player_utLPtcvg2XZd1ejc4ra4xcku-450.webp,P,CLE,LAA,,,Pitching Outs,14.5,14.5,,Goblin,MLB,2026-05-11
12018012,12018012,204575,151304,2026-05-11T18:10:00.000-04:00,Joey Cantillo,Joey Cantillo,https://static.prizepicks.com/images/players/MLB/Joseph_Cantillo_MLB_player_utLPtcvg2XZd1ejc4ra4xcku-450.webp,P,CLE,LAA,,,Hits Allowed,4.5,4.5,,Demon,MLB,2026-05-11
12018013,12018013,204575,151304,2026-05-11T18:10:00.000-04:00,Joey Cantillo,Joey Cantillo,https://static.prizepicks.com/images/players/MLB/Joseph_Cantillo_MLB_player_utLPtcvg2XZd1ejc4ra4xcku-450.webp,P,CLE,LAA,,,Pitcher Strikeouts,4.5,4.5,,Goblin,MLB,2026-05-11
12019961,12019961,68993,151304,2026-05-11T18:10:00.000-04:00,Jo Adell,Jo Adell,https://static.prizepicks.com/images/players/MLB/Jordon_Adell_MLB_player_dorGMwhEsdcum4ct010IzzVd-450.webp,OF,LAA,CLE,,,Total Bases,3.5,3.5,,Demon,MLB,2026-05-11
12019974,12019974,233243,151304,2026-05-11T18:10:00.000-04:00,Jorge Soler,Jorge Soler,https://static.prizepicks.com/images/players/MLB/Jorge_Soler_MLB_player_cGRBuTnWyibVXYYAGXSE2Ni5-450.webp,OF,LAA,CLE,,,Total Bases,3.5,3.5,,Demon,MLB,2026-05-11
12019988,12019988,67548,151304,2026-05-11T18:10:00.000-04:00,Mike Trout,Mike Trout,https://static.prizepicks.com/images/players/MLB/Michael_Trout_MLB_player_LHv8c1oLhKmqV7uoTnKymrNc-450.webp,OF,LAA,CLE,,,Total Bases,3.5,3.5,,Demon,MLB,2026-05-11
12020004,12020004,249949,151304,2026-05-11T18:10:00.000-04:00,Oswald Peraza,Oswald Peraza,https://static.prizepicks.com/images/manual/OswaldPeraza.png,IF,LAA,CLE,,,Total Bases,3.5,3.5,,Demon,MLB,2026-05-11
12020015,12020015,313407,151304,2026-05-11T18:10:00.000-04:00,Vaughn Grissom,Vaughn Grissom,https://static.prizepicks.com/images/players/MLB/Vaughn_Grissom_MLB_player_kMjfORA5QIWY7Kexe5PjsyGw-450.webp,IF,LAA,CLE,,,Total Bases,3.5,3.5,,Demon,MLB,2026-05-11
12020028,12020028,140086,151304,2026-05-11T18:10:00.000-04:00,Zach Neto,Zach Neto,https://static.prizepicks.com/images/players/MLB/Zachary_Neto_MLB_player_LCxnvNnNsICLVoUzcyYyrxbl-450.webp,IF,LAA,CLE,,,Total Bases,3.5,3.5,,Demon,MLB,2026-05-11
12019971,12019971,233243,151304,2026-05-11T18:10:00.000-04:00,Jorge Soler,Jorge Soler,https://static.prizepicks.com/images/players/MLB/Jorge_Soler_MLB_player_cGRBuTnWyibVXYYAGXSE2Ni5-450.webp,OF,LAA,CLE,,,Hitter Strikeouts,2.5,2.5,,Demon,MLB,2026-05-11
