projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,player_name,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,line_score,standard_line,pick_type,sport,game_date
11529810,11529810,238399,145971,2026-04-20T18:10:00.000-04:00,Slade Cecconi,Slade Cecconi,https://static.prizepicks.com/images/players/MLB/Slade_Cecconi_MLB_player_RPIBewwyKpw0jqAUT6dRVt1T-450.webp,P,CLE,,,,Pitching Outs,16.0,16.0,16.0,Standard,MLB,2026-04-20
11536363,11536363,194420,145971,2026-04-20T18:10:00.000-04:00,Spencer Arrighetti,Spencer Arrighetti,https://static.prizepicks.com/images/players/MLB/Spencer_Arrighetti_MLB_player_M23fzh0ddaVdTmdTBYZywPj2-450.webp,P,HOU,,,,Pitching Outs,15.5,15.5,15.5,Standard,MLB,2026-04-20
11536895,11536895,194420,145971,2026-04-20T18:10:00.000-04:00,Spencer Arrighetti,Spencer Arrighetti,https://static.prizepicks.com/images/players/MLB/Spencer_Arrighetti_MLB_player_M23fzh0ddaVdTmdTBYZywPj2-450.webp,P,HOU,,,,Pitcher Strikeouts,9.5,9.5,,Demon,MLB,2026-04-20
11536894,11536894,194420,145971,2026-04-20T18:10:00.000-04:00,Spencer Arrighetti,Spencer Arrighetti,https://static.prizepicks.com/images/players/MLB/Spencer_Arrighetti_MLB_player_M23fzh0ddaVdTmdTBYZywPj2-450.webp,P,HOU,,,,Pitcher Strikeouts,8.5,8.5,,Demon,MLB,2026-04-20
11536893,11536893,194420,145971,2026-04-20T18:10:00.000-04:00,Spencer Arrighetti,Spencer Arrighetti,https://static.prizepicks.com/images/players/MLB/Spencer_Arrighetti_MLB_player_M23fzh0ddaVdTmdTBYZywPj2-450.webp,P,HOU,,,,Pitcher Strikeouts,7.5,7.5,,Demon,MLB,2026-04-20
11540112,11540112,238399,145971,2026-04-20T18:10:00.000-04:00,Slade Cecconi,Slade Cecconi,https://static.prizepicks.com/images/players/MLB/Slade_Cecconi_MLB_player_RPIBewwyKpw0jqAUT6dRVt1T-450.webp,P,CLE,,,,Hits Allowed,7.5,7.5,,Demon,MLB,2026-04-20
11535137,11535137,238399,145971,2026-04-20T18:10:00.000-04:00,Slade Cecconi,Slade Cecconi,https://static.prizepicks.com/images/players/MLB/Slade_Cecconi_MLB_player_RPIBewwyKpw0jqAUT6dRVt1T-450.webp,P,CLE,,,,Pitcher Strikeouts,6.5,6.5,,Demon,MLB,2026-04-20
11536362,11536362,194420,145971,2026-04-20T18:10:00.000-04:00,Spencer Arrighetti,Spencer Arrighetti,https://static.prizepicks.com/images/players/MLB/Spencer_Arrighetti_MLB_player_M23fzh0ddaVdTmdTBYZywPj2-450.webp,P,HOU,,,,Pitcher Strikeouts,6.5,6.5,,Demon,MLB,2026-04-20
11540110,11540110,238399,145971,2026-04-20T18:10:00.000-04:00,Slade Cecconi,Slade Cecconi,https://static.prizepicks.com/images/players/MLB/Slade_Cecconi_MLB_player_RPIBewwyKpw0jqAUT6dRVt1T-450.webp,P,CLE,,,,Hits Allowed,6.5,6.5,,Demon,MLB,2026-04-20
11540115,11540115,194420,145971,2026-04-20T18:10:00.000-04:00,Spencer Arrighetti,Spencer Arrighetti,https://static.prizepicks.com/images/players/MLB/Spencer_Arrighetti_MLB_player_M23fzh0ddaVdTmdTBYZywPj2-450.webp,P,HOU,,,,Hits Allowed,6.5,6.5,,Demon,MLB,2026-04-20
