SEASON,EVENT_ID,GAME_DATE,TEAM,ESPN_ATHLETE_ID,PLAYER,PLAYER_NORM,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA
2025-26,401810475,2026-01-22,CLE,3912848,Dean Wade,dean wade,27,4,9,4,1,1,1,1.0,3.0,0.0,2.0,2.0,2.0
2025-26,401810475,2026-01-22,CLE,4066328,Jarrett Allen,jarrett allen,35,13,9,0,0,2,1,4.0,8.0,0.0,0.0,5.0,6.0
2025-26,401810475,2026-01-22,CLE,4432158,Evan Mobley,evan mobley,36,14,14,0,1,3,2,6.0,13.0,0.0,4.0,2.0,3.0
2025-26,401810475,2026-01-22,CLE,3908809,Donovan Mitchell,donovan mitchell,37,24,3,6,1,0,8,8.0,20.0,2.0,8.0,6.0,7.0
2025-26,401810475,2026-01-22,CLE,4683747,Jaylon Tyson,jaylon tyson,31,14,7,4,1,0,2,6.0,17.0,1.0,9.0,1.0,2.0
2025-26,401810475,2026-01-22,CLE,2580365,Larry Nance Jr.,larry nance,13,5,2,1,1,0,0,2.0,3.0,1.0,1.0,0.0,0.0
2025-26,401810475,2026-01-22,CLE,4065732,De'Andre Hunter,de andre hunter,13,4,4,1,1,0,4,1.0,6.0,1.0,6.0,1.0,2.0
2025-26,401810475,2026-01-22,CLE,5106268,Nae'Qwan Tomlin,nae qwan tomlin,21,6,9,2,0,0,0,3.0,7.0,0.0,3.0,0.0,0.0
2025-26,401810475,2026-01-22,CLE,4701233,Craig Porter Jr.,craig porter,18,7,1,2,0,2,2,2.0,5.0,2.0,3.0,1.0,2.0
2025-26,401810475,2026-01-22,CLE,5023693,Tyrese Proctor,tyrese proctor,10,3,2,0,0,0,0,1.0,5.0,1.0,4.0,0.0,0.0
2025-26,401810475,2026-01-22,CHA,4066383,Miles Bridges,miles bridges,26,11,1,1,0,0,0,5.0,13.0,1.0,5.0,0.0,1.0
2025-26,401810475,2026-01-22,CHA,4433249,Moussa Diabate,moussa diabate,29,4,5,0,1,3,2,1.0,1.0,0.0,0.0,2.0,6.0
2025-26,401810475,2026-01-22,CHA,4433287,Brandon Miller,brandon miller,34,24,4,2,2,0,3,8.0,20.0,3.0,11.0,5.0,5.0
2025-26,401810475,2026-01-22,CHA,4602025,Sion James,sion james,22,0,1,1,1,0,0,0.0,2.0,0.0,0.0,0.0,0.0
2025-26,401810475,2026-01-22,CHA,5061575,Kon Knueppel,kon knueppel,31,21,11,2,1,0,2,8.0,21.0,2.0,10.0,3.0,3.0
2025-26,401810475,2026-01-22,CHA,4066218,Grant Williams,grant williams,25,0,5,4,3,0,1,0.0,6.0,0.0,5.0,0.0,0.0
2025-26,401810475,2026-01-22,CHA,4576060,Ryan Kalkbrenner,ryan kalkbrenner,15,7,4,1,0,0,1,3.0,5.0,0.0,0.0,1.0,1.0
2025-26,401810475,2026-01-22,CHA,4277811,Collin Sexton,collin sexton,15,11,2,0,1,0,0,5.0,12.0,1.0,4.0,0.0,0.0
