player_id,player_name_pp,team_pp,nba_player_id,nba_player_name,resolver
4278039,Nickeil Alexander-Walker,ATL,1629638,Nickeil Alexander-Walker,espn_name_strict
4869342,Dyson Daniels,ATL,1630700,Dyson Daniels,espn_name_strict
4431941,RayJ Dennis,ATL,1642484,RayJ Dennis,espn_name_strict
4712863,Mouhamed Gueye,ATL,1631243,Mouhamed Gueye,espn_name_strict
2990984,Buddy Hield,ATL,1627741,Buddy Hield,espn_name_strict
4433623,Caleb Houstan,ATL,1631216,Caleb Houstan,espn_name_strict
4701230,Jalen Johnson,ATL,1630552,Jalen Johnson,espn_name_strict
4280151,Corey Kispert,ATL,1630557,Corey Kispert,espn_name_strict
4431778,Christian Koloko,ATL,1631132,Christian Koloko,espn_name_strict
4433247,Jonathan Kuminga,ATL,1630228,Jonathan Kuminga,espn_name_strict
3146557,Jock Landale,ATL,1629111,Jock Landale,espn_name_strict
2490149,CJ McCollum,ATL,203468,CJ McCollum,espn_name_strict
4873201,Asa Newell,ATL,1642854,Asa Newell,espn_name_strict
4431680,Onyeka Okongwu,ATL,1630168,Onyeka Okongwu,espn_name_strict
5211175,Zaccharie Risacher,ATL,1642258,Zaccharie Risacher,espn_name_strict
3137259,Gabe Vincent,ATL,1629216,Gabe Vincent,espn_name_strict
4279118,Keaton Wallace,ATL,1630811,Keaton Wallace,espn_name_strict
3917376,Jaylen Brown,BOS,1627759,Jaylen Brown,espn_name_strict
4277951,Luka Garza,BOS,1630568,Luka Garza,espn_name_strict
4397251,Ron Harper Jr.,BOS,1631199,Ron Harper Jr.,espn_name_strict
4065804,Sam Hauser,BOS,1630573,Sam Hauser,espn_name_strict
4066354,Payton Pritchard,BOS,1630202,Payton Pritchard,espn_name_strict
4397424,Neemias Queta,BOS,1629674,Neemias Queta,espn_name_strict
4593841,Baylor Scheierman,BOS,1631248,Baylor Scheierman,espn_name_strict
4701992,Max Shulga,BOS,1642917,Max Shulga,espn_name_strict
4065648,Jayson Tatum,BOS,1628369,Jayson Tatum,espn_name_strict
4593043,John Tonje,BOS,1642910,John Tonje,espn_name_strict
4683689,Jordan Walsh,BOS,1641775,Jordan Walsh,espn_name_strict
3078576,Derrick White,BOS,1628401,Derrick White,espn_name_strict
4702745,Amari Williams,BOS,1642873,Amari Williams,espn_name_strict
4397018,Ochai Agbaji,BKN,1630534,Ochai Agbaji,espn_name_strict
4278067,Nic Claxton,BKN,1629651,Nic Claxton,espn_name_strict
4712896,Noah Clowney,BKN,1641730,Noah Clowney,espn_name_strict
4432887,Tyson Etienne,BKN,1630623,Tyson Etienne,espn_name_strict
4432821,E.J. Liddell,BKN,1630604,E.J. Liddell,espn_name_strict
3907823,Terance Mann,BKN,1629611,Terance Mann,espn_name_strict
4278104,Michael Porter Jr.,BKN,1629008,Michael Porter Jr.,espn_name_strict
5037873,Drake Powell,BKN,1642962,Drake Powell,espn_name_strict
4432194,Day'Ron Sharpe,BKN,1630549,Day'Ron Sharpe,espn_name_strict
5279130,Nolan Traore,BKN,1642849,Nolan Traore,espn_name_strict
4395620,Hunter Tyson,BKN,1641816,Hunter Tyson,espn_name_strict
4433137,Ziaire Williams,BKN,1630533,Ziaire Williams,espn_name_strict
4431714,Jalen Wilson,BKN,1630592,Jalen Wilson,espn_name_strict
5107173,Danny Wolf,BKN,1642874,Danny Wolf,espn_name_strict
4432816,LaMelo Ball,CHA,1630163,LaMelo Ball,espn_name_strict
4565201,Malaki Branham,CHA,1631103,Malaki Branham,espn_name_strict
4066383,Miles Bridges,CHA,1628970,Miles Bridges,espn_name_strict
2578239,Pat Connaughton,CHA,1626192,Pat Connaughton,espn_name_strict
4597865,Tosan Evbuomwan,CHA,1641787,Tosan Evbuomwan,espn_name_strict
4432811,Josh Green,CHA,1630182,Josh Green,espn_name_strict
4701225,PJ Hall,CHA,1641790,PJ Hall,espn_name_strict
4602025,Sion James,CHA,1642883,Sion James,espn_name_strict
4576060,Ryan Kalkbrenner,CHA,1641750,Ryan Kalkbrenner,espn_name_strict
5061575,Kon Knueppel,CHA,1642851,Kon Knueppel,espn_name_strict
4432819,Tre Mann,CHA,1630544,Tre Mann,espn_name_strict
5239590,Liam McNeeley,CHA,1642862,Liam McNeeley,espn_name_strict
4433287,Brandon Miller,CHA,1641706,Brandon Miller,espn_name_strict
4592686,Antonio Reeves,CHA,1641810,Antonio Reeves,espn_name_strict
4277964,Xavier Tillman,CHA,1630214,Xavier Tillman,espn_name_strict
4395651,Coby White,CHA,1629632,Coby White,espn_name_strict
4066218,Grant Williams,CHA,1629684,Grant Williams,espn_name_strict
4711294,Matas Buzelis,CHI,1641824,Matas Buzelis,espn_name_strict
4066650,Zach Collins,CHI,1628380,Zach Collins,espn_name_strict
4684275,Rob Dillingham,CHI,1642265,Rob Dillingham,espn_name_strict
5242496,Noa Essengue,CHI,1642855,Noa Essengue,espn_name_strict
4871145,Josh Giddey,CHI,1630581,Josh Giddey,espn_name_strict
4433218,Jaden Ivey,CHI,1631093,Jaden Ivey,espn_name_strict
4395626,Tre Jones,CHI,1630200,Tre Jones,espn_name_strict
4397071,Mac McClung,CHI,1630644,Mac McClung,espn_name_strict
5044385,Leonard Miller,CHI,1631159,Leonard Miller,espn_name_strict
4432822,Isaac Okoro,CHI,1630171,Isaac Okoro,espn_name_strict
5091709,Lachlan Olbrich,CHI,1642950,Lachlan Olbrich,espn_name_strict
4278076,Nick Richards,CHI,1630208,Nick Richards,espn_name_strict
4277811,Collin Sexton,CHI,1629012,Collin Sexton,espn_name_strict
4351851,Anfernee Simons,CHI,1629014,Anfernee Simons,espn_name_strict
4397189,Jalen Smith,CHI,1630188,Jalen Smith,espn_name_strict
4431687,Patrick Williams,CHI,1630172,Patrick Williams,espn_name_strict
4017844,Guerschon Yabusele,CHI,1627824,Guerschon Yabusele,espn_name_strict
4066328,Jarrett Allen,CLE,1628386,Jarrett Allen,espn_name_strict
3934723,Thomas Bryant,CLE,1628418,Thomas Bryant,espn_name_strict
4702177,Keon Ellis,CLE,1631165,Keon Ellis,espn_name_strict
3992,James Harden,CLE,201935,James Harden,espn_name_strict
4066757,Sam Merrill,CLE,1630241,Sam Merrill,espn_name_strict
4432872,Emanuel Miller,CLE,1641801,Emanuel Miller,espn_name_strict
5177362,Riley Minix,CLE,1642434,Riley Minix,espn_name_strict
