TEAM_ABBREVIATION,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER
ATL,116.0,89.4,42.4,36.3,12.9,23.2,16.1,53.10000000000001,29.5,59.0,18,13,11,18,18,21,17,17,14,4,16.956989247311828,19,Below Avg
BOS,107.2,86.8,38.4,39.1,14.0,21.2,12.4,47.699999999999996,24.4,48.8,1,22,26,6,2,2,1,1,3,29,4.182795698924731,1,Elite
BKN,115.9,84.7,42.2,32.9,12.5,24.6,14.5,51.800000000000004,29.700000000000003,59.400000000000006,17,6,1,1,17,14,24,24,24,16,15.82795698924731,17,Avg
CHA,111.2,87.9,41.0,35.7,12.8,20.4,12.7,52.2,28.2,56.4,7,10,8,10,8,16,12,12,1,28,8.150537634408602,8,Above Avg
CHI,121.5,93.7,44.8,38.2,14.1,23.0,13.0,55.5,30.699999999999996,61.39999999999999,28,25,21,29,27,27,27,27,12,26,26.032258064516125,28,Weak
CLE,115.4,89.1,41.3,38.1,14.2,23.4,15.0,50.99999999999999,27.099999999999998,54.199999999999996,15,26,20,16,11,9,6,6,15,10,13.978494623655914,13,Avg
DAL,119.6,93.8,44.8,36.5,12.8,22.3,13.4,57.3,31.999999999999996,63.99999999999999,23,10,14,30,27,30,29,29,9,23,22.978494623655912,24,Below Avg
DEN,116.9,91.2,42.7,39.1,13.6,23.1,11.8,52.1,29.1,58.2,21,18,26,24,21,15,14,14,13,30,19.18279569892473,21,Below Avg
DET,109.6,85.2,37.8,36.8,12.7,27.2,16.9,48.400000000000006,25.099999999999998,50.199999999999996,3,9,16,2,1,4,3,3,30,1,5.43010752688172,2,Elite
GSW,115.2,88.3,42.4,35.9,12.9,21.8,15.9,52.4,29.5,59.0,14,13,9,13,18,17,17,17,6,6,14.440860215053762,15,Avg
HOU,110.0,88.0,40.5,35.3,12.4,22.1,13.4,52.7,28.1,56.2,4,5,7,11,7,20,11,11,8,23,6.978494623655913,6,Elite
IND,120.4,90.5,44.3,34.1,12.1,25.6,13.5,56.4,32.199999999999996,64.39999999999999,25,1,3,21,26,29,30,30,27,22,23.18279569892473,25,Weak
LAC,112.6,87.5,41.0,36.4,13.3,21.7,14.3,51.1,27.7,55.4,10,16,12,7,8,10,8,8,5,19,9.139784946236558,9,Above Avg
LAL,114.6,88.1,42.5,36.4,12.8,21.2,14.6,51.699999999999996,29.7,59.4,11,10,12,12,20,12,22,22,3,14,14.021505376344086,14,Avg
MEM,120.7,91.0,44.1,38.6,14.0,23.8,15.5,52.4,30.1,60.2,26,22,23,22,25,17,25,25,18,8,24.0752688172043,27,Weak
MIA,118.5,93.0,43.3,39.0,14.0,22.4,15.0,54.0,29.299999999999997,58.599999999999994,22,22,25,28,22,23,15,15,10,10,20.483870967741932,22,Below Avg
MIL,116.8,87.8,41.5,39.5,14.8,24.1,13.1,48.3,26.7,53.4,20,29,28,9,13,3,5,5,20,25,15.86021505376344,18,Avg
MIN,114.6,89.7,41.4,34.0,12.1,25.3,15.0,55.7,29.299999999999997,58.599999999999994,11,1,2,20,12,28,15,15,26,10,13.043010752688172,11,Above Avg
NOP,120.0,91.7,43.8,40.5,14.2,23.6,14.5,51.2,29.599999999999998,59.199999999999996,24,26,29,26,23,11,20,20,16,16,22.881720430107524,23,Below Avg
NYK,110.1,85.5,39.3,38.4,13.9,22.7,14.4,47.1,25.4,50.8,5,21,22,3,4,1,4,4,11,18,6.64516129032258,3,Elite
OKC,107.9,88.4,38.7,38.9,14.3,21.9,16.7,49.50000000000001,24.400000000000002,48.800000000000004,2,28,24,14,3,5,2,2,7,2,6.731182795698924,4,Elite
ORL,115.1,87.7,41.7,34.3,12.1,25.0,14.9,53.400000000000006,29.6,59.2,13,1,4,8,14,22,21,21,25,13,13.709677419354838,12,Above Avg
PHI,116.1,89.6,41.8,37.9,13.4,24.2,15.4,51.699999999999996,28.4,56.8,19,17,19,19,15,12,13,13,21,9,17.129032258064516,20,Below Avg
PHX,111.1,85.5,40.2,35.1,12.2,23.6,16.3,50.4,28.000000000000004,56.00000000000001,6,4,6,3,6,8,10,10,16,3,6.96774193548387,5,Elite
POR,115.8,89.3,42.0,35.0,12.5,24.3,15.6,54.3,29.5,59.0,16,6,5,17,16,25,17,17,22,7,15.709677419354838,16,Avg
SAC,121.0,89.0,44.0,36.5,13.8,24.4,14.0,52.5,30.2,60.4,27,20,14,15,24,19,26,26,23,20,23.806451612903224,26,Weak
SAS,111.5,91.1,41.0,36.9,13.0,20.8,13.0,54.199999999999996,28.0,56.0,8,15,17,23,8,24,9,9,2,26,10.010752688172042,10,Above Avg
TOR,111.8,85.9,40.1,35.9,12.5,24.0,16.1,50.00000000000001,27.6,55.2,9,6,9,5,5,6,7,7,19,4,7.924731182795698,7,Above Avg
UTA,126.0,91.2,45.0,41.1,15.3,26.6,14.6,50.1,29.7,59.4,30,30,30,24,30,7,22,22,28,14,27.892473118279568,30,Weak
WAS,124.9,92.0,44.9,37.2,13.7,26.8,13.8,54.8,31.2,62.4,29,19,18,27,29,26,28,28,29,21,27.548387096774192,29,Weak
