team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
NYK,BRK,215.5,-17.5,116.5,True,False,NORMAL,live
BKN/NYK,,215.5,17.5,99.0,True,False,NORMAL,live
BKN,NYK,215.5,17.5,99.0,True,False,NORMAL,live
DET,GSW,217.5,-5.5,111.5,False,False,NORMAL,live
DET/GSW,,217.5,-5.5,111.5,False,False,NORMAL,live
GSW,DET,217.5,5.5,106.0,False,False,NORMAL,live
ATL,HOU,227.5,3.5,112.0,False,False,NORMAL,live
HOU/ATL,,227.5,-3.5,115.5,False,False,NORMAL,live
HOU,ATL,227.5,-3.5,115.5,False,False,NORMAL,live
BOS,MEM,228.5,-15.5,122.0,True,False,FAST,live
MEM/BOS,,228.5,15.5,106.5,True,False,FAST,live
MEM,BOS,228.5,15.5,106.5,True,False,FAST,live
MIN/POR,,232.5,-2.5,117.5,False,False,FAST,live
POR,MIN,232.5,2.5,115.0,False,False,FAST,live
MIN,POR,232.5,-2.5,117.5,False,False,FAST,live
DEN,TOR,236.5,-6.5,121.5,False,False,FAST,live
DEN/TOR,,236.5,-6.5,121.5,False,False,FAST,live
TOR,DEN,236.5,6.5,115.0,False,False,FAST,live
