team,days_rest,b2b_flag,home_away
LAL,1,False,AWAY
CHI,1,False,HOME
BKN,99,False,UNKNOWN
MEM,0,True,AWAY
OKC,1,False,HOME
SAS,0,True,UNKNOWN
HOU,0,True,AWAY
ATL,1,False,UNKNOWN
PHX,2,False,AWAY
ORL,0,True,AWAY
NYK,1,False,UNKNOWN
BOS,0,True,HOME
CHA,1,False,AWAY
CLE,1,False,HOME
PHI,0,True,UNKNOWN
DEN,0,True,UNKNOWN
LAC,1,False,AWAY
SAC,0,True,HOME
GSW,1,False,HOME
DAL,0,True,HOME
WAS,99,False,UNKNOWN
UTA,99,False,UNKNOWN
NOP,0,True,HOME
MIN,1,False,HOME
TOR,0,True,AWAY
IND,1,False,AWAY
POR,1,False,UNKNOWN
MIL,0,True,HOME
