projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,pos,team,opp_team,prop_type,line,standard_line,pick_type,pp_home_team,pp_away_team,image_url,game_date
11801661,11801661,55724,155968,2026-05-01T19:00:00.000-04:00,Cade Cunningham,G,DET,,Fantasy Score,27.0,27.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,2026-05-01
11784344,11784344,55724,155968,2026-05-01T19:00:00.000-04:00,Cade Cunningham,G,DET,,Pts+Rebs+Asts,23.0,23.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,2026-05-01
11801665,11801665,87329,155968,2026-05-01T19:00:00.000-04:00,Paolo Banchero,F,ORL,,Fantasy Score,22.0,22.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-05-01
11784361,11784361,87329,155968,2026-05-01T19:00:00.000-04:00,Paolo Banchero,F,ORL,,Pts+Rebs+Asts,18.5,18.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-05-01
11801668,11801668,216581,155968,2026-05-01T19:00:00.000-04:00,Tobias Harris,F,DET,,Fantasy Score,16.5,16.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Tobias_Harris_NBA_player_tGwMomg94AAFiXYjH5vFThKq.webp,2026-05-01
11801670,11801670,271922,155968,2026-05-01T19:00:00.000-04:00,Desmond Bane,G,ORL,,Fantasy Score,16.5,16.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-05-01
11801672,11801672,91832,155968,2026-05-01T19:00:00.000-04:00,Jalen Duren,C,DET,,Fantasy Score,16.0,16.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,2026-05-01
11801674,11801674,173790,155968,2026-05-01T19:00:00.000-04:00,Ausar Thompson,G-F,DET,,Fantasy Score,15.5,15.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Ausar_Thompson_NBA_player_7Obr7GoiKRNtF8Nj1LYUn3gX.webp,2026-05-01
11801677,11801677,55147,155968,2026-05-01T19:00:00.000-04:00,Jalen Suggs,G,ORL,,Fantasy Score,15.5,15.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp,2026-05-01
11784342,11784342,55724,155968,2026-05-01T19:00:00.000-04:00,Cade Cunningham,G,DET,,Points,14.5,14.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp,2026-05-01
