team,pass_yards_allowed_pg,rush_yards_allowed_pg,pass_tds_allowed,points_allowed_pg,pass_def_rank,rush_def_rank
ARI,242.824,126.941,31.0,28.705882352941178,24,25
ATL,220.706,126.235,27.0,23.58823529411765,15,24
BAL,258.647,106.647,23.0,23.41176470588235,29,10
BUF,170.235,136.176,19.0,21.470588235294116,1,28
CAR,215.118,123.294,20.0,22.352941176470587,14,20
CHI,239.235,134.529,32.0,24.41176470588235,22,27
CIN,245.588,147.059,33.0,28.941176470588236,26,32
CLE,189.412,116.412,25.0,22.294117647058822,3,16
DAL,265.941,125.471,35.0,30.058823529411764,32,23
DEN,212.118,91.059,18.0,18.294117647058822,11,2
DET,236.882,114.529,31.0,24.294117647058822,21,14
GB,206.824,117.706,24.0,21.176470588235293,10,18
HOU,205.059,93.706,20.0,17.352941176470587,9,4
IND,262.471,101.882,24.0,24.235294117647058,31,7
JAX,231.353,85.588,25.0,19.764705882352942,19,1
KC,204.588,105.706,18.0,19.294117647058822,8,9
LAC,194.941,105.353,16.0,20.0,4,8
LAR,234.588,110.824,26.0,20.352941176470587,20,12
LV,213.706,116.824,23.0,25.41176470588235,13,17
MIA,230.588,132.412,29.0,24.941176470588236,18,26
MIN,175.706,124.118,15.0,19.58823529411765,2,21
NE,204.235,101.706,25.0,18.823529411764707,7,6
NO,196.059,120.588,25.0,22.529411764705884,5,19
NYG,228.824,145.294,25.0,25.823529411764707,17,31
NYJ,226.412,139.471,36.0,29.58823529411765,16,29
PHI,203.647,124.412,14.0,19.11764705882353,6,22
PIT,261.0,113.059,30.0,22.764705882352942,30,13
SEA,212.882,91.941,20.0,17.176470588235293,12,3
SF,241.765,107.824,29.0,21.823529411764707,23,11
TB,253.765,99.059,30.0,24.176470588235293,27,5
TEN,244.412,114.588,30.0,28.11764705882353,25,15
WSH,257.118,141.824,33.0,26.529411764705884,28,30
