team,opp_gaa,opp_saa,overall_rank,gaa_rank,saa_rank,gaa_tier,saa_tier,n_teams
BUF,2.899,0.0,7.0,5.0,5.0,HARD_MID,HARD_MID,19
CAR,2.971,0.0,10.0,7.0,7.0,HARD_MID,HARD_MID,19
CHI,3.217,0.0,23.0,14.0,14.0,EASY_MID,EASY_MID,19
COL,2.544,0.0,1.0,1.0,1.0,HARD,HARD,19
DAL,2.721,0.0,2.0,2.0,2.0,HARD,HARD,19
DET,2.957,0.0,9.0,6.0,6.0,HARD_MID,HARD_MID,19
FLA,3.319,0.0,26.0,17.0,17.0,EASY,EASY,19
LA,3.015,0.0,11.0,8.0,8.0,MID,MID,19
MTL,3.309,0.0,25.0,16.0,16.0,EASY,EASY,19
NJ,3.0289999999999995,0.0,12.0,9.0,9.0,MID,MID,19
NSH,3.333,0.0,27.0,18.0,18.0,EASY,EASY,19
NYI,2.826,0.0,5.0,4.0,4.0,HARD_MID,HARD_MID,19
NYR,3.203,0.0,22.0,13.0,13.0,EASY_MID,EASY_MID,19
PHI,3.0879999999999996,0.0,14.0,10.0,10.0,MID,MID,19
PIT,3.1009999999999995,0.0,15.0,11.0,11.0,MID,MID,19
STL,3.2939999999999996,0.0,24.0,15.0,15.0,EASY_MID,EASY_MID,19
TOR,3.5,0.0,30.0,19.0,19.0,EASY,EASY,19
UTA,2.786,0.0,4.0,3.0,3.0,HARD,HARD,19
WPG,3.145,0.0,21.0,12.0,12.0,EASY_MID,EASY_MID,19
