PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_toi,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite
Ian Moore,ian moore,ANA,0.027777777777777776,36,12.11064814814815,assists,ANA,ANA,1,bottom,Ian Moore,33,7,16,-0.03222569956616751,0.1147915284995117,-0.05650022942995037,-0.09629851143009038,-0.27836513810482766,0.0,0.14285714285714285,-0.17129175792946208,False,False
Tyson Hinds,tyson hinds,ANA,0.06666666666666667,15,12.852222222222222,assists,ANA,ANA,2,bottom,Tyson Hinds,12,3,8,0.03885790135790135,-0.07722832722832722,0.08724747474747474,0.0,0.21193741329940577,0.125,0.0,0.16447580197580197,False,False
Ross Johnston,ross johnston,ANA,0.07692307692307693,13,10.33974358974359,assists,ANA,ANA,3,bottom,Ross Johnston,10,7,1,-0.16032106782106778,-0.15624098124098124,-0.14285714285714285,-0.18333333333333335,0.14322061933372912,0.0,0.0,0.013383838383838387,False,True
Jackson LaCombe,jackson lacombe,ANA,0.6842105263157895,38,24.70438596491228,assists,ANA,ANA,1,top,Jackson LaCombe,35,9,16,-0.07500731621835323,-0.45744459482204586,0.2979357018376903,-0.32752259436469966,0.396061209850767,0.75,0.2222222222222222,0.7553802966597362,True,True
Chris Kreider,chris kreider,ANA,0.5945945945945946,37,16.565765765765768,assists,ANA,ANA,2,top,Chris Kreider,34,9,16,-0.1532279535426097,-0.20255275784608484,-0.04283043937027148,-0.3001653966566247,0.13509419674649306,0.5,0.3333333333333333,0.15972231847581336,False,True
John Carlson,john carlson,ANA,0.5714285714285714,28,24.122619047619047,assists,ANA,ANA,3,top,John Carlson,25,7,14,-0.0841078023286396,-0.46077822338691904,0.15593356898642172,-0.2650793650793651,0.2780664340588319,0.5,0.14285714285714285,0.6167117923733407,False,True
Drew Helleson,drew helleson,ANA,0.0,20,12.675833333333333,goals,ANA,ANA,1,bottom,Drew Helleson,17,3,10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,False,False
Ross Johnston,ross johnston,ANA,0.0,13,10.33974358974359,goals,ANA,ANA,2,bottom,Ross Johnston,10,7,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,False,False
Tyson Hinds,tyson hinds,ANA,0.0,15,12.852222222222222,goals,ANA,ANA,3,bottom,Tyson Hinds,12,3,8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,False,False
Cutter Gauthier,cutter gauthier,ANA,0.59375,32,17.051041666666666,goals,ANA,ANA,1,top,Cutter Gauthier,29,9,12,-0.25227141951817694,-0.4289563535701219,-0.019756847142851326,-0.4022727272727272,0.22613867629510537,0.5833333333333334,0.1111111111111111,0.4091995064272706,True,True
