projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,goalie_name,goalie_sv_pct,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,minutes_L10_list,role_stability_score,high_variance_role,game_date,rest_days,back_to_back,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,l10_over,l10_under,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,l10_over_pct,l10_games_played,line_hits_over_10,line_hits_under_10,l10_streak,player_avg_shots_L5,player_avg_shots_L10,open_line,line_movement,line_direction_shift,implied_team_total,game_total
10875474,218657,Adam Fox,NYR,D,Time On Ice,23.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,time_on_ice,SKATER,CHI,1,8479323,False,,3.293,29.963,0.836,2.561,24.585,0.169,82.0,27.0,Weak,A. Soderblom,0.887,21.533,28.167,25.583,23.333,19.517,22.65,23.167,22.617,23.867,21.633,23.627,23.207,23.207,,,,,,,,,OK,"[21.533333333333335, 28.166666666666668, 25.583333333333332, 23.333333333333332, 19.516666666666666, 22.65, 23.166666666666668, 22.616666666666667, 23.866666666666667, 21.633333333333333]",0.903,False,2026-03-27,2,0,0.4,2,3,5,0.3,3,7,3,7,10,0.3,3,7,10,0.3,10,0.34,UNDER,0.16,0.3,10.0,3.0,7.0,COLD,,,23.5,0.0,stable,,
10875472,269749,Artyom Levshunov,CHI,D,Time On Ice,22.75,standard,False,NYR,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,time_on_ice,SKATER,NYR,0,8484783,False,,3.037,28.829,0.799,2.866,25.195,0.247,82.0,15.0,Avg,D. Garand,0.948,22.55,22.333,23.2,24.45,21.383,20.35,26.483,23.917,18.067,19.167,22.783,22.19,22.19,,,,,,,,,OK,"[22.55, 22.333333333333332, 23.2, 24.45, 21.383333333333333, 20.35, 26.483333333333334, 23.916666666666668, 18.066666666666666, 19.166666666666668]",0.892,False,2026-03-27,1,1,0.4,2,3,5,0.4,4,6,4,6,10,0.4,4,6,10,0.4,10,0.4,UNDER,0.1,0.4,10.0,4.0,6.0,NEUTRAL,,,22.75,0.0,stable,,
10875473,218655,Mika Zibanejad,NYR,F,Time On Ice,21.0,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,time_on_ice,SKATER,CHI,1,8476459,False,,3.293,29.963,0.836,2.561,24.585,0.169,82.0,27.0,Weak,A. Soderblom,0.887,21.7,21.433,21.367,18.733,19.9,20.85,23.0,17.333,19.917,15.9,20.627,20.013,20.013,,,,,,,,,OK,"[21.7, 21.433333333333334, 21.366666666666667, 18.733333333333334, 19.9, 20.85, 23.0, 17.333333333333332, 19.916666666666668, 15.9]",0.898,False,2026-03-27,2,0,0.6,3,2,5,0.4,4,6,4,6,10,0.4,4,6,10,0.4,10,0.48,UNDER,0.02,0.4,10.0,4.0,6.0,NEUTRAL,,,21.0,0.0,stable,,
10875471,218572,Connor Bedard,CHI,F,Time On Ice,20.75,standard,False,NYR,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,time_on_ice,SKATER,NYR,0,8484144,False,,3.037,28.829,0.799,2.866,25.195,0.247,82.0,15.0,Avg,D. Garand,0.948,17.85,22.517,23.017,20.367,21.217,17.683,20.233,19.95,20.667,20.533,20.993,20.403,20.403,,,,,,,,,OK,"[17.85, 22.516666666666666, 23.016666666666666, 20.366666666666667, 21.216666666666665, 17.683333333333334, 20.233333333333334, 19.95, 20.666666666666668, 20.533333333333335]",0.921,False,2026-03-27,1,1,0.6,3,2,5,0.3,3,7,3,7,10,0.3,3,7,10,0.3,10,0.42,UNDER,0.08,0.3,10.0,3.0,7.0,COLD,,,20.75,0.0,stable,,
10883331,218652,Vincent Trocheck,NYR,F,Faceoffs Won,9.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,faceoffs_won,SKATER,CHI,1,8476389,False,,3.293,29.963,0.836,2.561,24.585,0.169,82.0,27.0,Weak,A. Soderblom,0.887,11.0,8.0,7.0,7.0,8.0,10.0,5.0,10.0,4.0,18.0,8.2,8.8,8.8,,,,,,,,,OK,"[20.316666666666666, 19.75, 18.683333333333334, 18.8, 17.05, 17.733333333333334, 19.216666666666665, 22.116666666666667, 19.366666666666667, 18.55]",0.931,False,2026-03-27,2,0,0.2,1,4,5,0.4,4,6,4,6,10,0.4,4,6,10,0.4,10,0.32,UNDER,0.18,0.4,10.0,4.0,6.0,NEUTRAL,,,9.5,0.0,stable,,
10883324,218685,Will Cuylle,NYR,F,Hits,4.0,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,hits,SKATER,CHI,1,8482157,False,,3.293,29.963,0.836,2.561,24.585,0.169,82.0,27.0,Weak,A. Soderblom,0.887,5.0,7.0,4.0,8.0,4.0,3.0,6.0,4.0,2.0,4.0,5.6,4.7,4.7,,,,,,,,,OK,"[14.65, 15.533333333333333, 14.383333333333333, 15.766666666666667, 12.966666666666667, 12.083333333333334, 17.383333333333333, 16.45, 14.133333333333333, 15.516666666666667]",0.899,False,2026-03-27,2,0,0.6,3,2,5,0.4,4,6,4,2,10,0.4,4,6,10,0.4,10,0.48,UNDER,0.02,0.6666666666666666,10.0,4.0,2.0,NEUTRAL,,,4.0,0.0,stable,,
10883325,303677,Tye Kartye,NYR,F,Hits,3.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,hits,SKATER,CHI,1,8481789,False,,3.293,29.963,0.836,2.561,24.585,0.169,82.0,27.0,Weak,A. Soderblom,0.887,2.0,3.0,4.0,0.0,4.0,2.0,2.0,2.0,3.0,2.0,2.6,2.4,2.4,,,,,,,,,OK,"[15.083333333333334, 12.583333333333334, 11.833333333333334, 16.116666666666667, 9.733333333333333, 13.566666666666666, 13.833333333333334, 14.033333333333333, 14.166666666666666, 16.766666666666666]",0.859,False,2026-03-27,2,0,0.4,2,3,5,0.2,2,8,2,8,10,0.2,2,8,10,0.2,10,0.28,UNDER,0.22,0.2,10.0,2.0,8.0,COLD,,,3.5,0.0,stable,,
10883326,218652,Vincent Trocheck,NYR,F,Hits,2.5,goblin,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,hits,SKATER,CHI,1,8476389,False,,3.293,29.963,0.836,2.561,24.585,0.169,82.0,27.0,Weak,A. Soderblom,0.887,4.0,0.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.4,2.1,2.1,,,,,,,,,OK,"[20.316666666666666, 19.75, 18.683333333333334, 18.8, 17.05, 17.733333333333334, 19.216666666666665, 22.116666666666667, 19.366666666666667, 18.55]",0.931,False,2026-03-27,2,0,0.6,3,2,5,0.5,5,5,5,5,10,0.5,5,5,10,0.5,10,0.54,OVER,0.04,0.5,10.0,5.0,5.0,NEUTRAL,,,2.5,0.0,stable,,
10883327,277945,Jaroslav Chmelar,NYR,F,Hits,1.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,hits,SKATER,CHI,1,8482877,False,,3.293,29.963,0.836,2.561,24.585,0.169,82.0,27.0,Weak,A. Soderblom,0.887,4.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,2.4,2.4,2.4,,,,,,,,,OK,"[13.433333333333334, 10.55, 11.2, 11.25, 14.316666666666666, 12.0, 8.066666666666666, 10.516666666666667, 12.433333333333334, 9.783333333333333]",0.849,False,2026-03-27,2,0,0.8,4,1,5,0.7,7,3,7,3,10,0.7,7,3,10,0.7,10,0.74,OVER,0.24,0.7,10.0,7.0,3.0,HOT,,,1.5,0.0,stable,,
10875476,218571,Moritz Seider,DET,D,Time On Ice,25.5,standard,False,BUF,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,time_on_ice,SKATER,BUF,0,8481542,False,,2.927,29.061,0.819,3.451,28.122,0.195,82.0,10.0,Elite,A. Lyon,0.903,16.85,25.833,26.783,22.1,29.55,27.9,28.067,28.783,21.85,28.15,24.223,25.587,25.587,,,,,,,,,OK,"[16.85, 25.833333333333332, 26.783333333333335, 22.1, 29.55, 27.9, 28.066666666666666, 28.783333333333335, 21.85, 28.15]",0.85,False,2026-03-27,3,0,0.6,3,2,5,0.7,7,3,7,3,10,0.7,7,3,10,0.7,10,0.66,OVER,0.16,0.7,10.0,7.0,3.0,HOT,,,25.5,0.0,stable,,
