projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,pp_toi_per_game,pp_toi_pct,pp_toi_total_sec,pp_goals_season,pp_points_season,pp_unit_tier,line_combo,line_combo_toi_pct,line_combo_cf_pct,line_combo_xgf_pct,line_sit,on_pp1_line,nst_data_source,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,l10_over,l10_under,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,l10_over_pct,l10_games_played,line_hits_over_10,line_hits_under_10,l10_streak,player_avg_shots_L5,player_avg_shots_L10,open_line,line_movement,line_direction_shift,implied_team_total,game_total
10875474,218657,Adam Fox,NYR,D,Time On Ice,23.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,time_on_ice,SKATER,CHI,1,8479323,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,25.58333333333333,23.33333333333333,19.516666666666666,22.65,23.166666666666668,22.616666666666667,23.866666666666667,21.633333333333333,25.883333333333333,22.266666666666666,,,,,,,,,,,,UNSUPPORTED_PROP,3.308,0.793,10915.0,5.0,24.0,PP1,,,,,,True,nhl_api_pp,0.2,1,4,5,0.3,3,7,3,7,10,0.25,5,15,20,0.3,30,0.2525,UNDER,0.2475,0.3,10.0,3.0,7.0,COLD,,,23.5,0.0,stable,,
10875472,269749,Artyom Levshunov,CHI,D,Time On Ice,22.75,standard,False,NYR,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,time_on_ice,SKATER,NYR,0,8484783,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,22.55,22.33333333333333,23.2,24.45,21.383333333333333,20.35,26.48333333333333,23.916666666666668,18.066666666666663,19.166666666666668,,,,,,,,,,,,UNSUPPORTED_PROP,2.736,0.589,11164.0,1.0,11.0,PP1,,,,,,True,nhl_api_pp,0.4,2,3,5,0.4,4,6,4,6,10,0.2,4,16,20,0.3333,30,0.3633,UNDER,0.1367,0.4,10.0,4.0,6.0,NEUTRAL,,,22.75,0.0,stable,,
10875473,218655,Mika Zibanejad,NYR,F,Time On Ice,21.0,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,time_on_ice,SKATER,CHI,1,8476459,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,21.366666666666667,18.73333333333333,19.9,20.85,23.0,17.333333333333332,19.916666666666668,15.9,22.2,21.8,,,,,,,,,,,,UNSUPPORTED_PROP,3.28,0.762,15941.0,16.0,35.0,PP1,,,,,,True,nhl_api_pp,0.4,2,3,5,0.4,4,6,4,6,10,0.45,9,11,20,0.6,30,0.4275,UNDER,0.0725,0.4,10.0,4.0,6.0,NEUTRAL,,,21.0,0.0,stable,,
10875471,218572,Connor Bedard,CHI,F,Time On Ice,20.75,standard,False,NYR,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,time_on_ice,SKATER,NYR,0,8484144,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,23.016666666666666,20.366666666666667,21.216666666666665,17.683333333333334,20.23333333333333,19.95,20.666666666666668,20.53333333333333,19.616666666666667,19.883333333333333,,,,,,,,,,,,UNSUPPORTED_PROP,3.492,0.722,14456.0,7.0,21.0,PP1,,,,,,True,nhl_api_pp,0.4,2,3,5,0.2,2,8,2,8,10,0.4,8,12,20,0.4333,30,0.3333,UNDER,0.1667,0.2,10.0,2.0,8.0,COLD,,,20.75,0.0,stable,,
10883331,218652,Vincent Trocheck,NYR,F,Faceoffs Won,9.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,faceoffs_won,SKATER,CHI,1,8476389,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,3.073,0.717,12354.0,2.0,16.0,PP1,,,,,,True,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,9.5,0.0,stable,,
10883324,218685,Will Cuylle,NYR,F,Hits,4.0,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,hits,SKATER,CHI,1,8482157,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,1.462,0.336,7194.0,4.0,8.0,PP2,,,,,,False,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,4.0,0.0,stable,,
10883325,303677,Tye Kartye,NYR,F,Hits,3.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,hits,SKATER,CHI,1,8481789,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,0.039,0.008,149.0,0.0,0.0,NO_PP,,,,,,False,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,3.5,0.0,stable,,
10883326,218652,Vincent Trocheck,NYR,F,Hits,2.5,goblin,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,hits,SKATER,CHI,1,8476389,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,3.073,0.717,12354.0,2.0,16.0,PP1,,,,,,True,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,OVER,-0.5,0.0,10.0,0.0,10.0,COLD,,,2.5,0.0,stable,,
10883327,277945,Jaroslav Chmelar,NYR,F,Hits,1.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,hits,SKATER,CHI,1,8482877,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,0.072,0.015,121.0,0.0,0.0,NO_PP,,,,,,False,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,28,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,1.5,0.0,stable,,
10875476,218571,Moritz Seider,DET,D,Time On Ice,25.5,standard,False,BUF,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,time_on_ice,SKATER,BUF,0,8481542,False,,2.899,0.0,0.0,3.507,0.0,0.0,69.0,7.0,ELITE,25.83333333333333,26.78333333333333,22.1,29.55,27.9,28.066666666666663,28.78333333333333,21.85,28.15,29.8,,,,,,,,,,,,UNSUPPORTED_PROP,3.199,0.644,15737.0,3.0,28.0,PP1,,,,,,True,nhl_api_pp,0.8,4,1,5,0.8,8,2,8,2,10,0.6,12,8,20,0.6333,30,0.7533,OVER,0.2533,0.8,10.0,8.0,2.0,HOT,,,25.5,0.0,stable,,
10875478,218218,Rasmus Dahlin,BUF,D,Time On Ice,24.0,standard,False,DET,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,time_on_ice,SKATER,DET,1,8480839,False,,2.957,0.0,0.0,2.942,0.0,0.0,69.0,9.0,SOLID,19.78333333333333,24.5,23.016666666666666,22.466666666666665,22.616666666666667,23.23333333333333,25.166666666666668,23.5,23.75,25.3,,,,,,,,,,,,UNSUPPORTED_PROP,3.47,0.694,16032.0,6.0,22.0,PP1,,,,,,True,nhl_api_pp,0.2,1,4,5,0.3,3,7,3,7,10,0.35,7,13,20,0.5333,30,0.2908,UNDER,0.2092,0.3,10.0,3.0,7.0,COLD,,,24.0,0.0,stable,,
