team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Newcastle Jets,NEWCASTLE JETS,A-League,26,39.0,1.5,,0,15,3,8,7,Avg
Adelaide United,ADELAIDE,A-League,26,36.0,1.385,,0,12,7,7,5,Above Avg
Auckland FC,AUCKLAND,A-League,26,29.0,1.115,,0,11,9,6,2,Elite
Melbourne Victory,MELBOURNE VICTORY,A-League,26,33.0,1.269,,0,11,7,8,3,Elite
Sydney FC,SYDNEY,A-League,26,25.0,0.962,,0,11,6,9,1,Elite
Melbourne City FC,MELBOURNE CITY,A-League,26,33.0,1.269,,0,10,8,8,3,Elite
Macarthur FC,MACARTHUR,A-League,26,44.0,1.692,,0,9,7,10,11,Weak
Wellington Phoenix FC,WELLINGTON PHOENIX,A-League,26,48.0,1.846,,0,9,6,11,12,Weak
Central Coast Mariners,CENTRAL COAST,A-League,26,42.0,1.615,,0,8,8,10,9,Below Avg
Perth Glory,PERTH,A-League,26,39.0,1.5,,0,8,7,11,7,Avg
Brisbane Roar,BRISBANE,A-League,26,36.0,1.385,,0,6,8,12,5,Above Avg
Western Sydney Wanderers,WSW,A-League,26,43.0,1.654,,0,5,6,15,10,Below Avg
Boca Juniors,BOCA JUNIORS,Argentina,16,9.0,0.562,,0,8,6,2,2,Elite
Estudiantes de La Plata,ESTUDIANTES,Argentina,16,7.0,0.438,,0,9,4,3,1,Elite
Independiente,INDEPENDIENTE,Argentina,16,20.0,1.25,,0,6,6,4,22,Below Avg
Lanús,LANÚS,Argentina,16,15.0,0.938,,0,6,6,4,11,Above Avg
Newell's Old Boys,NEWELL'S,Argentina,16,27.0,1.688,,0,3,6,7,30,Weak
San Lorenzo,SAN LORENZO,Argentina,16,14.0,0.875,,0,5,7,4,10,Above Avg
Talleres (Córdoba),TALLERES,Argentina,16,13.0,0.812,,0,7,5,4,6,Elite
Unión (Santa Fe),UNIÓN,Argentina,16,20.0,1.25,,0,5,6,5,22,Below Avg
