team,overall_rank,opp_ppg,opp_saa,opp_gaa,shots_rank,saves_rank,overall_tier,shots_tier,saves_tier,n_teams
ARGENTINOS,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
ATLANTE,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
ATLAS,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
CHARLOTTE,11.0,,,,11.0,11.0,HARD_MID,HARD_MID,HARD_MID,23
CHICAGO STARS,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
CINCINNATI,28.0,,,,28.0,28.0,EASY_MID,EASY_MID,EASY_MID,23
COLUMBUS,16.0,,,,16.0,16.0,HARD_MID,HARD_MID,HARD_MID,23
ESTUDIANTES,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
FLUMINENSE,7.0,,,,7.0,7.0,HARD,HARD,HARD,23
INDEPENDIENTE,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
KC CURRENT,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
LANÚS,24.0,,,,24.0,24.0,MID,MID,MID,23
MINNESOTA,10.0,,,,10.0,10.0,HARD_MID,HARD_MID,HARD_MID,23
PACHUCA,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
PUMAS,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
REAL SALT LAKE,14.0,,,,14.0,14.0,HARD_MID,HARD_MID,HARD_MID,23
RIESTRA,4.0,,,,4.0,4.0,HARD,HARD,HARD,23
SAN LORENZO,20.0,,,,20.0,20.0,MID,MID,MID,23
SPIRIT,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
TALLERES,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
THORNS,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
TIGRES,1.0,,,,1.0,1.0,HARD,HARD,HARD,23
VANCOUVER WHITECAPS,2.0,,,,2.0,2.0,HARD,HARD,HARD,23
