pp_name,canonical_name
MAN CITY,MAN CITY
MANCHESTER CITY,MAN CITY
SPURS,SPURS
TOTTENHAM,TOTTENHAM HOTSPUR
TOTTENHAM HOTSPUR,SPURS
BOURNEMOUTH,BOURNEMOUTH
CHELSEA,CHELSEA
ARSENAL,ARSENAL
MAN UTD,MANCHESTER UNITED
MANCHESTER UNITED,MANCHESTER UNITED
NEWCASTLE,NEWCASTLE
LIVERPOOL,LIVERPOOL
ASTON VILLA,ASTON VILLA
WEST HAM,WEST HAM
CRYSTAL PALACE,CRYSTAL PALACE
LEEDS,LEEDS
REAL MADRID,REAL MADRID
BARCELONA,BARCELONA
ATLÉTICO,ATLÉTICO MADRID
ATLETICO,ATLÉTICO MADRID
ATLÉTICO MADRID,ATLÉTICO MADRID
BAYERN,BAYERN MÜNCHEN
BAYERN MÜNCHEN,BAYERN MÜNCHEN
BAYERN MUNICH,BAYERN MÜNCHEN
PSG,PSG
PARIS SG,PSG
INTER,INTER MILAN
INTER MILAN,INTER MILAN
MILAN,MILAN
JUVENTUS,JUVENTUS
NAPOLI,NAPOLI
ROMA,ROMA
