PLAYER_NAME,PLAYER_NORM,team_pp,def_league,season_avg,games,category,prop_norm,team_slate,TEAM,rank_on_team,leader_side,PLAYER_NAME_split,league,def_bucket,n_games,n,n_elite,n_weak,over_rate,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,def_boost_hist,overperform_vs_weak,fades_vs_elite,player
Alan Sosa,alan sosa,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,1,bottom,Alan Sosa,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Alan Sosa
Andrés Chávez,andres chavez,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,2,bottom,Andrés Chávez,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Andrés Chávez
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,3,bottom,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín
Alan Sosa,alan sosa,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,1,top,Alan Sosa,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Alan Sosa
Andrés Chávez,andres chavez,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,2,top,Andrés Chávez,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Andrés Chávez
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,3,top,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín
Andrés Chávez,andres chavez,ALDOSIVI,Argentina,0.0,5,goals,goals,ALDOSIVI,ALDOSIVI,1,bottom,Andrés Chávez,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Andrés Chávez
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,goals,goals,ALDOSIVI,ALDOSIVI,2,bottom,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín
Elías López,elias lopez,ALDOSIVI,Argentina,0.0,5,goals,goals,ALDOSIVI,ALDOSIVI,3,bottom,Elías López,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Elías López
Alan Sosa,alan sosa,ALDOSIVI,Argentina,0.2,5,goals,goals,ALDOSIVI,ALDOSIVI,1,top,Alan Sosa,Argentina,elite,2,2,2,0,0.5,0.375,0.375,,,,,0.5,,,False,False,Alan Sosa
Nicolás Cordero,nicolas cordero,ALDOSIVI,Argentina,0.2,5,goals,goals,ALDOSIVI,ALDOSIVI,2,top,Nicolás Cordero,Argentina,elite,2,2,2,0,0.0,-0.29166666666666663,-0.29166666666666663,,,,,0.0,,,False,False,Nicolás Cordero
Andrés Chávez,andres chavez,ALDOSIVI,Argentina,0.0,5,goals,goals,ALDOSIVI,ALDOSIVI,3,top,Andrés Chávez,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Andrés Chávez
Lucas Acosta,lucas acosta,ALDOSIVI,Argentina,1.0,5,saves,saves,ALDOSIVI,ALDOSIVI,1,bottom,Lucas Acosta,Argentina,elite,2,2,2,0,1.0,2.125,2.125,,,,,1.0,,,False,False,Lucas Acosta
Ignacio Chicco,ignacio chicco,ALDOSIVI,Argentina,1.8,5,saves,saves,ALDOSIVI,ALDOSIVI,2,bottom,Ignacio Chicco,Argentina,elite,2,2,2,0,0.0,-2.625,-2.625,,,,,0.0,,,False,True,Ignacio Chicco
Ignacio Chicco,ignacio chicco,ALDOSIVI,Argentina,1.8,5,saves,saves,ALDOSIVI,ALDOSIVI,1,top,Ignacio Chicco,Argentina,elite,2,2,2,0,0.0,-2.625,-2.625,,,,,0.0,,,False,True,Ignacio Chicco
Lucas Acosta,lucas acosta,ALDOSIVI,Argentina,1.0,5,saves,saves,ALDOSIVI,ALDOSIVI,2,top,Lucas Acosta,Argentina,elite,2,2,2,0,1.0,2.125,2.125,,,,,1.0,,,False,False,Lucas Acosta
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,shots,shots,ALDOSIVI,ALDOSIVI,1,bottom,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín
Ignacio Chicco,ignacio chicco,ALDOSIVI,Argentina,0.0,5,shots,shots,ALDOSIVI,ALDOSIVI,2,bottom,Ignacio Chicco,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Ignacio Chicco
Leonardo Sigali,leonardo sigali,ALDOSIVI,Argentina,0.0,5,shots,shots,ALDOSIVI,ALDOSIVI,3,bottom,Leonardo Sigali,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Leonardo Sigali
Alan Sosa,alan sosa,ALDOSIVI,Argentina,2.6,5,shots,shots,ALDOSIVI,ALDOSIVI,1,top,Alan Sosa,Argentina,elite,2,2,2,0,1.0,2.2916666666666665,2.2916666666666665,,,,,1.0,,,False,False,Alan Sosa
Nicolás Cordero,nicolas cordero,ALDOSIVI,Argentina,2.0,5,shots,shots,ALDOSIVI,ALDOSIVI,2,top,Nicolás Cordero,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Nicolás Cordero
Martín García,martin garcia,ALDOSIVI,Argentina,1.8,5,shots,shots,ALDOSIVI,ALDOSIVI,3,top,Martín García,Argentina,elite,2,2,2,0,0.0,-0.5,-0.5,,,,,0.0,,,False,True,Martín García
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,shots_on_target,shots_on_target,ALDOSIVI,ALDOSIVI,1,bottom,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín
Elías López,elias lopez,ALDOSIVI,Argentina,0.0,5,shots_on_target,shots_on_target,ALDOSIVI,ALDOSIVI,2,bottom,Elías López,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Elías López
Federico Laurelli,federico laurelli,ALDOSIVI,Argentina,0.0,5,shots_on_target,shots_on_target,ALDOSIVI,ALDOSIVI,3,bottom,Federico Laurelli,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Federico Laurelli
Nicolás Cordero,nicolas cordero,ALDOSIVI,Argentina,0.8,5,shots_on_target,shots_on_target,ALDOSIVI,ALDOSIVI,1,top,Nicolás Cordero,Argentina,elite,2,2,2,0,1.0,0.9583333333333334,0.9583333333333334,,,,,1.0,,,False,False,Nicolás Cordero
Alan Sosa,alan sosa,ALDOSIVI,Argentina,0.6,5,shots_on_target,shots_on_target,ALDOSIVI,ALDOSIVI,2,top,Alan Sosa,Argentina,elite,2,2,2,0,0.5,0.45833333333333337,0.45833333333333337,,,,,0.5,,,False,False,Alan Sosa
Lucas Castro,lucas castro,ALDOSIVI,Argentina,0.4,5,shots_on_target,shots_on_target,ALDOSIVI,ALDOSIVI,3,top,Lucas Castro,Argentina,elite,2,2,2,0,0.5,0.20833333333333334,0.20833333333333334,,,,,0.5,,,False,False,Lucas Castro
Ally Sentnor,ally sentnor,ANGEL CITY,NWSL,0.0,6,assists,assists,ANGEL CITY,ANGEL CITY,1,bottom,Ally Sentnor,NWSL,weak,3,3,0,2,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Ally Sentnor
Angelina Anderson,angelina anderson,ANGEL CITY,NWSL,0.0,6,assists,assists,ANGEL CITY,ANGEL CITY,2,bottom,Angelina Anderson,NWSL,weak,3,3,0,2,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Angelina Anderson
Casey Phair,casey phair,ANGEL CITY,NWSL,0.0,6,assists,assists,ANGEL CITY,ANGEL CITY,3,bottom,Casey Phair,NWSL,weak,3,3,0,2,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Casey Phair
Ary Borges,ary borges,ANGEL CITY,NWSL,0.16666666666666666,6,assists,assists,ANGEL CITY,ANGEL CITY,1,top,Ary Borges,NWSL,weak,3,3,0,2,0.3333333333333333,0.3333333333333333,,0.0,1.0,,0.0,,,,False,False,Ary Borges
Carina Lageyre,carina lageyre,ANGEL CITY,NWSL,0.16666666666666666,6,assists,assists,ANGEL CITY,ANGEL CITY,2,top,Carina Lageyre,NWSL,weak,3,3,0,2,0.3333333333333333,0.26666666666666666,,0.5,-0.2,,0.5,,,,False,False,Carina Lageyre
Sophia Mattice,sophia mattice,ANGEL CITY,NWSL,0.16666666666666666,6,assists,assists,ANGEL CITY,ANGEL CITY,3,top,Sophia Mattice,NWSL,weak,3,3,0,2,0.3333333333333333,0.18333333333333335,,0.375,-0.2,,0.5,,,,False,False,Sophia Mattice
Ally Sentnor,ally sentnor,ANGEL CITY,NWSL,0.0,6,goals,goals,ANGEL CITY,ANGEL CITY,1,bottom,Ally Sentnor,NWSL,weak,3,3,0,2,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Ally Sentnor
Angelina Anderson,angelina anderson,ANGEL CITY,NWSL,0.0,6,goals,goals,ANGEL CITY,ANGEL CITY,2,bottom,Angelina Anderson,NWSL,weak,3,3,0,2,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Angelina Anderson
Carina Lageyre,carina lageyre,ANGEL CITY,NWSL,0.0,6,goals,goals,ANGEL CITY,ANGEL CITY,3,bottom,Carina Lageyre,NWSL,weak,3,3,0,2,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Carina Lageyre
Maiara Niehues,maiara niehues,ANGEL CITY,NWSL,0.6,5,goals,goals,ANGEL CITY,ANGEL CITY,1,top,Maiara Niehues,NWSL,weak,2,2,0,2,0.0,-0.875,,-0.875,,,0.0,,,,False,False,Maiara Niehues
Sveindís Jónsdóttir,sveindis jonsdottir,ANGEL CITY,NWSL,0.6,5,goals,goals,ANGEL CITY,ANGEL CITY,2,top,Sveindís Jónsdóttir,NWSL,weak,2,2,0,2,0.5,-0.20833333333333331,,-0.20833333333333331,,,0.5,,,,False,False,Sveindís Jónsdóttir
Ary Borges,ary borges,ANGEL CITY,NWSL,0.16666666666666666,6,goals,goals,ANGEL CITY,ANGEL CITY,3,top,Ary Borges,NWSL,weak,3,3,0,2,0.0,-0.26111111111111107,,-0.29166666666666663,-0.2,,0.0,,,,False,False,Ary Borges
Faith Nguyen,faith nguyen,ANGEL CITY,NWSL,0.0,5,saves,saves,ANGEL CITY,ANGEL CITY,1,bottom,Faith Nguyen,NWSL,mid,2,2,0,1,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Faith Nguyen
Angelina Anderson,angelina anderson,ANGEL CITY,NWSL,4.333333333333333,6,saves,saves,ANGEL CITY,ANGEL CITY,2,bottom,Angelina Anderson,NWSL,weak,3,3,0,2,0.6666666666666666,1.4222222222222218,,2.333333333333333,-0.40000000000000036,,1.0,,,,False,False,Angelina Anderson
Angelina Anderson,angelina anderson,ANGEL CITY,NWSL,4.333333333333333,6,saves,saves,ANGEL CITY,ANGEL CITY,1,top,Angelina Anderson,NWSL,weak,3,3,0,2,0.6666666666666666,1.4222222222222218,,2.333333333333333,-0.40000000000000036,,1.0,,,,False,False,Angelina Anderson
Faith Nguyen,faith nguyen,ANGEL CITY,NWSL,0.0,5,saves,saves,ANGEL CITY,ANGEL CITY,2,top,Faith Nguyen,NWSL,mid,2,2,0,1,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Faith Nguyen
Angelina Anderson,angelina anderson,ANGEL CITY,NWSL,0.0,6,shots,shots,ANGEL CITY,ANGEL CITY,1,bottom,Angelina Anderson,NWSL,weak,3,3,0,2,0.0,0.0,,0.0,0.0,,0.0,,,,False,False,Angelina Anderson
