PLAYER_NAME,PLAYER_NORM,team_pp,def_league,season_avg,games,category,prop_norm,team_slate,TEAM,rank_on_team,leader_side,PLAYER_NAME_split,league,def_bucket,n_games,n,n_elite,n_weak,over_rate,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,def_boost_hist,overperform_vs_weak,fades_vs_elite,player,player_slate,team,opp_team,prop_norm_slate,line,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Alan Sosa,alan sosa,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,1,bottom,Alan Sosa,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Alan Sosa,,,,,,,,,,,True,False
Andrés Chávez,andres chavez,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,2,bottom,Andrés Chávez,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Andrés Chávez,,,,,,,,,,,True,False
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,3,bottom,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín,,,,,,,,,,,True,False
Alan Sosa,alan sosa,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,1,top,Alan Sosa,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Alan Sosa,,,,,,,,,,,True,False
Andrés Chávez,andres chavez,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,2,top,Andrés Chávez,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Andrés Chávez,,,,,,,,,,,True,False
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,assists,assists,ALDOSIVI,ALDOSIVI,3,top,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín,,,,,,,,,,,True,False
Andrés Chávez,andres chavez,ALDOSIVI,Argentina,0.0,5,goals,goals,ALDOSIVI,ALDOSIVI,1,bottom,Andrés Chávez,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Andrés Chávez,,,,,,,,,,,True,False
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,goals,goals,ALDOSIVI,ALDOSIVI,2,bottom,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín,,,,,,,,,,,True,False
Elías López,elias lopez,ALDOSIVI,Argentina,0.0,5,goals,goals,ALDOSIVI,ALDOSIVI,3,bottom,Elías López,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Elías López,,,,,,,,,,,True,False
Alan Sosa,alan sosa,ALDOSIVI,Argentina,0.2,5,goals,goals,ALDOSIVI,ALDOSIVI,1,top,Alan Sosa,Argentina,elite,2,2,2,0,0.5,0.375,0.375,,,,,0.5,,,False,False,Alan Sosa,,,,,,,,,,,True,False
Nicolás Cordero,nicolas cordero,ALDOSIVI,Argentina,0.2,5,goals,goals,ALDOSIVI,ALDOSIVI,2,top,Nicolás Cordero,Argentina,elite,2,2,2,0,0.0,-0.29166666666666663,-0.29166666666666663,,,,,0.0,,,False,False,Nicolás Cordero,,,,,,,,,,,True,False
Andrés Chávez,andres chavez,ALDOSIVI,Argentina,0.0,5,goals,goals,ALDOSIVI,ALDOSIVI,3,top,Andrés Chávez,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Andrés Chávez,,,,,,,,,,,True,False
Lucas Acosta,lucas acosta,ALDOSIVI,Argentina,1.0,5,saves,saves,ALDOSIVI,ALDOSIVI,1,bottom,Lucas Acosta,Argentina,elite,2,2,2,0,1.0,2.125,2.125,,,,,1.0,,,False,False,Lucas Acosta,,,,,,,,,,,True,False
Ignacio Chicco,ignacio chicco,ALDOSIVI,Argentina,1.8,5,saves,saves,ALDOSIVI,ALDOSIVI,2,bottom,Ignacio Chicco,Argentina,elite,2,2,2,0,0.0,-2.625,-2.625,,,,,0.0,,,False,True,Ignacio Chicco,,,,,,,,,,,True,False
Ignacio Chicco,ignacio chicco,ALDOSIVI,Argentina,1.8,5,saves,saves,ALDOSIVI,ALDOSIVI,1,top,Ignacio Chicco,Argentina,elite,2,2,2,0,0.0,-2.625,-2.625,,,,,0.0,,,False,True,Ignacio Chicco,,,,,,,,,,,True,False
Lucas Acosta,lucas acosta,ALDOSIVI,Argentina,1.0,5,saves,saves,ALDOSIVI,ALDOSIVI,2,top,Lucas Acosta,Argentina,elite,2,2,2,0,1.0,2.125,2.125,,,,,1.0,,,False,False,Lucas Acosta,,,,,,,,,,,True,False
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,shots,shots,ALDOSIVI,ALDOSIVI,1,bottom,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín,,,,,,,,,,,True,False
Ignacio Chicco,ignacio chicco,ALDOSIVI,Argentina,0.0,5,shots,shots,ALDOSIVI,ALDOSIVI,2,bottom,Ignacio Chicco,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Ignacio Chicco,,,,,,,,,,,True,False
Leonardo Sigali,leonardo sigali,ALDOSIVI,Argentina,0.0,5,shots,shots,ALDOSIVI,ALDOSIVI,3,bottom,Leonardo Sigali,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Leonardo Sigali,,,,,,,,,,,True,False
Alan Sosa,alan sosa,ALDOSIVI,Argentina,2.6,5,shots,shots,ALDOSIVI,ALDOSIVI,1,top,Alan Sosa,Argentina,elite,2,2,2,0,1.0,2.2916666666666665,2.2916666666666665,,,,,1.0,,,False,False,Alan Sosa,,,,,,,,,,,True,False
Nicolás Cordero,nicolas cordero,ALDOSIVI,Argentina,2.0,5,shots,shots,ALDOSIVI,ALDOSIVI,2,top,Nicolás Cordero,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Nicolás Cordero,,,,,,,,,,,True,False
Martín García,martin garcia,ALDOSIVI,Argentina,1.8,5,shots,shots,ALDOSIVI,ALDOSIVI,3,top,Martín García,Argentina,elite,2,2,2,0,0.0,-0.5,-0.5,,,,,0.0,,,False,True,Martín García,,,,,,,,,,,True,False
Bautista Dadín,bautista dadin,ALDOSIVI,Argentina,0.0,5,shots_on_target,shots_on_target,ALDOSIVI,ALDOSIVI,1,bottom,Bautista Dadín,Argentina,elite,2,2,2,0,0.0,0.0,0.0,,,,,0.0,,,False,False,Bautista Dadín,,,,,,,,,,,True,False
