espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,TEAM_NAME,OVERALL_DEF_RANK,OPP_PPG,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,DEF_TIER,updated_at,gp,goals_conceded,goals_conceded_pg,clean_sheets,wins,draws,losses,opp_team_1,opp_team_2,TEAM_NAME_DEF_1,OVERALL_DEF_RANK_DEF_1,OPP_PPG_DEF_1,opp_gaa_DEF_1,opp_saa_DEF_1,opp_pk_pct_DEF_1,opp_gf_per_game_DEF_1,opp_sf_per_game_DEF_1,opp_pp_pct_DEF_1,opp_wins_DEF_1,opp_gp_DEF_1,def_rank_DEF_1,def_tier_DEF_1,updated_at_DEF_1,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,TEAM_NAME_DEF_2,OVERALL_DEF_RANK_DEF_2,OPP_PPG_DEF_2,opp_gaa_DEF_2,opp_saa_DEF_2,opp_pk_pct_DEF_2,opp_gf_per_game_DEF_2,opp_sf_per_game_DEF_2,opp_pp_pct_DEF_2,opp_wins_DEF_2,opp_gp_DEF_2,def_rank_DEF_2,def_tier_DEF_2,updated_at_DEF_2,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,position_group,starter_tier,minutes_tier,shot_volume,field_involvement,pass_role,is_goalkeeper,shot_role,usage_role,usage_boost,usage_boost_proj,usage_boost_reason,usage_boost_source,projection,edge,abs_edge,player_floor_p10,avg_win_margin,player_hr_historical,opp_hr_historical,floor_clears_line,line_gap,dir_line_gap,dir_line_gap_norm,forced_over_only,bet_direction,eligible,void_reason,edge_dr,line_hit_rate,composite_hit_rate,minutes_certainty,prop_weight,reliability_mult,edge_z,line_hit_z,min_z,def_adj,projection_adj,edge_adj,edge_adj_dr,def_rank_signal,def_rank_z,stat_last5_avg_num,stat_last10_avg_num,stat_season_avg_num,avg_vs_line,avg_vs_line_z,prop_hr_prior,prop_hr_z,usage_bonus,has_real_stats,rank_score,ml_prob,ml_edge,final_score,consistency_grade,consistency_multiplier,game_script_mult,game_script_note,tier_source,tier,recommended_side,tier_encoded,tier_era,pick_type_encoded,direction_encoded,line_score,def_tier_encoded,hit_rate_L5,hit_rate_L10,avg_L5_vs_line,avg_L10_vs_line,prop_score,sport_encoded,minutes_cv,minutes_trend,role_type_encoded,dominance_pct,specialization_rank,minutes_tier_label,line_bucket,line_bucket_encoded,context_known,defense_known,minutes_known,model_dir,final_bet_direction,final_dir_reason
,Rúben Neves,Midfielder,HILAL,UNKNOWN_OPP,SOCCER,72.5,Passes Attempted,passes,Standard,11869065,11869065,174406,143616,2026-05-05T14:00:00.000-04:00,,,72.5,0,https://static.prizepicks.com/images/manual/Ruben N.png,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.62,,0.62,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,MID,STARTER,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,72.5,0,0,,,,,,,,0.5,0,OVER,0,VOID_TIER_D;VOID_LOW_MINUTES_NON_A,0,0.62,0.62,0.9,1.08,1,0.7256054556138212,1.538755850831291,-0.3484960384578452,0,72.5,0,0,0,-0.02077242621844583,,,,0,0.8819958574706843,0.62,2.170345646852865,0,1,,0.04347826167941093,-0.4565217383205891,,?,0.95,0.97,No spread data: 0.97x default,ml_prob,D,OVER,0,0,1,1,72.5,,0.62,0.62,,,,3,,,0,,99,MEDIUM,xl,4,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
,Karim Benzema,Attacker,HILAL,UNKNOWN_OPP,SOCCER,4,Shots,shots,Standard,11868355,11868355,298416,143616,2026-05-05T14:00:00.000-04:00,,,4,0,https://images.fotmob.com/image_resources/playerimages/26166.png,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.555,,0.555,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,ROTATION,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,4,0,0,,,,,,,,0.5,0,OVER,0,VOID_LOW_MINUTES_NON_A,0,0.555,0.555,0.75,1.03,1,0.7256054556138212,1.259646070653354,-1.881167391267346,0,4,0,0,0,-0.02077242621844583,,,,0,0.8819958574706843,0.555,1.139679220950136,0,1,,0.3928571343421936,-0.1071428656578064,,?,0.95,0.97,No spread data: 0.97x default,ml_prob,B,OVER,2,0,1,1,4,,0.555,0.555,,,,3,,,0,,99,LOW,mid,2,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
229645,Ademola Lookman,Attacker,ATLÉTICO,UNKNOWN_OPP,SOCCER,0.5,Shots,shots,Goblin,11816859,11816859,298513,152406,2026-05-05T15:00:00.000-04:00,,,1.5,1,https://static.prizepicks.com/images/players/soccer/8d04q3yp2kouwog0lj0s7ew2x.webp,2026-05-05,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,2,1,1,1,4,1,1,,1.8,1.778,1.778,5,0,0,1,1,0,1,0,OK,90,,OK,5,5,0,0,1,0,9,9,0,0,1,0,FWD,STARTER,0,MID_VOL,FRINGE,UNKNOWN,0,MID_VOL,FRINGE,0,0,,none,1.8,1.3,1.3,0.4,,0.4,,0,0.5,0.5,0.55,1,OVER,0,VOID_LOW_MINUTES_NON_A,1.249832603063642,1,1,1,1.03,1.06,2.255858700695205,3.170474565717691,0.6732848634151549,0,1.8,1.3,1.249832603063642,0,-0.02077242621844583,1.8,1.778,1.778,1,3.007632241744957,0.615,2.091063614091116,0,1,5.077910093539533,0.5,0,5.077910093539533,?,0.95,0.97,No spread data: 0.97x default,distance,C,OVER,1,0,2,1,0.5,,1,1,2,2,5.077910093539533,3,,1.012373453318335,4,2.528521315930853,7,HIGH,micro,0,1,0,1,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
,Konstantinos Fortounis,Midfielder,KHALEEJ,UNKNOWN_OPP,SOCCER,42.5,Passes Attempted,passes,Standard,11869069,11869069,216396,143616,2026-05-05T14:00:00.000-04:00,,,42.5,0,https://static.prizepicks.com/images/players/soccer/e12pgb09zlyl7fc1zkkpo4yqd.webp,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.62,,0.62,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,MID,STARTER,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,42.5,0,0,,,,,,,,0.5,0,OVER,0,VOID_TIER_D;VOID_LOW_MINUTES_NON_A,0,0.62,0.62,0.9,1.08,1,0.7256054556138212,1.538755850831291,-0.3484960384578452,0,42.5,0,0,0,-0.02077242621844583,,,,0,0.8819958574706843,0.62,2.170345646852865,0,1,,0.04347826167941093,-0.4565217383205891,,?,0.95,0.97,No spread data: 0.97x default,ml_prob,D,OVER,0,0,1,1,42.5,,0.62,0.62,,,,3,,,0,,99,MEDIUM,xl,4,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
,Karim Benzema,Attacker,HILAL,UNKNOWN_OPP,SOCCER,25.5,Passes Attempted,passes,Standard,11869063,11869063,298416,143616,2026-05-05T14:00:00.000-04:00,,,25.5,0,https://images.fotmob.com/image_resources/playerimages/26166.png,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.62,,0.62,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,ROTATION,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,25.5,0,0,,,,,,,,0.5,0,OVER,0,VOID_TIER_D;VOID_LOW_MINUTES_NON_A,0,0.62,0.62,0.75,1.08,1,0.7256054556138212,1.538755850831291,-1.881167391267346,0,25.5,0,0,0,-0.02077242621844583,,,,0,0.8819958574706843,0.62,2.170345646852865,0,1,,0.04347826167941093,-0.4565217383205891,,?,0.95,0.97,No spread data: 0.97x default,ml_prob,D,OVER,0,0,1,1,25.5,,0.62,0.62,,,,3,,,0,,99,LOW,xl,4,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
,Konstantinos Fortounis,Midfielder,KHALEEJ,UNKNOWN_OPP,SOCCER,7.5,Crosses,crosses,Standard,11868838,11868838,216396,143616,2026-05-05T14:00:00.000-04:00,,,7.5,0,https://static.prizepicks.com/images/players/soccer/e12pgb09zlyl7fc1zkkpo4yqd.webp,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.545,,0.545,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,,MID,STARTER,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,7.5,0,0,,,,,,,,0.5,0,OVER,0,VOID_LOW_MINUTES_NON_A,0,0.545,0.545,0.9,1.02,1,0.7256054556138212,1.216706104472133,-0.3484960384578452,0,7.5,0,0,0,-0.02077242621844583,,,,0,0.8819958574706843,0.545,0.9811151554266385,0,1,,0.3928571343421936,-0.1071428656578064,,?,0.95,0.97,No spread data: 0.97x default,ml_prob,B,OVER,2,0,1,1,7.5,,0.545,0.545,,,,3,,,0,,99,MEDIUM,mid,2,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
,Karim Benzema,Attacker,HILAL,UNKNOWN_OPP,SOCCER,3.5,Shots,shots,Standard,11868355,11868355,298416,143616,2026-05-05T14:00:00.000-04:00,,,4,0,https://images.fotmob.com/image_resources/playerimages/26166.png,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.555,,0.555,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,ROTATION,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,4,0.5,0.5,,,,,,,,0.5,0,OVER,0,VOID_LOW_MINUTES_NON_A,0.5547847360339225,0.555,0.555,0.75,1.03,1,1.314164396029738,1.259646070653354,-1.881167391267346,0,4,0.5,0.5547847360339225,0,-0.02077242621844583,,,,0,0.8819958574706843,0.555,1.139679220950136,0,1,1.338744614146725,0.2680412232875824,-0.2319587767124176,1.455157189289918,?,0.95,0.97,No spread data: 0.97x default,ml_prob,C,OVER,1,0,1,1,3.5,,0.555,0.555,,,1.338744614146725,3,,,0,,99,LOW,low,1,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
,Kalidou Koulibaly,Defender,HILAL,UNKNOWN_OPP,SOCCER,3.5,Clearances,clearances,Standard,11868603,11868603,174407,143616,2026-05-05T14:00:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/manual/Kalidou Koulibaly.png,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.57,,0.57,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,DEF,STARTER,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,3.5,0,0,,,,,,,,0.5,0,OVER,0,VOID_TIER_D;VOID_LOW_MINUTES_NON_A,0,0.57,0.57,0.9,1.02,1,0.7256054556138212,1.324056019925185,-0.3484960384578452,0,3.5,0,0,0,-0.02077242621844583,,,,0,0.8819958574706843,0.57,1.37752531923538,0,1,,0.243817076086998,-0.256182923913002,,?,0.95,0.97,No spread data: 0.97x default,ml_prob,D,OVER,0,0,1,1,3.5,,0.57,0.57,,,,3,,,0,,99,MEDIUM,low,1,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
,Konstantinos Fortounis,Midfielder,KHALEEJ,UNKNOWN_OPP,SOCCER,3.5,Attempted Dribbles,attempted_dribbles,Standard,11868648,11868648,216396,143616,2026-05-05T14:00:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/players/soccer/e12pgb09zlyl7fc1zkkpo4yqd.webp,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.55,,0.55,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,MID,STARTER,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,3.5,0,0,,,,,,,,0.5,0,OVER,0,VOID_LOW_MINUTES_NON_A,0,0.55,0.55,0.9,1.01,1,0.7256054556138212,1.238176087562744,-0.3484960384578452,0,3.5,0,0,0,-0.02077242621844583,,,,0,0.8819958574706843,0.55,1.060397188188387,0,1,,0.3947195112705231,-0.1052804887294769,,?,0.95,0.97,No spread data: 0.97x default,ml_prob,B,OVER,2,0,1,1,3.5,,0.55,0.55,,,,3,,,0,,99,MEDIUM,low,1,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
,Salem Al Dawsari,Midfielder,HILAL,UNKNOWN_OPP,SOCCER,2.5,Shots,shots,Standard,11868357,11868357,174403,143616,2026-05-05T14:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/manual/Salem_Al_Dawsari.png,2026-05-05,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.555,,0.555,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,MID,STARTER,0,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0,0,,none,2.5,0,0,,,,,,,,0.5,0,OVER,0,VOID_LOW_MINUTES_NON_A,0,0.555,0.555,0.9,1.03,1,0.7256054556138212,1.259646070653354,-0.3484960384578452,0,2.5,0,0,0,-0.02077242621844583,,,,0,0.8819958574706843,0.555,1.139679220950136,0,1,,0.3928571343421936,-0.1071428656578064,,?,0.95,0.97,No spread data: 0.97x default,ml_prob,B,OVER,2,0,1,1,2.5,,0.555,0.555,,,,3,,,0,,99,MEDIUM,low,1,1,0,1,OVER,OVER,STANDARD_PASS_THROUGH_STEP7
