projection_id,player_name,team,prop_type,line_score,start_time,sport,league,pick_type,standard_line,goblin_line,demon_line,pp_projection_id,player_id,pp_game_id,player,line,pos,opp_team,pp_home_team,pp_away_team,image_url,tournament,prop_norm,unsupported_prop,espn_athlete_id,tour,opp_def_tier,DEF_TIER,OVERALL_DEF_RANK,stat_status,aces_per_match,double_faults_per_match,first_serve_pct,games_won_per_match,sets_won_per_match,win_rate_L10,best_surface,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,surface,round,is_grand_slam,player_atp_rank,opponent_rank,ranking_diff,position_group,minutes_tier,shot_role,usage_role,last5_over,last5_under,game_script_mult,game_script_note,avg_minutes,composite_hit_rate,composite_score,projection,edge,ml_prob,edge_score,rank_score,blended_score,bet_direction,tier_source,tier,void_reason,espn_player_id,model_dir,final_bet_direction,final_dir_reason,direction
11847914,Zhuoxuan Bai,ZHUOXUAN BAI,Total Games,19,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Standard,19,,,11847914,207630,156686,Zhuoxuan Bai,19,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,match_total_games,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,19,0,0.53,0,4.2,0.509,OVER,ml_prob,D,WEAK_MATCH_HISTORY,,OVER,OVER,STANDARD_TIEBREAK_HR5_OVER,OVER
11847915,Zhuoxuan Bai,ZHUOXUAN BAI,Total Games Won,12.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11847915,207630,156686,Zhuoxuan Bai,12.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,games_won,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,12.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11847913,Jia-Jing Lu,JIA-JING LU,Total Games Won,7.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Standard,7.5,,,11847913,217397,156686,Jia-Jing Lu,7.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,games_won,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,7.5,0,0.53,0,4.2,0.509,OVER,ml_prob,D,WEAK_MATCH_HISTORY,,OVER,OVER,STANDARD_TIEBREAK_HR5_OVER,OVER
11848117,Jia-Jing Lu,JIA-JING LU,Double Faults,6.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848117,217397,156686,Jia-Jing Lu,6.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,double_faults,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,6.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848116,Jia-Jing Lu,JIA-JING LU,Double Faults,5.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848116,217397,156686,Jia-Jing Lu,5.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,double_faults,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,5.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848118,Jia-Jing Lu,JIA-JING LU,Double Faults,4.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848118,217397,156686,Jia-Jing Lu,4.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,double_faults,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,4.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848120,Jia-Jing Lu,JIA-JING LU,Double Faults,3.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Goblin,,,,11848120,217397,156686,Jia-Jing Lu,3.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,double_faults,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,3.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848125,Zhuoxuan Bai,ZHUOXUAN BAI,Double Faults,3.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848125,207630,156686,Zhuoxuan Bai,3.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,double_faults,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,3.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11850272,Jia-Jing Lu,JIA-JING LU,Aces,3.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11850272,217397,156686,Jia-Jing Lu,3.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,aces,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,SERVE_HEAVY,FIELD,,,1,,,0.5,1.05,3.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848114,Jia-Jing Lu,JIA-JING LU,Aces,2.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848114,217397,156686,Jia-Jing Lu,2.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,aces,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,SERVE_HEAVY,FIELD,,,1,,,0.5,1.05,2.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848119,Jia-Jing Lu,JIA-JING LU,Double Faults,2.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Goblin,,,,11848119,217397,156686,Jia-Jing Lu,2.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,double_faults,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,2.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848122,Zhuoxuan Bai,ZHUOXUAN BAI,Aces,2.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848122,207630,156686,Zhuoxuan Bai,2.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,aces,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,SERVE_HEAVY,FIELD,,,1,,,0.5,1.05,2.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848124,Zhuoxuan Bai,ZHUOXUAN BAI,Double Faults,2.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848124,207630,156686,Zhuoxuan Bai,2.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,double_faults,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,2.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848168,Zhuoxuan Bai,ZHUOXUAN BAI,Total Sets,2.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848168,207630,156686,Zhuoxuan Bai,2.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,total_sets,1,,ATP,,N/A,,UNSUPPORTED_PROP,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,2.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848113,Jia-Jing Lu,JIA-JING LU,Aces,1.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848113,217397,156686,Jia-Jing Lu,1.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,aces,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,SERVE_HEAVY,FIELD,,,1,,,0.5,1.05,1.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848121,Zhuoxuan Bai,ZHUOXUAN BAI,Aces,1.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11848121,207630,156686,Zhuoxuan Bai,1.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,aces,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,SERVE_HEAVY,FIELD,,,1,,,0.5,1.05,1.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848126,Zhuoxuan Bai,ZHUOXUAN BAI,Double Faults,1.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Goblin,,,,11848126,207630,156686,Zhuoxuan Bai,1.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,double_faults,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,1.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11847916,Zhuoxuan Bai,ZHUOXUAN BAI,Total Tie Breaks,0.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Demon,,,,11847916,207630,156686,Zhuoxuan Bai,0.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,total_tie_breaks,1,,ATP,,N/A,,UNSUPPORTED_PROP,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,NEUTRAL,FIELD,,,1,,,0.5,1.05,0.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848115,Jia-Jing Lu,JIA-JING LU,Aces,0.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Goblin,,,,11848115,217397,156686,Jia-Jing Lu,0.5,Player,ZHUOXUAN BAI,,,https://img0.aiscore.com/v2/team/28bff36a0c32d2c96ae870156911c25f.png!w80,,aces,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,SERVE_HEAVY,FIELD,,,1,,,0.5,1.05,0.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
11848123,Zhuoxuan Bai,ZHUOXUAN BAI,Aces,0.5,2026-05-03T23:00:00.000-04:00,Tennis,ATP / HARD,Goblin,,,,11848123,207630,156686,Zhuoxuan Bai,0.5,Player,JIA-JING LU,,,https://img0.aiscore.com/v2/team/3af44a3a68fff5ba06f409e20f8b31cc.png!w80,,aces,0,,ATP,,N/A,,NO_ID,,,,,,,,,,,,,,,,,,,,,MISSING_STAT_VALUES,,,,,,,,,,,,,,,,,hard,,0,999,75,924,ATP,2,SERVE_HEAVY,FIELD,,,1,,,0.5,1.05,0.5,0,0.53,0,4.2,0.509,OVER,ml_prob_fallback,D,WEAK_MATCH_HISTORY,,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER
