player_name,star_tier,team_abbreviation,notes
A'ja Wilson,1,LVA,Franchise star
Alyssa Thomas,1,CON,Franchise star
Breanna Stewart,1,NYL,Franchise star
Brittney Griner,1,PHO,Franchise star
Chelsea Gray,1,LAS,Franchise star
DeWanna Bonner,1,CON,Franchise star
Dearica Hamby,1,LAS,Franchise star
Jackie Young,1,LAS,Franchise star
Jewell Loyd,1,SEA,Franchise star
Jonquel Jones,1,NYL,Franchise star
Kahleah Copper,1,PHX,Franchise star
Kelsey Plum,1,LAS,Franchise star
Napheesa Collier,1,MIN,Franchise star
Sabrina Ionescu,1,NYL,Franchise star
Skylar Diggins-Smith,1,PHO,Franchise star
Aaliyah Edwards,2,CON,Reliable starter
Aaliyah Nye,2,TOR,Reliable starter
Aerial Powers,2,IND,Reliable starter
Aicha Coulibaly,2,CHI,Reliable starter
Alanna Smith,2,MIN,Reliable starter
Alex Fowler,2,NYL,Reliable starter
Alex Wilson,2,WSH,Reliable starter
Alexis Prince,2,PHX,Reliable starter
Aline Moura,2,BRZL,Reliable starter
Aliyah Boston,2,IND,Reliable starter
Allisha Gray,2,ATL,Reliable starter
Amy Okonkwo,2,DAL,Reliable starter
Angel Reese,2,CHI,Reliable starter
Anneli Maley,2,NYL,Reliable starter
Antonia Delaere,2,MIN,Reliable starter
Ariel Atkins,2,CHI,Reliable starter
Arike Ogunbowale,2,DAL,Reliable starter
Ashlon Jackson,2,GSV,Reliable starter
Ashten Prechtel,2,WSH,Reliable starter
Ayla McDowell,2,BRZL,Reliable starter
Aziaha James,2,DAL,Reliable starter
Azura Stevens,2,LAS,Reliable starter
Azusa Asahina,2,JPN,Reliable starter
Azzi Fudd,2,DAL,Reliable starter
Betnijah Laney,2,NYL,Reliable starter
Betnijah Laney-Hamilton,2,NYL,Reliable starter
Bria Hartley,2,CON,Reliable starter
Bridget Carleton,2,MIN,Reliable starter
Brionna Jones,2,ATL,Reliable starter
Brittney Sykes,2,WSH,Reliable starter
Caitlin Clark,2,IND,Reliable starter
Carla Leite,2,POR,Reliable starter
Cassandre Prosper,2,WSH,Reliable starter
Catarina Ferreira,2,BRZL,Reliable starter
