PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_min,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,edge_score,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Stephanie Jones,stephanie jones,ATL,1.0,1,20.0,ast,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,1.2666666666666666,30,15.233333333333333,ast,ATL,ATL,2,bottom,Isobel Borlase,27.0,8.0,12.0,-0.38800682037050094,-0.23493589743589743,-0.2196368988330574,-0.8515791692170941,-0.003973946596207968,0.4166666666666667,0.5,0.015298998602840036,False,False,,,,,,,,,,,,,,,,,False,False
Naz Hillmon,naz hillmon,ATL,1.4848484848484849,33,28.09090909090909,ast,ATL,ATL,3,bottom,Naz Hillmon,30.0,8.0,13.0,0.0758486481868268,-0.5616298129959788,0.08417750263486051,0.6304656017021608,0.23172432940147142,0.46153846153846156,0.0,0.6458073156308393,False,True,,,,,,,,,,,,,,,,,False,False
Jordin Canada,jordin canada,ATL,7.235294117647059,34,30.264705882352942,ast,ATL,ATL,1,top,Jordin Canada,31.0,8.0,12.0,1.255127650069005,-1.0418120067788,2.850512405770558,1.1852094851929864,0.5010271275190642,0.75,0.375,3.892324412549358,True,True,,,,,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,4.0,1,22.0,ast,ATL,ATL,2,top,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,3.5588235294117645,34,33.26470588235294,ast,ATL,ATL,3,top,Rhyne Howard,31.0,8.0,13.0,0.26404204890586447,-0.09982649638802893,0.32588076844004105,0.4747465497465496,0.10265344191381798,0.5384615384615384,0.25,0.42570726482807,False,False,,,,,,,,,,,,,,,,,False,False
Holly Winterburn,holly winterburn,ATL,0.0,1,22.0,blk,ATL,ATL,1,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,0.0,1,22.0,blk,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,0.0,1,20.0,blk,ATL,ATL,3,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Rhyne Howard,rhyne howard,ATL,0.9117647058823529,34,33.26470588235294,blk,ATL,ATL,1,top,Rhyne Howard,31.0,8.0,13.0,0.27043237436765066,0.8168898348813209,-0.12832412472322668,0.35164985477485483,-0.3513216232025032,0.46153846153846156,0.875,-0.9452139596045477,False,False,,,,,,,,,,,,,,,,,False,False
