wnba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,game_date,id_status,player_1,player_2,team_1,team_2,TEAM_NAME,TEAM_ID,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,unsupported_prop,unsupported_reason,espn_athlete_id,days_rest,is_back_to_back,opp_days_rest,opp_b2b,usage_pct,usage_tier,min_per_game,team_pace,opp_pace,pace_delta,pace_context,star_tier,is_franchise_star,foul_rate_per_36,foul_trouble_risk,b2b_flag,wnba_b2b_weight,b2b_rest_context,hhs_efg_pct,hhs_ts_pct,hhs_per,wnba_context_source,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,l10_over,l10_under,l10_over_pct,l10_games_played,l10_streak,h2h_avg,h2h_over_pct,h2h_games,h2h_last,open_line,line_movement,line_direction_shift,min_player_avg,fga_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,game_total,spread,usage_boost,usage_boost_proj,usage_boost_reason,usage_boost_source,projection,edge,abs_edge,forced_over_only,bet_direction,eligible,void_reason,edge_dr,line_hit_rate,minutes_certainty,prop_weight,reliability_mult,edge_z,line_hit_z,min_z,def_adj,projection_adj,edge_adj,edge_adj_dr,def_rank_signal,def_rank_z,stat_last5_avg_num,stat_last10_avg_num,stat_season_avg_num,avg_vs_line,avg_vs_line_z,prop_hr_prior,prop_hr_z,usage_bonus,rank_score,ml_prob,tier_source,tier,model_dir,final_bet_direction,final_dir_reason
315801,Brittney Griner,C,CON,NYL,4.5,Rebounds,reb,Demon,11844693,11844693,315801,149150,2026-05-03T17:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/manual/Griner.png,2026-05-03,OK,,,,,,,,,,0,0.0,6.0,6.0,4.0,5.0,0.0,1.0,2.0,4.0,2.0,4.2,3.0,3.0,3.0,2.0,0.0,0.6,0.6,0.4,0.3,0.7,0,,2490553,4,0,8,0,0.215,medium,20.8,94.57,95.75,-1.1800000000000068,medium,1,True,3.288,medium,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,3.0,2.0,0.0,0.6,0.4,10.0,3.0,7.0,0.0,0.3,0.7,3.0,7.0,0.3,10.0,COLD,,,,,4.5,0.0,stable,3.0,4.2,3.0,LOW,LOW_VOL,SUPPORT,,,0,0,,none,3.6,-0.8999999999999999,0.8999999999999999,1,OVER,0,FORCED_OVER_NEG_EDGE,-0.9143366600529773,0.45,0.75,1.06,0.75,0,0,-0.2426271306517461,0,3.6,-0.8999999999999999,-0.9143366600529773,0,0,4.2,3,3,-0.2,0,0.617,0,0,,0.65,ml_prob_fallback,B,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
237848,Sabrina Ionescu,G,NYL,CON,3.5,Assists,ast,Standard,11844690,11844690,237848,149150,2026-05-03T17:00:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,Connecticut SUN,18.0,,3.0,Elite,0,7.0,2.0,4.0,4.0,3.0,7.0,11.0,9.0,9.0,2.0,4.0,5.8,5.8,3.0,2.0,0.0,0.6,0.6,0.4,0.7,0.3,0,,4066533,8,0,4,0,0.273,high,31.4,95.75,94.57,1.1800000000000068,medium,1,True,1.949,low,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,3.0,2.0,0.0,0.6,0.4,10.0,7.0,3.0,0.0,0.7,0.3,7.0,3.0,0.7,10.0,HOT,5.8,1.0,5.0,9.0,6.5,-1.0,moved_down,5.8,4.0,5.8,LOW,LOW_VOL,SUPPORT,,,0,0,,none,4.9,1.4000000000000004,1.4000000000000004,0,OVER,1,,1.33109432028455,0.6499999999999999,0.75,1.05,1,-0.31619202212958,-0.01600400748837515,-0.2426271306517461,-0.03428571428571428,4.732,1.232,1.194040621017784,-0.6666666666666667,-1.475703450667897,4,5.8,5.8,0.4,0.374754750216906,0.593,0.4435462906872628,0,0.2760983256245069,0.5933962264150944,ml_prob,D,OVER,OVER,
237848,Sabrina Ionescu,G,NYL,CON,3.5,Rebounds,reb,Demon,11844691,11844691,237848,149150,2026-05-03T17:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,Connecticut SUN,18.0,,3.0,Elite,0,5.0,1.0,2.0,6.0,4.0,6.0,5.0,5.0,7.0,3.0,3.6,4.4,4.4,3.0,2.0,0.0,0.6,0.6,0.4,0.7,0.3,0,,4066533,8,0,4,0,0.273,high,31.4,95.75,94.57,1.1800000000000068,medium,1,True,1.949,low,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,3.0,2.0,0.0,0.6,0.4,10.0,7.0,3.0,0.0,0.7,0.3,7.0,3.0,0.7,10.0,HOT,5.8,0.6,5.0,7.0,3.5,0.0,stable,4.4,3.6,4.4,LOW,LOW_VOL,SUPPORT,,,0,0,,none,4,0.5,0.5,1,OVER,1,,0.5547847360339225,0.6499999999999999,0.75,1.06,0.75,-0.640575547423139,-0.01600400748837515,-0.2426271306517461,-0.03428571428571428,3.862857142857143,0.362857142857143,0.4224500103762786,-0.6666666666666667,-1.475703450667897,3.6,4.4,4.4,0.1428571428571429,-0.5984075805572351,0.617,1.419348130199245,0,-0.504723288543368,0.5783018867924529,ml_prob_fallback,D,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
237848,Sabrina Ionescu,G,NYL,CON,1.5,3-PT Made,3ptmade,Standard,11844689,11844689,237848,149150,2026-05-03T17:00:00.000-04:00,,,1.5,0,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,Connecticut SUN,18.0,,3.0,Elite,0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,1.2,1.1,1.1,2.0,3.0,0.0,0.4,0.4,0.6,0.3,0.7,0,,4066533,8,0,4,0,0.273,high,31.4,95.75,94.57,1.1800000000000068,medium,1,True,1.949,low,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,2.0,3.0,0.0,0.4,0.6,10.0,3.0,7.0,0.0,0.3,0.7,3.0,7.0,0.3,10.0,COLD,1.8,0.4,5.0,1.0,1.5,0.0,stable,1.1,1.2,1.1,LOW,LOW_VOL,SUPPORT,,,0,0,,none,1.15,-0.3500000000000001,0.3500000000000001,0,UNDER,1,,-0.409692334013368,0.6499999999999999,0.75,0.93,1,1.134057971014493,0.1944444444444445,-0.2426271306517461,-0.03428571428571428,1.110571428571429,-0.3894285714285715,0.4486045145008319,0.6666666666666667,0.9152086306448589,1.2,1.1,1.1,0.2333333333333333,1.178704632023663,0.455,-2.207434968962664,0,0.9285238356383512,0.6235849056603774,ml_prob,D,UNDER,UNDER,
237848,Sabrina Ionescu,G,NYL,CON,11.5,Points,pts,Standard,11844265,11844265,237848,149150,2026-05-03T17:00:00.000-04:00,,,11.5,0,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,Connecticut SUN,18.0,,3.0,Elite,0,11.0,6.0,1.0,22.0,9.0,16.0,11.0,6.0,11.0,16.0,9.8,10.9,10.9,1.0,4.0,0.0,0.2,0.2,0.8,0.3,0.7,0,,4066533,8,0,4,0,0.273,high,31.4,95.75,94.57,1.1800000000000068,medium,1,True,1.949,low,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,1.0,4.0,0.0,0.2,0.8,10.0,3.0,7.0,0.0,0.3,0.7,3.0,7.0,0.3,10.0,COLD,19.2,0.6,5.0,11.0,16.5,1.0,moved_up,10.9,9.8,10.9,LOW,MID_VOL,SECONDARY,,,0,0,,none,10.35,-1.1500000000000004,1.1500000000000004,0,UNDER,1,,-1.126142021541144,0.75,0.75,1.03,1,0.09057971014492806,0.8611111111111118,-0.2426271306517461,-0.03428571428571428,9.995142857142858,-1.504857142857142,1.415373248549444,0.6666666666666667,0.9152086306448589,9.8,10.9,10.9,0.09999999999999995,-0.4248589886280472,0.54,-0.04798771671657811,0,2.331800239567151,0.7367924528301887,ml_prob,D,UNDER,UNDER,
315801,Brittney Griner,C,CON,NYL,8.5,Points,pts,Standard,11844267,11844267,315801,149150,2026-05-03T17:00:00.000-04:00,,,8.5,0,https://static.prizepicks.com/images/manual/Griner.png,2026-05-03,OK,,,,,,,,,,0,4.0,16.0,13.0,16.0,7.0,5.0,7.0,2.0,17.0,10.0,11.2,9.7,9.7,3.0,2.0,0.0,0.6,0.6,0.4,0.5,0.5,0,,2490553,4,0,8,0,0.215,medium,20.8,94.57,95.75,-1.1800000000000068,medium,1,True,3.288,medium,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,3.0,2.0,0.0,0.6,0.4,10.0,5.0,5.0,0.0,0.5,0.5,5.0,5.0,0.5,10.0,NEUTRAL,,,,,8.5,0.0,stable,9.7,11.2,9.7,LOW,MID_VOL,SECONDARY,,,0,0,,none,10.45,1.9499999999999993,1.9499999999999993,0,OVER,1,,1.764125264508111,0.55,0.75,1.03,1,-0.1179576455612943,-0.5793450710791637,-0.2426271306517461,0,10.45,1.949999999999999,1.764125264508111,0,0.2674093501210283,11.2,9.7,9.7,0.2294117647058823,-0.2708398679110377,0.566,-0.6542307787637177,0,0.6489912286793551,0.6084905660377359,ml_prob,D,OVER,OVER,
237843,A'ja Wilson,C,LVA,DAL,7.5,Rebounds,reb,Standard,11844273,11844273,237843,149152,2026-05-03T19:00:00.000-04:00,,,7.5,0,https://static.prizepicks.com/images/players/NBA/A'ja_Wilson_WNBA_player_e1fzWnin9JBoRKYaugxyyP08.webp,2026-05-03,OK,,,,,Dallas Wings,3.0,,4.0,Above Avg,0,15.0,6.0,3.0,11.0,4.0,4.0,5.0,9.0,14.0,14.0,7.8,8.5,8.5,2.0,3.0,0.0,0.4,0.4,0.6,0.5,0.5,0,,3149391,6,0,3,0,0.307,high,31.2,94.92,96.34,-1.4200000000000017,medium,1,True,2.192,low,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,2.0,3.0,0.0,0.4,0.6,10.0,5.0,5.0,0.0,0.5,0.5,5.0,5.0,0.5,10.0,NEUTRAL,8.75,0.75,4.0,8.0,7.5,0.0,stable,8.5,7.8,8.5,LOW,LOW_VOL,SECONDARY,177.5,2.5,0,0,,none,8.149999999999999,0.6499999999999986,0.6499999999999986,0,OVER,1,,0.6933880507772513,0.45,0.75,1.06,1,-0.5865116265408797,-1.142686134669953,-0.2426271306517461,-0.02571428571428571,7.94042857142857,0.4404285714285701,0.4980743329578075,-0.5,-1.039925250470666,7.8,8.5,8.5,0.08666666666666666,-0.8110615713560291,0.617,1.419348130199245,0,-1.419487475586924,0.5103773584905661,ml_prob,D,OVER,OVER,
237836,Paige Bueckers,G,DAL,LVA,3.5,Assists,ast,Standard,11844274,11844274,237836,149152,2026-05-03T19:00:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,2026-05-03,OK,,,,,,,,,,0,2.0,7.0,4.0,2.0,8.0,3.0,4.0,9.0,3.0,7.0,4.6,4.9,4.9,3.0,2.0,0.0,0.6,0.6,0.4,0.6,0.4,0,,4433730,3,0,6,0,0.241,medium,33.3,96.34,94.92,1.4200000000000017,medium,2,False,2.486,low,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,3.0,2.0,0.0,0.6,0.4,10.0,6.0,4.0,0.0,0.6,0.4,6.0,4.0,0.6,10.0,NEUTRAL,4.5,0.75,4.0,4.0,4.5,0.0,stable,4.9,4.6,4.9,LOW,LOW_VOL,SUPPORT,177.5,2.5,0,0,,none,4.75,1.25,1.25,0,OVER,1,,1.208853051335375,0.6,0.75,1.05,1,-0.3702559430118399,-0.2976745392837694,-0.2426271306517461,0,4.75,1.25,1.208853051335375,0,0.2674093501210283,4.6,4.9,4.9,0.3571428571428572,0.2125610284212157,0.593,0.4435462906872628,0,1.374414666804158,0.6839622641509434,ml_prob,C,OVER,OVER,
237843,A'ja Wilson,C,LVA,DAL,2.5,Assists,ast,Standard,11844272,11844272,237843,149152,2026-05-03T19:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/players/NBA/A'ja_Wilson_WNBA_player_e1fzWnin9JBoRKYaugxyyP08.webp,2026-05-03,OK,,,,,Dallas Wings,3.0,,4.0,Above Avg,0,4.0,1.0,3.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,2.4,2.8,2.8,3.0,2.0,0.0,0.6,0.6,0.4,0.7,0.3,0,,3149391,6,0,3,0,0.307,high,31.2,94.92,96.34,-1.4200000000000017,medium,1,True,2.192,low,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,3.0,2.0,0.0,0.6,0.4,10.0,7.0,3.0,0.0,0.7,0.3,7.0,3.0,0.7,10.0,HOT,3.25,0.5,4.0,1.0,2.5,0.0,stable,2.8,2.4,2.8,LOW,LOW_VOL,SUPPORT,177.5,2.5,0,0,,none,2.6,0.10000000000000009,0.10000000000000009,0,OVER,1,,0.1412537544622755,0.6499999999999999,0.75,1.05,1,-0.7847460031091653,-0.01600400748837515,-0.2426271306517461,-0.02571428571428571,2.533142857142857,0.03314285714285736,0.05524989450955253,-0.5,-1.039925250470666,2.4,2.8,2.8,0.03999999999999995,-0.9876725128668921,0.593,0.4435462906872628,0,-1.447130179296907,0.5028301886792453,ml_prob,D,OVER,OVER,
197034,Cameron Brink,F,LAS,,5.5,Rebounds,reb,Standard,11844631,11844631,197034,155440,2026-05-03T19:00:00.000-04:00,,,5.5,0,https://static.prizepicks.com/images/players/NBA/Cameron_Brink_WNBA_player_iXX6g2ZznhNde3uQhZhdBbZ.webp,2026-05-03,OK,,,,,,,,,,0,8.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,6.0,4.6,4.1,4.1,1.0,4.0,0.0,0.2,0.2,0.8,0.2,0.8,0,,4433404,6,0,-1,0,0.198,medium,12.9,96.84,,,medium,3,False,6.977,high,False,1.0,normal_rest,,,,wnba_api_usage;wnba_api_pace;wnba_api_fouls,OK,5.0,1.0,4.0,0.0,0.2,0.8,10.0,2.0,8.0,0.0,0.2,0.8,2.0,8.0,0.2,10.0,COLD,,,,,5.5,0.0,stable,4.1,4.6,4.1,LOW,LOW_VOL,SUPPORT,,,0,0,,none,4.35,-1.1500000000000004,1.1500000000000004,0,UNDER,1,,-1.126142021541144,0.8,0.75,1.06,1,0.09057971014492806,1.194444444444446,-0.2426271306517461,0,4.35,-1.15,1.126142021541144,0,-0.6537204504606134,4.6,4.1,4.1,0.2090909090909092,0.8871476100869894,0.591,1.24768063463107,0,2.838750360613327,0.7518867924528303,ml_prob,D,UNDER,UNDER,
