TEAM_ABBREVIATION,TEAM_NAME,TEAM_ID,OPP_PPG,OPP_PTS_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,GP,OPP_PTS,OPP_POSS,DEF_EFF,DEF_EFF_RANK
ATL,Atlanta Dream,20,79.2,2,0.9627276815830897,9,Avg,32,85.625,88.94,0.9627276815830897,9
CHI,Chicago Sky,19,83.333336,5,0.9488415148792507,4,Above Avg,31,89.93548387096774,94.78451612903227,0.9488415148792507,4
CON,Connecticut Sun,18,91.125,14,0.9649000626784594,10,Below Avg,32,86.59375,89.74375,0.9649000626784594,10
DAL,Dallas Wings,3,84.42857,6,0.9611461676548985,8,Avg,33,85.66666666666667,89.12969696969698,0.9611461676548985,8
GS,Golden State Valkyries,129689,76.333336,1,0.9003542624557171,1,Elite,30,77.06451612903226,85.59354838709677,0.9003542624557171,1
IND,Indiana Fever,5,87.0,8,0.9755792284371263,11,Below Avg,31,90.51612903225806,92.78193548387097,0.9755792284371263,11
LV,Las Vegas Aces,17,87.5,10,0.9500151949579165,5,Above Avg,33,87.15151515151516,91.73696969696971,0.9500151949579165,5
LA,Los Angeles Sparks,6,96.0,15,0.9956573124811039,14,Weak,31,93.48387096774194,93.8916129032258,0.9956573124811039,14
MIN,Minnesota Lynx,8,82.333336,4,0.9057779306330855,2,Elite,33,83.0,91.6339393939394,0.9057779306330855,2
NY,New York Liberty,9,86.71429,7,0.9606251057240635,7,Avg,34,86.8529411764706,90.41294117647058,0.9606251057240635,7
PHX,Phoenix Mercury,11,87.0,8,0.9839854487766851,12,Below Avg,33,87.21212121212122,88.63151515151516,0.9839854487766851,12
POR,Portland Fire,132052,88.57143,11,0.9882222791845986,13,Weak,32,91.5625,92.65375,0.9882222791845986,13
SEA,Seattle Storm,14,81.71429,3,0.9525615209602762,6,Above Avg,33,88.3030303030303,92.70060606060606,0.9525615209602762,6
TOR,Toronto Tempo,131935,89.28571,12,1.0059315507154343,15,Weak,32,93.0625,92.51375,1.0059315507154343,15
WSH,Washington Mystics,16,90.8,13,0.9112282701624395,3,Elite,31,82.51612903225806,90.55483870967741,0.9112282701624395,3
