game_date,event_id,ESPN_ATHLETE_ID,PLAYER_NAME,TEAM,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FG2M,FG2A,FTM,FTA,OREB,DREB,SEASON,PLAYER_NORM
2026-05-02,401867794,3918557,Nicole Enabosi,NIGERIA,17.0,3.0,5.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,,,,nicole enabosi
2026-05-02,401867794,3926411,Pallas Kunaiyi,NIGERIA,14.0,6.0,4.0,0.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,2.0,5.0,2.0,3.0,,,,pallas kunaiyi
2026-05-02,401867794,2491811,Victoria Macaulay,NIGERIA,20.0,4.0,3.0,1.0,2.0,0.0,3.0,2.0,8.0,0.0,0.0,2.0,8.0,0.0,0.0,,,,victoria macaulay
2026-05-02,401867794,2531437,Ezinne Kalu,NIGERIA,25.0,8.0,2.0,2.0,1.0,0.0,3.0,1.0,5.0,0.0,2.0,1.0,3.0,6.0,8.0,,,,ezinne kalu
2026-05-02,401867794,2592228,Promise Amukamara,NIGERIA,27.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,2.0,2.0,,,,promise amukamara
2026-05-02,401867794,5312420,Nora Ezike,NIGERIA,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,nora ezike
2026-05-02,401867794,5346853,Suzie Rafiu,NIGERIA,15.0,6.0,3.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,0.0,1.0,,,,suzie rafiu
2026-05-02,401867794,5346854,Regina Donanu,NIGERIA,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,,,,regina donanu
2026-05-02,401867794,5346855,Jemi Klaku,NIGERIA,5.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,jemi klaku
2026-05-02,401867794,5346856,Vera Ojenuwa,NIGERIA,19.0,8.0,4.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,2.0,6.0,4.0,7.0,,,,vera ojenuwa
2026-05-02,401867794,4280899,Blessing Ejiofor,NIGERIA,15.0,8.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,5.0,2.0,2.0,,,,blessing ejiofor
2026-05-02,401867794,5238309,Shay Ijiwoye,NIGERIA,27.0,10.0,3.0,1.0,3.0,0.0,5.0,4.0,11.0,0.0,3.0,4.0,8.0,2.0,7.0,,,,shay ijiwoye
