game_date,event_id,ESPN_ATHLETE_ID,PLAYER_NAME,PLAYER_NORM,TEAM,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FG2M,FG2A,FTM,FTA,SEASON
2026-04-28,401867791,3926411,Pallas Kunaiyi,pallas kunaiyi,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5346853,Suzie Rafiu,suzie rafiu,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5312424,Uche Izoje,uche izoje,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,2531437,Ezinne Kalu,ezinne kalu,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,2592228,Promise Amukamara,promise amukamara,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4434019,Maryam Dauda,maryam dauda,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5346854,Regina Donanu,regina donanu,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5346856,Vera Ojenuwa,vera ojenuwa,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5346857,Jerni Kiaku,jerni kiaku,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,2491811,Victoria Macaulay,victoria macaulay,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4280899,Blessing Ejiofor,blessing ejiofor,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5312434,Gabby White,gabby white,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,3054590,Nia Coffey,nia coffey,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4873358,Antonia Delaere,antonia delaere,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5109356,Jade Masogayo,jade masogayo,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,2987891,Courtney Williams,courtney williams,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4433791,Olivia Miles,olivia miles,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4432844,Aubrey Griffin,aubrey griffin,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4596309,Liatu King,liatu king,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4433745,Sakima Walker,sakima walker,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4703766,Ra Shaya Kyle,ra shaya kyle,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4433386,Jaylyn Sherrod,jaylyn sherrod,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4433542,Saylor Poffenbarger,saylor poffenbarger,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4433543,Reigan Richardson,reigan richardson,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,4682766,Amaya Battle,amaya battle,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5105748,Lani White,lani white,MIN,,,,,,,,,,,,,,,,2026
2026-04-28,401867791,5345478,Eliska Hamzova,eliska hamzova,MIN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,4873391,Nanako Todo,nanako todo,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,5346803,Mona Tateyama,mona tateyama,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,5346804,Kadysha Juna Umezawa,kadysha juna umezawa,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,4433094,Norika Konno,norika konno,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,5220104,Mai Yamamoto,mai yamamoto,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,5346553,Minami Yabu,minami yabu,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,5346801,Nanami Tsuno,nanami tsuno,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,5346806,Mio Shiraishi,mio shiraishi,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,5346807,Suzuno Higuchi,suzuno higuchi,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,5346552,Azusa Asahina,azusa asahina,JPN,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,3099736,Stephanie Talbot,stephanie talbot,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,4398776,NaLyssa Smith,nalyssa smith,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,2529122,Chelsea Gray,chelsea gray,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,2987869,Jewell Loyd,jewell loyd,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,4065870,Jackie Young,jackie young,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,2529458,Cheyenne Parker-Tyus,cheyenne parker tyus,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,3142086,Brianna Turner,brianna turner,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,4433633,Kierstan Bell,kierstan bell,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,4565501,Janiah Barker,janiah barker,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,4280892,Chennedy Carter,chennedy carter,LV,,,,,,,,,,,,,,,,2026
2026-04-27,401869973,4705226,Jordan Obi,jordan obi,LV,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,3142055,Myisha Hines-Allen,myisha hines allen,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,3142255,Monique Billings,monique billings,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,3142191,Kelsey Mitchell,kelsey mitchell,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,3907781,Sophie Cunningham,sophie cunningham,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4433403,Caitlin Clark,caitlin clark,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4433546,Makayla Timpson,makayla timpson,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,3058893,Shatori Walker-Kimbrough,shatori walker kimbrough,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4398947,Kayana Traylor,kayana traylor,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4433510,Megan McConnell,megan mcconnell,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4433797,Raven Johnson,raven johnson,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4433811,Jessica Timmons,jessica timmons,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4682855,Justine Pissott,justine pissott,IND,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,2593770,Betnijah Laney-Hamilton,betnijah laney hamilton,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,2998928,Breanna Stewart,breanna stewart,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,2999101,Jonquel Jones,jonquel jones,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,2327695,Rebekah Gardner,rebekah gardner,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4066533,Sabrina Ionescu,sabrina ionescu,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4281930,Anneli Maley,anneli maley,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4595823,Alex Fowler,alex fowler,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4337216,Han Xu,han xu,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4433632,Ashley Owusu,ashley owusu,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,4703579,Derin Erdogan,derin erdogan,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401866150,5106084,Ny'Ceara Pryor,ny ceara pryor,NY,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,3918557,Nicole Enabosi,nicole enabosi,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,3926411,Pallas Kunaiyi,pallas kunaiyi,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,2491811,Victoria Macaulay,victoria macaulay,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,2531437,Ezinne Kalu,ezinne kalu,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,2592228,Promise Amukamara,promise amukamara,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,4434019,Maryam Dauda,maryam dauda,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5311604,Favour Nwaedozi,favour nwaedozi,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5312420,Nora Ezike,nora ezike,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,4280899,Blessing Ejiofor,blessing ejiofor,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5312424,Uche Izoje,uche izoje,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5238309,Shay Ijiwoye,shay ijiwoye,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5312434,Gabby White,gabby white,NIGERIA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,2566106,Dearica Hamby,dearica hamby,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,4433404,Cameron Brink,cameron brink,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,2491214,Erica Wheeler,erica wheeler,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,3065570,Kelsey Plum,kelsey plum,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,3146151,Ariel Atkins,ariel atkins,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,2284331,Emma Cannon,emma cannon,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,4433795,Sania Feagin,sania feagin,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5107515,Laura Ziegler,laura ziegler,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5239080,Amelia Hassett,amelia hassett,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,2566110,Julie Vanloo,julie vanloo,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,4609797,Ta'Niya Latson,ta niya latson,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5105729,Chance Gray,chance gray,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401867790,5209660,Sevgi Uzun,sevgi uzun,LA,,,,,,,,,,,,,,,,2026
2026-04-25,401866152,4433630,Rickea Jackson,rickea jackson,CHI,,,,,,,,,,,,,,,,2026
2026-04-25,401866152,4433405,Kamilla Cardoso,kamilla cardoso,CHI,,,,,,,,,,,,,,,,2026
2026-04-25,401866152,2491205,Skylar Diggins,skylar diggins,CHI,,,,,,,,,,,,,,,,2026
2026-04-25,401866152,4432865,Jacy Sheldon,jacy sheldon,CHI,,,,,,,,,,,,,,,,2026
2026-04-25,401866152,4433433,Aicha Coulibaly,aicha coulibaly,CHI,,,,,,,,,,,,,,,,2026
