player,team,prop_type,actual
Sam Alexis,IU,Points,5.0
Sam Alexis,IU,Rebounds,3.0
Sam Alexis,IU,Assists,0.0
Sam Alexis,IU,Blocked Shots,2.0
Sam Alexis,IU,Steals,0.0
Sam Alexis,IU,Turnovers,0.0
Sam Alexis,IU,FG Made,2.0
Sam Alexis,IU,FG Attempted,8.0
Sam Alexis,IU,3-PT Made,0.0
Sam Alexis,IU,3-PT Attempted,0.0
Sam Alexis,IU,Two Pointers Made,2.0
Sam Alexis,IU,Two Pointers Attempted,8.0
Sam Alexis,IU,Free Throws Made,1.0
Sam Alexis,IU,Free Throws Attempted,4.0
Sam Alexis,IU,Offensive Rebounds,0.0
Sam Alexis,IU,Defensive Rebounds,3.0
Sam Alexis,IU,Personal Fouls,2.0
Sam Alexis,IU,Fantasy Score,12.8
Sam Alexis,IU,Pts+Rebs+Asts,8.0
Sam Alexis,IU,PRA,8.0
Sam Alexis,IU,Pts+Rebs,8.0
Sam Alexis,IU,Pts+Asts,5.0
Sam Alexis,IU,Rebs+Asts,3.0
Sam Alexis,IU,Blks+Stls,2.0
Tucker DeVries,IU,Points,11.0
Tucker DeVries,IU,Rebounds,2.0
Tucker DeVries,IU,Assists,2.0
Tucker DeVries,IU,Blocked Shots,0.0
Tucker DeVries,IU,Steals,0.0
Tucker DeVries,IU,Turnovers,1.0
Tucker DeVries,IU,FG Made,4.0
Tucker DeVries,IU,FG Attempted,6.0
Tucker DeVries,IU,3-PT Made,3.0
Tucker DeVries,IU,3-PT Attempted,4.0
Tucker DeVries,IU,Two Pointers Made,1.0
Tucker DeVries,IU,Two Pointers Attempted,2.0
Tucker DeVries,IU,Free Throws Made,0.0
Tucker DeVries,IU,Free Throws Attempted,0.0
Tucker DeVries,IU,Offensive Rebounds,0.0
Tucker DeVries,IU,Defensive Rebounds,2.0
Tucker DeVries,IU,Personal Fouls,2.0
Tucker DeVries,IU,Fantasy Score,22.0
Tucker DeVries,IU,Pts+Rebs+Asts,15.0
Tucker DeVries,IU,PRA,15.0
Tucker DeVries,IU,Pts+Rebs,13.0
Tucker DeVries,IU,Pts+Asts,13.0
Tucker DeVries,IU,Rebs+Asts,4.0
Tucker DeVries,IU,Blks+Stls,0.0
Nick Dorn,IU,Points,0.0
Nick Dorn,IU,Rebounds,1.0
Nick Dorn,IU,Assists,0.0
Nick Dorn,IU,Blocked Shots,0.0
Nick Dorn,IU,Steals,0.0
Nick Dorn,IU,Turnovers,0.0
Nick Dorn,IU,FG Made,0.0
Nick Dorn,IU,FG Attempted,2.0
Nick Dorn,IU,3-PT Made,0.0
Nick Dorn,IU,3-PT Attempted,2.0
Nick Dorn,IU,Two Pointers Made,0.0
Nick Dorn,IU,Two Pointers Attempted,0.0
Nick Dorn,IU,Free Throws Made,0.0
Nick Dorn,IU,Free Throws Attempted,0.0
Nick Dorn,IU,Offensive Rebounds,0.0
Nick Dorn,IU,Defensive Rebounds,1.0
Nick Dorn,IU,Personal Fouls,3.0
Nick Dorn,IU,Fantasy Score,1.2
Nick Dorn,IU,Pts+Rebs+Asts,1.0
Nick Dorn,IU,PRA,1.0
Nick Dorn,IU,Pts+Rebs,1.0
Nick Dorn,IU,Pts+Asts,0.0
Nick Dorn,IU,Rebs+Asts,1.0
Nick Dorn,IU,Blks+Stls,0.0
Lamar Wilkerson,IU,Points,20.0
Lamar Wilkerson,IU,Rebounds,2.0
Lamar Wilkerson,IU,Assists,1.0
Lamar Wilkerson,IU,Blocked Shots,0.0
Lamar Wilkerson,IU,Steals,0.0
Lamar Wilkerson,IU,Turnovers,3.0
Lamar Wilkerson,IU,FG Made,7.0
Lamar Wilkerson,IU,FG Attempted,13.0
Lamar Wilkerson,IU,3-PT Made,2.0
Lamar Wilkerson,IU,3-PT Attempted,7.0
Lamar Wilkerson,IU,Two Pointers Made,5.0
Lamar Wilkerson,IU,Two Pointers Attempted,6.0
Lamar Wilkerson,IU,Free Throws Made,4.0
Lamar Wilkerson,IU,Free Throws Attempted,4.0
Lamar Wilkerson,IU,Offensive Rebounds,0.0
Lamar Wilkerson,IU,Defensive Rebounds,2.0
Lamar Wilkerson,IU,Personal Fouls,2.0
Lamar Wilkerson,IU,Fantasy Score,28.0
Lamar Wilkerson,IU,Pts+Rebs+Asts,23.0
Lamar Wilkerson,IU,PRA,23.0
Lamar Wilkerson,IU,Pts+Rebs,22.0
Lamar Wilkerson,IU,Pts+Asts,21.0
Lamar Wilkerson,IU,Rebs+Asts,3.0
Lamar Wilkerson,IU,Blks+Stls,0.0
Conor Enright,IU,Points,3.0
Conor Enright,IU,Rebounds,2.0
