date,mode,legs,tickets,staked,payout,profit,roi,win_rate,cash_rate
2026-02-26,power,6,3,60,0,-60,-1,0,0
2026-02-26,power,5,6,120,0,-120,-1,0,0
2026-02-26,power,3,9,180,0,-180,-1,0,0
2026-02-26,power,4,9,180,0,-180,-1,0,0
2026-02-26,flex,4,9,180,240,60,0.3333,0,0.8889
2026-02-26,flex,5,6,120,144,24,0.2,0,1.0
2026-02-26,flex,3,9,180,160,-20,-0.1111,0,0.8889
2026-02-26,flex,6,3,60,8,-52,-0.8667,0,0.3333
2026-02-27,power,4,9,180,0,-180,-1,0,0
2026-02-27,power,5,9,180,0,-180,-1,0,0
2026-02-27,power,6,9,180,0,-180,-1,0,0
2026-02-27,power,3,11,220,0,-220,-1,0,0
2026-02-27,flex,5,9,180,256,76,0.4222,0,0.8889
2026-02-27,flex,4,9,180,180,0,0.0,0,0.6667
2026-02-27,flex,3,11,220,180,-40,-0.1818,0,0.8182
2026-02-27,flex,6,9,180,128,-52,-0.2889,0,0.8889
2026-02-28,power,5,12,240,2400,2160,9.0,0.5,0.5
2026-02-28,power,6,8,160,2250,2090,13.0625,0.375,0.375
2026-02-28,power,4,12,240,1200,960,4.0,0.5,0.5
2026-02-28,power,3,12,240,720,480,2.0,0.5,0.5
2026-02-28,power,2,4,80,0,-80,-1.0,0.0,0.0
2026-02-28,flex,6,8,160,1620,1460,9.125,0,0.75
2026-02-28,flex,5,12,240,1208,968,4.0333,0,0.5833
2026-02-28,flex,4,12,240,720,480,2.0,0,0.5
2026-02-28,flex,3,12,240,360,120,0.5,0,0.5
2026-02-28,flex,2,4,80,0,-80,-1.0,0,0.0
2026-03-01,power,3,11,220,960,740,3.3636,0.7273,0.7273
2026-03-01,power,4,11,220,400,180,0.8182,0.1818,0.1818
2026-03-01,power,2,2,40,120,80,2.0,1.0,1.0
2026-03-01,power,6,6,120,0,-120,-1.0,0.0,0.0
2026-03-01,power,5,10,200,0,-200,-1.0,0.0,0.0
2026-03-01,flex,3,11,220,540,320,1.4545,0,1.0
2026-03-01,flex,4,11,220,450,230,1.0455,0,0.8182
2026-03-01,flex,5,10,200,360,160,0.8,0,0.9
2026-03-01,flex,6,6,120,208,88,0.7333,0,1.0
