grade_date,source_workbook,sheet,ticket_no,leg_no,player,team,prop,prop_norm,line,dir,sport,pick_type,leg_type,tier,def_tier,ml_prob,standard_line,ticket_id,actual,leg_result,delta_pct,gd_leg_factor,payout_method,empirical_ticket_paid,include_in_ticket_rate,modeled_ticket_objective,modeled_power_prob,modeled_flex_cash,slate_is_flex,json_ticket_objective_score
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,1,Olivia Miles,MIN,Rebs+Asts,rebs+asts,11.0,OVER,WNBA,Standard,Standard,A,Above Avg,1.0,8.5,WNBA 2-Leg Standard | 1,13.0,HIT,1.2941176470588236,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,2,Jessica Shepard + Courtney Williams,DAL / MIN,Assists (Combo),assists,8.5,OVER,WNBA,Standard,Standard,A,nan,1.0,23.0,WNBA 2-Leg Standard | 1,,NO_ACTUAL,0.3695652173913043,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,1,Olivia Miles,MIN,Pts+Rebs,pr,21.5,OVER,WNBA,Standard,Standard,A,Above Avg,1.0,8.5,WNBA 2-Leg Standard | 1,37.0,HIT,2.5294117647058822,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,2,Jessica Shepard + Courtney Williams,DAL / MIN,Assists (Combo),assists,8.5,OVER,WNBA,Standard,Standard,A,nan,1.0,23.0,WNBA 2-Leg Standard | 1,,NO_ACTUAL,0.3695652173913043,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,1,Olivia Miles,MIN,Pts+Rebs+Asts,pr,28.5,OVER,WNBA,Standard,Standard,A,Above Avg,0.61,8.5,WNBA 2-Leg Standard | 1,37.0,HIT,3.3529411764705883,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,2,Jessica Shepard + Courtney Williams,DAL / MIN,Assists (Combo),assists,8.5,OVER,WNBA,Standard,Standard,A,nan,1.0,23.0,WNBA 2-Leg Standard | 1,,NO_ACTUAL,0.3695652173913043,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,1,Olivia Miles,MIN,Rebs+Asts,rebs+asts,11.0,OVER,WNBA,Standard,Standard,A,Above Avg,1.0,8.5,WNBA 2-Leg Standard | 1,13.0,HIT,1.2941176470588236,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,2,Paige Bueckers + Olivia Miles,DAL / MIN,Assists (Combo),assists,12.0,OVER,WNBA,Standard,Standard,A,nan,1.0,23.0,WNBA 2-Leg Standard | 1,,NO_ACTUAL,0.5217391304347826,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,1,Jessica Shepard + Courtney Williams,DAL / MIN,Assists (Combo),assists,8.5,OVER,WNBA,Standard,Standard,A,nan,1.0,8.5,WNBA 2-Leg Standard | 1,,NO_ACTUAL,1.0,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,WNBA 2-Leg Standard,1,2,Olivia Miles,MIN,Pts+Asts,pa,23.0,OVER,WNBA,Standard,Standard,A,Above Avg,1.0,23.0,WNBA 2-Leg Standard | 1,30.0,HIT,1.0,1.0,curve,,False,0.0013,0.0013,0.0133,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,NBA1Q Coverage,1,1,Jalen Williams,OKC,Points,points,0.5,OVER,NBA1Q,Goblin,Goblin -1,A,Above Avg,0.9268,,NBA1Q Coverage | 1,,NO_ACTUAL,,1.0,flat_fallback,,False,0.8359,0.8359,0.8359,False,
2026-06-09,combined_slate_tickets_2026-06-09.json,NBA1Q Coverage,1,2,Stephon Castle,SAS,Points,points,1.5,OVER,NBA1Q,Goblin,Goblin -1,A,Elite,0.9086,,NBA1Q Coverage | 1,,NO_ACTUAL,,1.0,flat_fallback,,False,0.8359,0.8359,0.8359,False,
