ticket_id,n_legs,composition,est_ticket_hit_prob,avg_leg_hit_prob,avg_leg_edge,avg_rank_score
T00000001,2,1S+1G+0D,0.9801,0.99,1.9749999999999999,8.875
T00000002,2,1S+1G+0D,0.9801,0.99,3.3499999999999996,8.755
T00000003,2,1S+1G+0D,0.9801,0.99,2.3499999999999996,8.755
T00000004,2,1S+1G+0D,0.9801,0.99,3.8499999999999996,8.755
T00000005,2,1S+1G+0D,0.9801,0.99,3.3499999999999996,8.755
T00000006,2,1S+1G+0D,0.9801,0.99,3.675,8.745000000000001
T00000007,2,1S+1G+0D,0.9801,0.99,4.175,8.745000000000001
T00000008,2,1S+1G+0D,0.9801,0.99,1.9249999999999998,8.745000000000001
T00000009,2,1S+1G+0D,0.9801,0.99,2.4749999999999996,8.745000000000001
T00000010,2,1S+1G+0D,0.9801,0.99,1.75,8.735
T00000011,2,1S+1G+0D,0.9801,0.99,3.075,8.735
T00000012,2,1S+1G+0D,0.9801,0.99,1.7999999999999998,8.735
T00000013,2,1S+1G+0D,0.9801,0.99,4.575,8.725
T00000014,2,1S+1G+0D,0.9801,0.99,1.775,8.705
T00000015,2,1S+1G+0D,0.9801,0.99,1.75,8.665000000000001
T00000016,2,1S+1G+0D,0.9801,0.99,3.55,8.645
T00000017,2,1S+1G+0D,0.9801,0.99,3.45,8.645
T00000018,2,1S+1G+0D,0.9801,0.99,3.425,8.645
T00000019,2,2S+0G+0D,0.9801,0.99,3.3499999999999996,8.605
T00000020,2,1S+1G+0D,0.9801,0.99,1.85,8.6
T00000021,2,1S+1G+0D,0.9801,0.99,3.075,8.595
T00000022,2,1S+1G+0D,0.9801,0.99,1.77,8.57
T00000023,2,1S+1G+0D,0.9801,0.99,1.6749999999999998,8.56
T00000024,2,1S+1G+0D,0.9801,0.99,1.6,8.55
T00000025,2,1S+1G+0D,0.9801,0.99,4.025,8.55
T00000026,2,1S+1G+0D,0.9801,0.99,2.275,8.55
T00000027,2,1S+1G+0D,0.9801,0.99,3.05,8.505
T00000028,2,1S+1G+0D,0.9801,0.99,1.5499999999999998,8.485
T00000029,2,1S+1G+0D,0.9801,0.99,1.725,8.485
T00000030,2,1S+1G+0D,0.9801,0.99,1.825,8.485
T00000031,2,1S+1G+0D,0.9801,0.99,1.625,8.465
T00000032,2,1S+1G+0D,0.9801,0.99,1.625,8.465
T00000033,2,1S+1G+0D,0.9801,0.99,1.555,8.46
T00000034,2,1S+1G+0D,0.9801,0.99,2.95,8.44
T00000035,2,1S+1G+0D,0.9801,0.99,2.925,8.425
T00000036,2,2S+0G+0D,0.9801,0.99,1.565,8.38
T00000037,2,1S+1G+0D,0.9801,0.99,1.495,8.345
T00000038,2,1S+1G+0D,0.9801,0.99,4.05,8.345
T00000039,2,1S+1G+0D,0.9801,0.99,1.5,8.34
T00000040,2,1S+1G+0D,0.9801,0.99,2.575,8.325
T00000041,2,1S+1G+0D,0.9801,0.99,1.5,8.3
T00000042,2,1S+1G+0D,0.9801,0.99,2.48,8.290000000000001
T00000043,2,1S+1G+0D,0.9801,0.99,1.7,8.265
T00000044,2,1S+1G+0D,0.9801,0.99,1.525,8.255
T00000045,2,1S+1G+0D,0.9801,0.99,1.45,8.235
T00000046,2,1S+1G+0D,0.9801,0.99,1.45,8.235
T00000047,2,1S+1G+0D,0.9801,0.99,2.4,8.23
T00000048,2,1S+1G+0D,0.9801,0.99,1.5,8.22
T00000049,2,1S+1G+0D,0.9801,0.99,3.2249999999999996,8.17
T00000050,2,1S+1G+0D,0.9801,0.99,1.595,8.145
T00000051,2,1S+1G+0D,0.9801,0.99,2.575,8.095
T00000052,2,2S+0G+0D,0.9801,0.99,1.5,8.085
T00000053,2,1S+1G+0D,0.9801,0.99,1.555,8.07
T00000054,2,1S+1G+0D,0.9801,0.99,5.63,8.05
T00000055,2,2S+0G+0D,0.9801,0.99,3.175,8.015
T00000056,2,1S+1G+0D,0.9801,0.99,1.4249999999999998,8.01
T00000057,2,1S+1G+0D,0.9801,0.99,1.625,8.005
T00000058,2,1S+1G+0D,0.9801,0.99,2.825,8.005
T00000059,2,1S+1G+0D,0.9801,0.99,1.475,7.99
T00000060,2,1S+1G+0D,0.9801,0.99,1.4249999999999998,7.98
T00000061,2,1S+1G+0D,0.9801,0.99,3.5250000000000004,7.965
T00000062,2,1S+1G+0D,0.9801,0.99,1.455,7.955
T00000063,2,1S+1G+0D,0.9801,0.99,1.35,7.955
T00000064,2,2S+0G+0D,0.9801,0.99,1.575,7.945
T00000065,2,2S+0G+0D,0.9801,0.99,1.41,7.94
T00000066,2,1S+1G+0D,0.9801,0.99,3.87,7.94
T00000067,2,1S+1G+0D,0.9801,0.99,4.125,7.93
T00000068,2,1S+1G+0D,0.9801,0.99,2.7,7.9
T00000069,2,1S+1G+0D,0.9801,0.99,1.65,7.86
T00000070,2,1S+1G+0D,0.9801,0.99,2.425,7.86
T00000071,2,1S+1G+0D,0.9801,0.99,1.35,7.845000000000001
T00000072,2,1S+1G+0D,0.9801,0.99,2.075,7.825
T00000073,2,1S+1G+0D,0.9801,0.99,1.2999999999999998,7.825
T00000074,2,1S+1G+0D,0.9801,0.99,3.55,7.815
T00000075,2,1S+1G+0D,0.9801,0.99,1.85,7.815
T00000076,2,2S+0G+0D,0.9801,0.99,3.825,7.800000000000001
T00000077,2,1S+1G+0D,0.9801,0.99,3.8,7.800000000000001
T00000078,2,1S+1G+0D,0.9801,0.99,1.375,7.78
T00000079,2,1S+1G+0D,0.9801,0.99,1.225,7.755
T00000080,2,1S+1G+0D,0.9801,0.99,5.13,7.75
T00000081,2,1S+1G+0D,0.9801,0.99,1.45,7.745
T00000082,2,2S+0G+0D,0.9801,0.99,1.355,7.74
T00000083,2,2S+0G+0D,0.9801,0.99,4.665,7.715
T00000084,2,2S+0G+0D,0.9801,0.99,1.2999999999999998,7.705
T00000085,2,1S+1G+0D,0.9801,0.99,2.7249999999999996,7.6850000000000005
T00000086,2,1S+1G+0D,0.9801,0.99,5.05,7.68
T00000087,2,2S+0G+0D,0.9801,0.99,6.58,7.68
T00000088,2,1S+1G+0D,0.9801,0.99,3.4000000000000004,7.67
T00000089,2,1S+1G+0D,0.9801,0.99,1.65,7.665
T00000090,2,1S+1G+0D,0.9801,0.99,5.3950000000000005,7.655
T00000091,2,2S+0G+0D,0.9801,0.99,3.575,7.65
T00000092,2,1S+1G+0D,0.9801,0.99,3.625,7.6450000000000005
T00000093,2,1S+1G+0D,0.9801,0.99,2.9749999999999996,7.625
T00000094,2,1S+1G+0D,0.9801,0.99,2.15,7.625
T00000095,2,1S+1G+0D,0.9801,0.99,1.85,7.6000000000000005
T00000096,2,1S+1G+0D,0.9801,0.99,2.075,7.59
T00000097,2,1S+1G+0D,0.9801,0.99,3.3449999999999998,7.59
T00000098,2,1S+1G+0D,0.9801,0.99,5.26,7.585
T00000099,2,2S+0G+0D,0.9801,0.99,1.315,7.58
T00000100,2,1S+1G+0D,0.9801,0.99,1.25,7.575
T00000101,2,1S+1G+0D,0.9801,0.99,3.37,7.57
T00000102,2,1S+1G+0D,0.9801,0.99,5.3,7.565
T00000103,2,1S+1G+0D,0.9801,0.99,1.98,7.550000000000001
T00000104,2,1S+1G+0D,0.9801,0.99,1.6,7.550000000000001
T00000105,2,1S+1G+0D,0.9801,0.99,2.825,7.535
T00000106,2,1S+1G+0D,0.9801,0.99,3.3,7.53
T00000107,2,1S+1G+0D,0.9801,0.99,2.5999999999999996,7.525
T00000108,2,1S+1G+0D,0.9801,0.99,1.225,7.525
T00000109,2,1S+1G+0D,0.9801,0.99,1.95,7.5200000000000005
T00000110,2,1S+1G+0D,0.9801,0.99,6.1850000000000005,7.515000000000001
T00000111,2,1S+1G+0D,0.9801,0.99,3.05,7.51
T00000112,2,1S+1G+0D,0.9801,0.99,2.2,7.485
T00000113,2,2S+0G+0D,0.9801,0.99,4.39,7.48
T00000114,2,1S+1G+0D,0.9801,0.99,2.2,7.4750000000000005
T00000115,2,2S+0G+0D,0.9801,0.99,1.75,7.455
T00000116,2,2S+0G+0D,0.9801,0.99,3.0250000000000004,7.455
T00000117,2,1S+1G+0D,0.9801,0.99,5.6850000000000005,7.4350000000000005
