slate_date,group_name,group_type,ticket_no,ticket_uid,n_legs,is_flex_structure,sports_in_ticket,dominant_sport,legs_nba,legs_wnba,legs_cbb,legs_nhl,legs_soccer,legs_mlb,pick_standard_count,pick_goblin_count,pick_demon_count,n_hit,n_miss,n_void,n_ungraded,n_push,n_no_line,n_no_actual,n_no_data,n_dnp,has_any_unresolved,pending,result,canonical_leg_ids,leg_statuses,leg_reasons,label_cash,label_paid,actual_payout_mult,net_10,predicted_payout_mult,predicted_p_win,predicted_ev,ticket_objective_score,ev_power,est_ev,flat_ev,payout_multiplier,power_payout,flex_payout,est_win_prob,avg_hit_rate_leg,avg_ml_prob_leg,min_ml_prob_leg,max_ml_prob_leg,std_ml_prob_leg,avg_leg_prob_used,min_leg_prob_used,avg_edge_leg,min_edge_leg,max_edge_leg,avg_abs_edge_leg,avg_rank_score_leg,min_rank_score_leg,avg_context_score_leg,avg_intel_hit_rate_leg
2026-04-01,MLB Flex 3-Leg,FLEX,1,2026-04-01|MLB Flex 3-Leg|1|1,3,1,1,MLB,0,0,0,0,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_64a9e8da8ff5fe6cd757,leg_d1384595924a353c854a,leg_fbf0cfbc388c45e9cf24","MISS,MISS,HIT",,0.0,0,0.0,-10.0,3.0,,,,1.9788,,,1.0,6.0,3.0,0.3298019328,0.8000000000000002,,,,,0.7200000000000001,0.72,1.5666666666666669,0.9,2.3,,8.346666666666666,7.58,,
2026-04-01,MLB Goblin 3-Leg,OTHER,1,2026-04-01|MLB Goblin 3-Leg|1|1,3,0,1,MLB,0,0,0,0,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_64a9e8da8ff5fe6cd757,leg_d1384595924a353c854a,leg_fbf0cfbc388c45e9cf24","MISS,MISS,HIT",,0.0,0,0.0,-10.0,6.0,,,,1.9788,,,1.0,6.0,3.0,0.3298019328,0.8000000000000002,,,,,0.7200000000000001,0.72,1.5666666666666669,0.9,2.3,,8.346666666666666,7.58,,
2026-04-01,MLB Power Play 2-Leg,POWER,1,2026-04-01|MLB Power Play 2-Leg|1|1,2,0,1,MLB,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_64a9e8da8ff5fe6cd757,leg_d1384595924a353c854a","MISS,MISS",,0.0,0,0.0,-10.0,3.0,,,,1.4619,,,1.0,3.0,3.0,0.4872959999999999,0.8,,,,,0.72,0.72,1.9,1.5,2.3,,8.73,8.31,,
2026-04-02,MLB Flex 3-Leg,FLEX,1,2026-04-02|MLB Flex 3-Leg|1|1,3,1,1,MLB,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,VOID,"leg_36736872d190e0f2b4c5,leg_3b57865820e8356f119d,leg_52f74096904d45d2eea3","VOID,VOID,VOID",POSTPONED · MAKEUP 2026-04-03 · INCLEMENT WEATHER | POSTPONED · MAKEUP 2026-04-03 · INCLEMENT WEATHER | POSTPONED · MAKEUP 2026-04-03 · INCLEMENT WEATHER,,0,0.0,0.0,,,,,1.9788,,,1.0,6.0,3.0,0.3298019328,0.8000000000000002,,,,,0.7200000000000001,0.72,1.5666666666666669,0.9,2.3,,8.346666666666666,7.58,,
2026-04-02,MLB Goblin 3-Leg,OTHER,1,2026-04-02|MLB Goblin 3-Leg|1|1,3,0,1,MLB,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,VOID,"leg_36736872d190e0f2b4c5,leg_3b57865820e8356f119d,leg_52f74096904d45d2eea3","VOID,VOID,VOID",POSTPONED · MAKEUP 2026-04-03 · INCLEMENT WEATHER | POSTPONED · MAKEUP 2026-04-03 · INCLEMENT WEATHER | POSTPONED · MAKEUP 2026-04-03 · INCLEMENT WEATHER,,0,0.0,0.0,,,,,1.9788,,,1.0,6.0,3.0,0.3298019328,0.8000000000000002,,,,,0.7200000000000001,0.72,1.5666666666666669,0.9,2.3,,8.346666666666666,7.58,,
2026-04-02,MLB Power Play 2-Leg,POWER,1,2026-04-02|MLB Power Play 2-Leg|1|1,2,0,1,MLB,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,VOID,"leg_36736872d190e0f2b4c5,leg_3b57865820e8356f119d","VOID,VOID",POSTPONED · MAKEUP 2026-04-03 · INCLEMENT WEATHER | POSTPONED · MAKEUP 2026-04-03 · INCLEMENT WEATHER,,0,0.0,0.0,,,,,1.4619,,,1.0,3.0,3.0,0.4872959999999999,0.8,,,,,0.72,0.72,1.9,1.5,2.3,,8.73,8.31,,
2026-04-03,MLB Flex 3-Leg,FLEX,1,2026-04-03|MLB Flex 3-Leg|1|1,3,1,1,MLB,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,SWEEP,"leg_c065a26ec5827e66bd3f,leg_0d372e3c71b5d3817d15,leg_5a83cc8f10c74a229486","HIT,HIT,HIT",,1.0,1,6.0,50.0,6.0,,,,1.9788,,,1.0,6.0,3.0,0.3298019328,0.8000000000000002,,,,,0.7200000000000001,0.72,1.5666666666666669,0.9,2.3,,8.346666666666666,7.58,,
2026-04-03,MLB Goblin 3-Leg,OTHER,1,2026-04-03|MLB Goblin 3-Leg|1|1,3,0,1,MLB,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,WIN,"leg_c065a26ec5827e66bd3f,leg_0d372e3c71b5d3817d15,leg_5a83cc8f10c74a229486","HIT,HIT,HIT",,1.0,1,6.0,50.0,6.0,,,,1.9788,,,1.0,6.0,3.0,0.3298019328,0.8000000000000002,,,,,0.7200000000000001,0.72,1.5666666666666669,0.9,2.3,,8.346666666666666,7.58,,
2026-04-03,MLB Power Play 2-Leg,POWER,1,2026-04-03|MLB Power Play 2-Leg|1|1,2,0,1,MLB,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_c065a26ec5827e66bd3f,leg_0d372e3c71b5d3817d15","HIT,HIT",,1.0,1,3.0,20.0,3.0,,,,1.4619,,,1.0,3.0,3.0,0.4872959999999999,0.8,,,,,0.72,0.72,1.9,1.5,2.3,,8.73,8.31,,
2026-04-04,MLB Flex 3-Leg,FLEX,1,2026-04-04|MLB Flex 3-Leg|1|1,3,1,1,MLB,0,0,0,0,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_b0fb6fce73a8545235e8,leg_2fe40173577bd27248e5,leg_5a86a41ce561289c1058","HIT,MISS,MISS",,0.0,0,0.0,-10.0,1.65,,,0.7602,1.1578,,,0.55,3.3,1.65,0.3508531199999999,0.8666666666666667,,,,,0.7200000000000001,0.72,2.5166666666666666,1.5,3.75,,8.316666666666668,7.49,,
