slate_date,group_name,group_type,ticket_no,ticket_uid,n_legs,is_flex_structure,sports_in_ticket,dominant_sport,legs_nba,legs_wnba,legs_cbb,legs_nhl,legs_soccer,legs_mlb,pick_standard_count,pick_goblin_count,pick_demon_count,n_hit,n_miss,n_void,n_ungraded,n_push,n_no_line,n_no_actual,n_no_data,n_dnp,has_any_unresolved,pending,result,canonical_leg_ids,leg_statuses,leg_reasons,label_cash,label_paid,actual_payout_mult,net_10,predicted_payout_mult,predicted_p_win,predicted_ev,ticket_objective_score,ev_power,est_ev,flat_ev,payout_multiplier,power_payout,flex_payout,est_win_prob,avg_hit_rate_leg,avg_ml_prob_leg,min_ml_prob_leg,max_ml_prob_leg,std_ml_prob_leg,avg_leg_prob_used,min_leg_prob_used,avg_edge_leg,min_edge_leg,max_edge_leg,avg_abs_edge_leg,avg_rank_score_leg,min_rank_score_leg,avg_context_score_leg,avg_intel_hit_rate_leg
2026-05-01,WNBA Standard 2-Leg #1,OTHER,1,2026-05-01|WNBA Standard 2-Leg #1|1|1,2,0,1,WNBA,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_1500e45aebcb7a74ee8d,leg_d4fe56478c50cd8f94a4","MISS,HIT",,0.0,0,0.0,-10.0,3.0,0.4356,0.3068,0.2876,0.8629,,,1.0,3.0,3.0,0.2876399999999999,0.66,,,,,0.6,0.6,10.5,10.5,10.5,,0.91,0.91,,
2026-05-01,WNBA Standard 3-Leg #1,OTHER,1,2026-05-01|WNBA Standard 3-Leg #1|1|1,3,0,1,WNBA,0,3,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_1500e45aebcb7a74ee8d,leg_d4fe56478c50cd8f94a4,leg_d7c501d4a2799f1dc1ae","MISS,HIT,MISS",,0.0,0,0.0,-10.0,6.0,0.2875,0.725,0.1622,0.9734,,,1.0,6.0,3.0,0.1622289599999999,0.66,,,,,0.6,0.6,10.166666666666666,9.5,10.5,,1.34,0.91,,
2026-05-02,WNBA Standard 2-Leg #1,OTHER,1,2026-05-02|WNBA Standard 2-Leg #1|1|1,2,0,1,WNBA,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_a0a78b24243bb2194770,leg_9ca3abc0b12c2de16aed","HIT,MISS",,0.0,0,0.0,-10.0,3.0,0.4356,0.3068,0.2876,0.8629,,,1.0,3.0,3.0,0.2876399999999999,0.66,,,,,0.6,0.6,13.0,12.5,13.5,,2.71,2.71,,
2026-05-03,WNBA Goblin 5-Leg #1,OTHER,1,2026-05-03|WNBA Goblin 5-Leg #1|1|1,5,0,1,WNBA,0,5,0,0,0,0,0,5,0,3,1,1,0,0,0,0,0,0,0,0,LOSS,"leg_cf79bf35fdf6e5382649,leg_3a9b708ae2fc6b94336e,leg_06320991132b75b1c147,leg_022cfaddbfa5506feec4,leg_110d4238c63be2bf24a8","HIT,HIT,MISS,HIT,VOID",FORCED_OVER_NEG_EDGE; NO_ACTUAL,0.0,0,0.0,-10.0,4.5,0.0459,-0.7934,0.0584,0.3142,,,0.269,5.38,2.69,0.0584024255999999,0.54,,,,,0.6,0.6,-10.3,-11.5,-9.5,,0.02,0.0,,
2026-05-03,WNBA Goblin 5-Leg #2,OTHER,1,2026-05-03|WNBA Goblin 5-Leg #2|1|1,5,0,1,WNBA,0,5,0,0,0,0,0,5,0,1,2,2,0,0,0,0,0,0,0,0,LOSS,"leg_dee7f4ba96ccbda806e4,leg_c3c30c424343da2a1da3,leg_1e56862a64ba1e48005e,leg_812be6ccb23000aee6c4,leg_04857827944949a495b8","HIT,VOID,MISS,MISS,VOID",FORCED_OVER_NEG_EDGE; NO_ACTUAL | FORCED_OVER_NEG_EDGE; NO_ACTUAL,0.0,0,0.0,-10.0,4.5,0.0459,-0.7934,0.0549,0.4392,,,0.4,8.0,4.0,0.0548982800639999,0.54,,,,,0.6,0.6,-13.9,-14.5,-11.5,,0.03,0.0,,
2026-05-03,WNBA Goblin 6-Leg #1,OTHER,1,2026-05-03|WNBA Goblin 6-Leg #1|1|1,6,0,1,WNBA,0,6,0,0,0,0,0,6,0,3,1,2,0,0,0,0,0,0,0,0,LOSS,"leg_cf79bf35fdf6e5382649,leg_3a9b708ae2fc6b94336e,leg_06320991132b75b1c147,leg_022cfaddbfa5506feec4,leg_110d4238c63be2bf24a8,leg_c3c30c424343da2a1da3","HIT,HIT,MISS,HIT,VOID,VOID",FORCED_OVER_NEG_EDGE; NO_ACTUAL | FORCED_OVER_NEG_EDGE; NO_ACTUAL,0.0,0,0.0,-10.0,8.4,0.0248,-0.7917,0.0329,0.1416,,,0.1075,4.3,2.69,0.0329389680383999,0.54,,,,,0.6,0.6,-11.0,-14.5,-9.5,,0.025,0.0,,
2026-05-03,WNBA Goblin 6-Leg #2,OTHER,1,2026-05-03|WNBA Goblin 6-Leg #2|1|1,6,0,1,WNBA,0,6,0,0,0,0,0,6,0,2,3,1,0,0,0,0,0,0,0,0,LOSS,"leg_dee7f4ba96ccbda806e4,leg_1e56862a64ba1e48005e,leg_812be6ccb23000aee6c4,leg_04857827944949a495b8,leg_1bcc27f70d21ee28c76a,leg_7b1a1d0160c9ac6c6d24","HIT,MISS,MISS,VOID,HIT,MISS",FORCED_OVER_NEG_EDGE; NO_ACTUAL,0.0,0,0.0,-10.0,8.4,0.0248,-0.7917,0.0329,0.527,,,0.4,16.0,10.0,0.0329389680383999,0.54,,,,,0.6,0.6,-14.0,-14.5,-11.5,,0.025,0.0,,
2026-05-03,WNBA Standard 2-Leg #4,OTHER,1,2026-05-03|WNBA Standard 2-Leg #4|1|1,2,0,1,WNBA,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_2ea55e4f2ffdfb6d419c,leg_fb1a502b1f5f207f7b9b","MISS,MISS",,0.0,0,0.0,-10.0,3.0,0.4356,0.3068,0.36,1.08,,,1.0,3.0,3.0,0.36,0.66,,,,,0.6,0.6,13.5,12.5,14.5,,2.12,1.92,,
2026-05-03,WNBA Standard 2-Leg #5,OTHER,1,2026-05-03|WNBA Standard 2-Leg #5|1|1,2,0,1,WNBA,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_b624df83ec6b377d1273,leg_8d9b434766f46a75cdad","HIT,MISS",,0.0,0,0.0,-10.0,3.0,0.4356,0.3068,0.36,1.08,,,1.0,3.0,3.0,0.36,0.66,,,,,0.6,0.6,12.0,11.5,12.5,,2.605,1.92,,
2026-05-03,WNBA Standard 2-Leg #6,OTHER,1,2026-05-03|WNBA Standard 2-Leg #6|1|1,2,0,1,WNBA,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_ccd1e38073bc278ccd26,leg_359a1c8512f912ab4eca","MISS,MISS",,0.0,0,0.0,-10.0,3.0,0.4356,0.3068,0.36,1.08,,,1.0,3.0,3.0,0.36,0.66,,,,,0.6,0.6,10.0,9.5,10.5,,2.015,1.01,,
2026-05-03,WNBA Standard 2-Leg #7,OTHER,1,2026-05-03|WNBA Standard 2-Leg #7|1|1,2,0,1,WNBA,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,"leg_8696f180b48746c888d7,leg_34a1ba58fac0e6a077b2","HIT,HIT",,1.0,1,3.0,20.0,3.0,0.4356,0.3068,0.36,1.08,,,1.0,3.0,3.0,0.36,0.66,,,,,0.6,0.6,9.0,8.5,9.5,,1.92,1.92,,
2026-05-03,WNBA Standard 2-Leg #9,OTHER,1,2026-05-03|WNBA Standard 2-Leg #9|1|1,2,0,1,WNBA,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_23c82345750c72e9f8b1,leg_12fba257b75c031a3eb6","MISS,MISS",,0.0,0,0.0,-10.0,3.0,0.4356,0.3068,0.36,1.08,,,1.0,3.0,3.0,0.36,0.66,,,,,0.6,0.6,4.5,3.5,5.5,,2.285,2.1100000000000003,,
2026-05-03,WNBA Standard 3-Leg #3,OTHER,1,2026-05-03|WNBA Standard 3-Leg #3|1|1,3,0,1,WNBA,0,3,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,LOSS,"leg_2ea55e4f2ffdfb6d419c,leg_fb1a502b1f5f207f7b9b,leg_b624df83ec6b377d1273","MISS,MISS,HIT",,0.0,0,0.0,-10.0,6.0,0.2875,0.725,0.216,1.296,,,1.0,6.0,3.0,0.216,0.66,,,,,0.6,0.6,13.166666666666666,12.5,14.5,,2.053333333333333,1.92,,
2026-05-03,WNBA Standard 3-Leg #4,OTHER,1,2026-05-03|WNBA Standard 3-Leg #4|1|1,3,0,1,WNBA,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_8d9b434766f46a75cdad,leg_ccd1e38073bc278ccd26,leg_359a1c8512f912ab4eca","MISS,MISS,MISS",,0.0,0,0.0,-10.0,6.0,0.2875,0.725,0.216,1.296,,,1.0,6.0,3.0,0.216,0.66,,,,,0.6,0.6,10.5,9.5,11.5,,2.44,1.01,,
2026-05-03,WNBA Standard 3-Leg #5,OTHER,1,2026-05-03|WNBA Standard 3-Leg #5|1|1,3,0,1,WNBA,0,3,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_8696f180b48746c888d7,leg_34a1ba58fac0e6a077b2,leg_6ec3a92133635214d07a","HIT,HIT,MISS",,0.0,0,0.0,-10.0,6.0,0.2875,0.725,0.203,1.2182,,,1.0,6.0,3.0,0.20304,0.66,,,,,0.6,0.6,8.5,7.5,9.5,,2.4766666666666666,1.92,,
2026-05-03,WNBA Standard 4-Leg #3,OTHER,1,2026-05-03|WNBA Standard 4-Leg #3|1|1,4,0,1,WNBA,0,4,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_b624df83ec6b377d1273,leg_8d9b434766f46a75cdad,leg_ccd1e38073bc278ccd26,leg_359a1c8512f912ab4eca","HIT,MISS,MISS,MISS",,0.0,0,0.0,-10.0,10.0,0.1897,0.8975,0.1296,1.296,,,1.0,10.0,6.0,0.1296,0.66,,,,,0.6,0.6,11.0,9.5,12.5,,2.31,1.01,,
2026-05-03,WNBA Standard 5-Leg #2,OTHER,1,2026-05-03|WNBA Standard 5-Leg #2|1|1,5,0,1,WNBA,0,5,0,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_0cd6cec663e3aac02bbf,leg_2ea55e4f2ffdfb6d419c,leg_fb1a502b1f5f207f7b9b,leg_b624df83ec6b377d1273,leg_8d9b434766f46a75cdad","HIT,MISS,MISS,HIT,MISS",,0.0,0,0.0,-10.0,20.0,0.1252,1.5047,0.0731,1.4619,,,1.0,20.0,10.0,0.0730943999999999,0.66,,,,,0.6,0.6,13.3,11.5,15.5,,2.494,1.92,,
2026-05-03,WNBA Standard 6-Leg #2,OTHER,1,2026-05-03|WNBA Standard 6-Leg #2|1|1,6,0,1,WNBA,0,6,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_0cd6cec663e3aac02bbf,leg_2ea55e4f2ffdfb6d419c,leg_b624df83ec6b377d1273,leg_8d9b434766f46a75cdad,leg_359a1c8512f912ab4eca,leg_8696f180b48746c888d7","HIT,MISS,HIT,MISS,MISS,HIT",,0.0,0,0.0,-10.0,40.0,0.0827,2.3062,0.0329,1.3176,,,1.0,40.0,25.0,0.0329389680383999,0.66,,,,,0.6,0.6,12.166666666666666,9.5,15.5,,2.515,1.92,,
2026-05-10,WNBA Goblin 5-Leg #1,OTHER,1,2026-05-10|WNBA Goblin 5-Leg #1|1|1,5,0,1,WNBA,0,5,0,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_59107ddca3a68aa184c0,leg_b5355f0c6ba5cb3eadc1,leg_70f4092f775459a6e24c,leg_0644403e20ca5fc5bb3f,leg_31040eddb018338f6426","HIT,HIT,HIT,HIT,MISS",,0.0,0,0.0,-10.0,4.5,0.0459,-0.7934,0.0731,0.4824,,,0.33,6.6,3.3,0.0730943999999999,0.54,,,,,0.6,0.6,-11.5,-11.5,-11.5,11.5,-0.0045498,-0.022749,,
2026-05-10,WNBA Goblin 5-Leg #2,OTHER,1,2026-05-10|WNBA Goblin 5-Leg #2|1|1,5,0,1,WNBA,0,5,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_47642a0566ecbd02a41d,leg_e9b99f469fbc9e74591a,leg_3fc0cd6dcf8d319bfdbb,leg_e6c17684d76c09f6ac4d,leg_f8b73ef974d41f80a701","HIT,MISS,HIT,MISS,MISS",,0.0,0,0.0,-10.0,4.5,0.0459,-0.7934,0.0621,0.2585,,,0.208,4.16,2.08,0.0621302399999999,0.54,,,,,0.6,0.6,-14.5,-14.5,-14.5,14.5,0.0,0.0,,
2026-05-10,WNBA Goblin 6-Leg #1,OTHER,1,2026-05-10|WNBA Goblin 6-Leg #1|1|1,6,0,1,WNBA,0,6,0,0,0,0,0,6,0,5,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_59107ddca3a68aa184c0,leg_b5355f0c6ba5cb3eadc1,leg_70f4092f775459a6e24c,leg_0644403e20ca5fc5bb3f,leg_31040eddb018338f6426,leg_ada0f053e30f0b02ee1c","HIT,HIT,HIT,HIT,MISS,HIT",,0.0,0,0.0,-10.0,8.4,0.0248,-0.7917,0.0412,0.4465,,,0.2707,10.83,6.77,0.0412252416,0.54,,,,,0.6,0.6,-11.5,-11.5,-11.5,11.5,-0.0037914999999999,-0.022749,,
2026-05-10,WNBA Goblin 6-Leg #2,OTHER,1,2026-05-10|WNBA Goblin 6-Leg #2|1|1,6,0,1,WNBA,0,6,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,0,0,0,LOSS,"leg_e9b99f469fbc9e74591a,leg_3fc0cd6dcf8d319bfdbb,leg_e6c17684d76c09f6ac4d,leg_f8b73ef974d41f80a701,leg_a5fdb799b486202de5e8,leg_963bce9c449f71e60d70","MISS,HIT,MISS,MISS,HIT,HIT",,0.0,0,0.0,-10.0,8.4,0.0248,-0.7917,0.035,0.5197,,,0.3708,14.83,9.27,0.0350414553599999,0.54,,,,,0.6,0.6,-14.833333333333334,-16.5,-14.5,14.833333333333334,0.0,0.0,,
2026-05-10,WNBA Goblin 6-Leg #3,OTHER,1,2026-05-10|WNBA Goblin 6-Leg #3|1|1,6,0,1,WNBA,0,6,0,0,0,0,0,6,0,5,1,0,0,0,0,0,0,0,0,0,LOSS,"leg_808bda9d70bcd7348ec3,leg_c1d04813dcb28e0e448b,leg_265da141cd48af862ae1,leg_a189ea746b2ca18dd4b7,leg_57840f15141c476b1993,leg_5a53decc1eacaae38007","HIT,HIT,HIT,MISS,HIT,HIT",,0.0,0,0.0,-10.0,8.4,0.0248,-0.7917,0.0329,0.1067,,,0.081,3.24,2.03,0.0329389680383999,0.54,,,,,0.6,0.6,-19.5,-19.5,-19.5,19.5,0.0,0.0,,
