espn_player_id,player_name,team_abbr,position,jersey,status
5084939,Isaiah Adams,ARI,G,74,Active
4373626,Tyler Allgeier,ARI,RB,22,Active
4430841,Carson Beck,ARI,QB,19,Active
4429275,Trey Benson,ARI,RB,33,Active
4870596,Chase Bisontis,ARI,G,57,Active
3045523,Kendrick Bourne,ARI,WR,17,Active
2578570,Jacoby Brissett,ARI,QB,7,Active
4692835,Jalen Brooks,ARI,WR,86,Active
4431214,Hayden Conner,ARI,G,58,Active
3045147,James Conner,ARI,RB,6,Active
4875802,Ka'ena De Cambra,ARI,G,62,Active
4039050,Devin Duvernay,ARI,WR,81,Active
4605858,Rivaldo Fairweather,ARI,TE,45,Active
4360739,Simi Fehoko,ARI,WR,80,Active
3886633,Hjalte Froholdt,ARI,C,72,Active
4429782,Josh Fryar,ARI,OT,78,Active
4367199,Jon Gaines II,ARI,G,71,Active
4588298,Jameson Geers,ARI,TE,46,Active
4432705,Bryson Green,ARI,WR,39,Active
4432708,Marvin Harrison Jr.,ARI,WR,18,Active
4426844,Elijah Higgins,ARI,TE,84,Active
4250935,Demontrey Jacobs,ARI,OT,67,Active
4428991,Paris Johnson Jr.,ARI,OT,70,Active
4362103,Christian Jones,ARI,OT,75,Active
4431431,Corey Kiner,ARI,RB,37,Active
4427728,Bam Knight,ARI,RB,20,Active
4870808,Jeremiyah Love,ARI,RB,4,Active
4361307,Trey McBride,ARI,TE,85,Active
4038524,Gardner Minshew II,ARI,QB,15,Active
4875912,Tejhaun Palmer,ARI,WR,83,Active
3055886,Matt Pryor,ARI,OT,76,Active
4374045,Teagan Quitoriano,ARI,TE,47,Active
4696700,Tip Reiman,ARI,TE,87,Active
4428458,Valentin Senn,ARI,OT,69,Active
2978247,Isaac Seumalo,ARI,G,73,Active
4428512,Kedon Slovis,ARI,QB,19,Active
4240573,Ihmir Smith-Marsette,ARI,WR,9,Active
3120502,Olisaemeka Udoh,ARI,OT,68,Active
4869132,Reggie Virgil,ARI,WR,82,Active
4699354,Harrison Wallace III,ARI,WR,30,Active
4428811,Xavier Weaver,ARI,WR,89,Active
3059839,Elijah Wilkinson,ARI,OT,65,Active
4709718,Jayden Williams,ARI,OT,66,Active
4360761,Michael Wilson,ARI,WR,14,Active
3127287,Budda Baker,ARI,S,3,Active
3051775,Andrew Billings,ARI,DT,95,Active
4240824,Joey Blount,ARI,S,32,Active
4240826,Elliott Brown,ARI,LB,41,Active
4241987,Baron Browning,ARI,LB,5,Active
4428996,Jordan Burch,ARI,LB,52,Active
4432668,Denzel Burke,ARI,CB,29,Active
