sport,pipeline,pick_type,tier,direction,prop,n_total,base_hit_rate,recommended_min_ml_prob,recommended_n,recommended_hit_rate,lift_vs_base,avg_calibration_gap,policy_status,gate_tier_target,gate_action,gate_tier_proposed,gate_profile,gate_notes,demon_floor_action
NBA1Q,NBA1Q,DEMON,D,OVER,Assists,547,0.6270566727605119,,547,0.6270566727605119,0.0,0.21308675373293487,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
NBA1Q,NBA1Q,GOBLIN,D,OVER,Rebounds,123,0.6829268292682927,0.9185,38,0.8947368421052632,0.21181001283697043,0.06859022943981254,OK,D,HOLD,D,GOBLIN,at_target,
NBA1Q,NBA1Q,DEMON,D,OVER,Points,1145,0.4882096069868996,,1145,0.4882096069868996,0.0,0.3364980779094149,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
NBA1Q,NBA1Q,DEMON,D,OVER,Rebounds,778,0.47429305912596403,,778,0.47429305912596403,0.0,0.33019691961688685,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
CBB,CBB,STANDARD,C,OVER,pra,177,0.4745762711864407,0.9072520984279537,53,0.6792452830188679,0.2046690118324272,0.32006038511808504,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
NBA,NBA,STANDARD,A,OVER,Fantasy Score,147,0.6190476190476191,0.9089011206758022,44,0.7954545454545454,0.17640692640692635,0.19865193004207177,OK,D,DEMOTE_1,B,STANDARD_OVER,below_current_tier_gates,
NBA1Q,NBA1Q,DEMON,C,OVER,Points,127,0.6141732283464567,,127,0.6141732283464567,0.0,0.3364980779094149,HOLDOUT_RECALIBRATE,C,DEMON_KEEP,C,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
CBB,CBB,GOBLIN,C,OVER,tov,134,0.5522388059701493,0.9089772381552658,40,0.725,0.17276119402985068,0.2260752665210962,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
CBB,CBB,STANDARD,C,UNDER,pr,258,0.5581395348837209,0.5763277879944465,78,0.717948717948718,0.15980918306499703,0.04025565798623752,OK,D,DEMOTE_1,D,STANDARD_UNDER,below_current_tier_gates,
NBA1Q,NBA1Q,STANDARD,A,OVER,Points,160,0.8,0.9092456914474288,48,0.9583333333333334,0.15833333333333333,0.1979366976983809,OK,D,DEMOTE_1,B,STANDARD_OVER,below_current_tier_gates,
CBB,CBB,STANDARD,B,UNDER,pr,121,0.5206611570247934,0.6097779789095855,37,0.6756756756756757,0.15501451865088223,0.04025565798623752,OK,D,DEMOTE_1,C,STANDARD_UNDER,below_current_tier_gates,
CBB,CBB,GOBLIN,A,OVER,pts,374,0.6577540106951871,0.9120603218907424,112,0.8035714285714286,0.14581741787624147,0.20839478602179606,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
CBB,CBB,STANDARD,C,UNDER,pra,231,0.5627705627705628,0.5980298731096644,70,0.7,0.13722943722943715,0.04358699075829704,OK,D,DEMOTE_1,D,STANDARD_UNDER,below_current_tier_gates,
NHL,NHL,DEMON,D,OVER,Plus/Minus,277,0.2815884476534296,0.1964580356630585,83,0.40963855421686746,0.12805010656343785,0.166621247647384,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,DEMON,D,OVER,Fantasy Score,311,0.42765273311897106,,311,0.42765273311897106,0.0,0.3343053329608838,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
Soccer,Soccer,DEMON,A,OVER,Shots On Target,202,0.6584158415841584,,202,0.6584158415841584,0.0,0.41515740696229936,HOLDOUT_RECALIBRATE,A,DEMON_KEEP,A,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
MLB,MLB,DEMON,A,OVER,Total Bases,606,0.25412541254125415,0.252,189,0.37566137566137564,0.12153596312012149,0.1981492198060602,OK,A,DEMON_KEEP,A,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA1Q,NBA1Q,STANDARD,D,OVER,Points,200,0.5,0.9032,62,0.6129032258064516,0.11290322580645162,0.1979366976983809,OK,D,HOLD,D,STANDARD_OVER,at_target,
Soccer,Soccer,GOBLIN,A,OVER,Shots,201,0.5124378109452736,0.9125239910519864,61,0.6229508196721312,0.11051300872685754,0.2052322357624921,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NBA,NBA,STANDARD,C,OVER,Points,152,0.5526315789473685,0.9063,62,0.6612903225806451,0.10865874363327666,0.2729943904706523,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
CBB,CBB,GOBLIN,C,OVER,reb,477,0.6058700209643606,0.9092370361461056,143,0.7062937062937062,0.10042368532934565,0.18918847285141285,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
CBB,CBB,STANDARD,C,OVER,pr,170,0.48823529411764705,0.9076508392878179,51,0.5882352941176471,0.10000000000000003,0.31710768609766593,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
NBA,NBA,GOBLIN,A,OVER,Pts+Rebs+Asts,415,0.6795180722891566,0.9128322349937175,125,0.776,0.09648192771084341,0.1758573188594561,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
CBB,CBB,GOBLIN,B,OVER,pra,122,0.639344262295082,0.9082950644607379,49,0.7346938775510204,0.09534961525593844,0.2566979700361787,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,D,OVER,Two Pointers Made,205,0.6048780487804878,0.9054585638520848,63,0.6984126984126984,0.09353464963221059,0.14325378198699099,OK,D,HOLD,D,GOBLIN,at_target,
CBB,CBB,GOBLIN,C,OVER,pra,247,0.5708502024291497,0.9083842085618217,74,0.6621621621621622,0.09131195973301243,0.2566979700361787,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,B,OVER,Rebs+Asts,339,0.6666666666666666,0.912,107,0.7570093457943925,0.09034267912772587,0.1627986810765792,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
CBB,CBB,STANDARD,C,UNDER,pa,223,0.5381165919282511,0.5769676979603707,67,0.6268656716417911,0.08874907971353996,0.06077470570336587,OK,D,DEMOTE_1,D,STANDARD_UNDER,below_current_tier_gates,
NBA1Q,NBA1Q,STANDARD,B,OVER,Points,127,0.7007874015748031,0.91124,38,0.7894736842105263,0.0886862826357232,0.1979366976983809,OK,D,DEMOTE_1,C,STANDARD_OVER,below_current_tier_gates,
MLB,MLB,GOBLIN,D,OVER,Hits Allowed,122,0.639344262295082,0.53,51,0.7254901960784313,0.08614593378334934,0.2956783253073655,OK,D,HOLD,D,GOBLIN,at_target,
Soccer,Soccer,GOBLIN,D,OVER,Shots,228,0.2675438596491228,0.0869629700743675,82,0.35365853658536583,0.08611467693624303,0.2052322357624921,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,GOBLIN,A,OVER,Pts+Rebs,494,0.7105263157894737,0.9131850648476482,148,0.7905405405405406,0.0800142247510669,0.1664413272122509,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,A,OVER,Steals,492,0.7052845528455285,0.9180121218900144,148,0.7837837837837838,0.07849923093825528,0.16144033747504558,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NHL,NHL,DEMON,C,OVER,Assists,182,0.23076923076923078,0.6194,88,0.3068181818181818,0.07604895104895104,0.1537160060489461,OK,C,DEMON_KEEP,C,DEMON_KEEP,demon_floor_thin_sample,HOLD
CBB,CBB,GOBLIN,C,OVER,pts,442,0.5972850678733032,0.9078531007727723,177,0.672316384180791,0.07503131630748783,0.20839478602179606,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
CBB,CBB,STANDARD,C,UNDER,pts,272,0.5036764705882353,0.5520865687793868,109,0.5779816513761468,0.07430518078791148,0.04101457628367779,OK,D,DEMOTE_1,D,STANDARD_UNDER,below_current_tier_gates,
NBA,NBA,GOBLIN,B,OVER,Pts+Rebs+Asts,472,0.652542372881356,0.9111250347933293,142,0.7253521126760564,0.0728097397947004,0.1758573188594561,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,STANDARD,D,OVER,Fantasy Score,625,0.5936,0.9003954156977259,188,0.6648936170212766,0.07129361702127657,0.19865193004207177,OK,D,HOLD,D,STANDARD_OVER,at_target,
CBB,CBB,STANDARD,C,OVER,pts,252,0.46825396825396826,0.9076551726672887,76,0.5394736842105263,0.07121971595655807,0.33775747154373137,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
NBA,NBA,STANDARD,D,UNDER,Fantasy Score,232,0.5431034482758621,0.40768,70,0.6142857142857143,0.07118226600985222,0.2365681420922378,OK,D,HOLD,D,STANDARD_UNDER,at_target,
CBB,CBB,STANDARD,C,UNDER,ra,208,0.5961538461538461,0.5737793209263127,63,0.6666666666666666,0.07051282051282048,0.06080205459021606,OK,D,DEMOTE_1,D,STANDARD_UNDER,below_current_tier_gates,
CBB,CBB,STANDARD,C,UNDER,reb,214,0.5934579439252337,0.5645456688816577,107,0.6635514018691588,0.07009345794392519,0.05924986860766448,OK,D,DEMOTE_1,D,STANDARD_UNDER,below_current_tier_gates,
NBA,NBA,GOBLIN,D,OVER,FG Made,157,0.6560509554140127,0.9070124712467329,47,0.723404255319149,0.06735329990513628,0.19492158457291964,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,GOBLIN,D,OVER,Personal Fouls,250,0.52,0.7428571925362257,75,0.5866666666666667,0.06666666666666665,0.1803200258271004,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,GOBLIN,D,OVER,Free Throws Attempted,135,0.5925925925925926,0.745667210265578,41,0.6585365853658537,0.06594399277326113,0.1565831671858224,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,STANDARD,D,UNDER,Rebounds (Combo),234,0.5555555555555556,0.55,79,0.620253164556962,0.06469760900140642,0.0953767989087284,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,GOBLIN,A,OVER,Fantasy Score,290,0.8206896551724138,0.9141859837714126,87,0.8850574712643678,0.06436781609195408,0.11697980454343875,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NBA1Q,NBA1Q,GOBLIN,B,OVER,Points,534,0.8239700374531835,0.91231,160,0.8875,0.06352996254681642,0.07925537540818771,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
MLB,MLB,DEMON,C,OVER,Total Bases,164,0.23780487804878048,0.9047,50,0.3,0.06219512195121951,0.1981492198060602,OK,C,DEMON_KEEP,C,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA1Q,NBA1Q,STANDARD,C,OVER,Points,181,0.7016574585635359,0.9083,55,0.7636363636363637,0.06197890507282777,0.1979366976983809,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
NBA,NBA,STANDARD,D,UNDER,Assists,291,0.5154639175257731,0.4849,168,0.5773809523809523,0.06191703485517919,0.05091735812731089,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,GOBLIN,A,OVER,Pts+Asts,348,0.7097701149425287,0.9126978421980955,105,0.7714285714285715,0.061658456486042734,0.14973533935536873,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,A,OVER,Rebounds,551,0.7186932849364791,0.9122,167,0.7784431137724551,0.059749828835976015,0.14773393708015664,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
CBB,CBB,STANDARD,D,OVER,reb,135,0.35555555555555557,0.5883075732936709,41,0.4146341463414634,0.059078590785907825,0.2822063280662787,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA1H,NBA1H,STANDARD,D,OVER,Pts+Rebs+Asts,343,0.6588921282798834,0.9032,241,0.7178423236514523,0.05895019537156887,0.24693893853447876,OK,C,PROMOTE_1,C,STANDARD_OVER,meets_higher_tier_gates,
NBA,NBA,GOBLIN,B,OVER,Pts+Rebs,480,0.6291666666666667,0.9080578133070855,240,0.6875,0.05833333333333335,0.1664413272122509,OK,C,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,DEMON,D,OVER,Two Pointers Made,138,0.5144927536231884,0.8685594665841667,42,0.5714285714285714,0.05693581780538304,0.24914859253632918,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA1H,NBA1H,STANDARD,D,OVER,Points,328,0.5640243902439024,0.909046533434608,197,0.6192893401015228,0.05526494985762043,0.3516730392679648,OK,D,HOLD,D,STANDARD_OVER,at_target,
CBB,CBB,GOBLIN,C,OVER,ast,366,0.644808743169399,0.9104707918803825,110,0.7,0.055191256830601,0.1913162964497835,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
MLB,MLB,DEMON,D,OVER,Total Bases,18269,0.20400678745415732,0.1109,7568,0.2591173361522199,0.05511054869806256,0.1981492198060602,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_confident,APPLY_FLOOR
NBA,NBA,STANDARD,D,OVER,Pts+Asts,950,0.4968421052631579,0.9034271265578341,285,0.5508771929824562,0.05403508771929827,0.27498246621227956,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,STANDARD,D,UNDER,FG Attempted,258,0.562015503875969,0.4819,135,0.6148148148148148,0.05279931093884582,0.09847157676157825,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,GOBLIN,D,OVER,Blocked Shots,222,0.6216216216216216,0.7517678939159057,89,0.6741573033707865,0.0525356817491649,0.16066899648010743,OK,D,HOLD,D,GOBLIN,at_target,
MLB,MLB,DEMON,D,OVER,Runs,7585,0.26446934739617667,0.1295,5155,0.3163918525703201,0.05192250517414343,0.15734764662026152,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_confident,APPLY_FLOOR
CBB,CBB,STANDARD,C,OVER,pa,187,0.5240641711229946,0.9042279130976077,94,0.574468085106383,0.05040391398338839,0.3091755115847204,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
MLB,MLB,DEMON,D,OVER,Hits Allowed,487,0.2546201232032854,0.1295,207,0.30434782608695654,0.04972770288367112,0.24558909066094392,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
