sport_disp,pick_type_group,n_total,hit_rate,mean_ml_prob,avg_cal_gap,avg_lift,ok_rate,segment_rating,segment_score,segment_tier_abcd
CBB,Demon,4922,0.24299065420560748,0.23123469437367816,0.0,0.0,0.0,D,0.19688000000000003,C
CBB,Goblin,7832,0.6207865168539326,0.7991128114508854,0.22367525158555832,0.07590161829244936,1.0,A,1.7053017002575241,B
CBB,Standard OVER,4255,0.4709753231492362,0.7316737811093088,0.28983988141533334,0.05614091615284404,1.0,B,1.7878466971658316,A
CBB,Standard UNDER,4608,0.5464409722222222,0.5612883392429877,0.05094730898824313,0.1056687927993608,1.0,A,1.9058568162128446,A
MLB,Demon,59753,0.2073536056767024,0.19882126793151317,0.19651579008579625,0.03544244943472628,1.0,A,1.0753643034438989,A
MLB,Goblin,15707,0.5992232762462596,0.5010134682241691,0.2103561399142218,0.004557891008387555,1.0,B,1.6569608720030953,B
MLB,Standard OVER,1740,0.4442528735632184,0.40070598958333337,0.1919791451208454,0.00844146346559687,1.0,A,1.713016770471797,B
MLB,Standard UNDER,1217,0.5414954806902219,0.5379988496302383,0.15912440061884853,0.0,0.0,D,0.9234085390312963,B
NBA,Demon,18634,0.3534936138241923,0.5832532317341109,0.26792326247132775,0.005648267155347457,0.3966530981456355,D,0.44658920109859984,B
NBA,Goblin,61176,0.6480155616581667,0.7807229009387162,0.163815798594616,0.03485852953118723,1.0,A,1.7472851859834164,A
NBA,Standard OVER,19890,0.49708396178984415,0.6922080457531967,0.23607306376009174,0.02782371274526364,1.0,A,1.8505893825586452,A
NBA,Standard UNDER,14949,0.518362432269717,0.47859447633770963,0.11375848828840056,0.025074317845729166,1.0,A,1.889222259246508,A
NBA1H,Demon,25,0.52,0.963004,0.0,0.0,0.0,D,0.001,D
NBA1H,Goblin,11,0.9090909090909091,0.9620090909090909,0.0,0.0,0.0,D,1.1821481818181818,D
NBA1H,Standard OVER,1589,0.6878539962240403,0.9123551524288047,0.2993059889012218,0.04813656928894113,1.0,D,1.5419761080215393,C
NBA1H,Standard UNDER,271,0.36900369003690037,0.7706907749077491,0.18142725252525255,0.0,0.0,D,0.7954914264005367,D
NBA1Q,Demon,3937,0.6220472440944882,0.8374870812924115,0.29602519858135967,0.0,0.0,D,0.024268660638388145,D
NBA1Q,Goblin,3699,0.8572587185725872,0.889576007325782,0.0847439534766769,0.03355439815747148,1.0,A,2.0074899897826413,A
NBA1Q,Standard OVER,1153,0.7354726799653079,0.8610911205251494,0.15536628013367834,0.1053822128855424,1.0,D,1.5660862684844765,B
NBA1Q,Standard UNDER,226,0.26991150442477874,0.7267871681415928,0.21672354545454545,0.0,0.0,D,0.6791659089702333,D
NHL,Demon,9873,0.20530740403119618,0.23845333557881226,0.22347371780758601,0.029299506465454324,0.8998639918395104,A,0.9620535312799634,A
NHL,Goblin,1042,0.16122840690978887,0.44737425680294457,0.3005775992477683,0.0,1.0,D,0.9356547692460067,D
NHL,Standard OVER,669,0.23766816143497757,0.41765307091673903,0.0,0.0,0.0,D,0.7577381614349776,D
NHL,Standard UNDER,2516,0.7492050874403816,0.7025756081403823,0.2904359190391409,0.017388897277165416,1.0,D,1.5016648630390128,B
Soccer,Demon,7436,0.18222162452931684,0.0856429291483047,0.12747889144914895,0.007932003016961675,0.7292993630573248,C,0.8132815310300063,B
Soccer,Goblin,1536,0.4192708333333333,0.4687758418931245,0.2414280536757685,0.09754606315981766,1.0,D,1.3407733866527507,C
Soccer,Standard OVER,344,0.25,0.22569795578838311,0.0,0.0,0.0,D,0.76032,D
Soccer,Standard UNDER,92,0.6956521739130435,0.3599390451555976,0.0,0.0,0.0,D,0.8071078260869565,C
