sport_disp,pipeline_group,tier_group,prop,direction,pick_type_group,def_tier_norm,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
CBB,CBB,C,reb,OVER,Goblin,Elite,low,157,96.0,0.8105703560189371,1.0,1.0,0.0,0.6114649681528662
CBB,CBB,D,pra,OVER,Demon,Weak,xl,155,44.0,,1.0,1.0,0.0,0.2838709677419355
CBB,CBB,D,pra,OVER,Demon,Elite,xl,151,42.0,,1.0,1.0,0.0,0.2781456953642384
CBB,CBB,C,pts,OVER,Goblin,Elite,high,148,80.0,0.8248616900918591,1.0,1.0,0.0,0.5405405405405406
CBB,CBB,D,reb,OVER,Demon,Elite,mid,145,33.0,,1.0,1.0,0.0,0.22758620689655173
CBB,CBB,C,stl,OVER,Goblin,Elite,micro,143,91.0,0.8485866949163635,1.0,1.0,0.0,0.6363636363636364
CBB,CBB,D,pts,OVER,Demon,Elite,high,139,32.0,0.289473682641983,1.0,1.0,0.0,0.2302158273381295
CBB,CBB,D,pts,OVER,Demon,Weak,xl,138,38.0,,1.0,1.0,0.0,0.2753623188405797
CBB,CBB,D,reb,OVER,Demon,Weak,mid,137,20.0,,1.0,1.0,0.0,0.145985401459854
CBB,CBB,D,reb,OVER,Demon,Avg,mid,133,36.0,0.1280000060796738,1.0,1.0,0.0,0.2706766917293233
CBB,CBB,D,3pm,OVER,Demon,Elite,low,132,34.0,,1.0,1.0,0.0,0.25757575757575757
CBB,CBB,C,reb,OVER,Goblin,Elite,mid,128,77.0,0.8024177898573038,1.0,1.0,0.0,0.6015625
CBB,CBB,D,pts,OVER,Demon,Avg,xl,125,46.0,0.23642171919345864,1.0,1.0,0.0,0.368
CBB,CBB,D,pra,OVER,Standard OVER,Elite,xl,124,52.0,0.6951000330604666,1.0,1.0,0.0,0.41935483870967744
CBB,CBB,B,pts,OVER,Goblin,Elite,high,118,69.0,0.7788991070395944,1.0,1.0,0.0,0.5847457627118644
CBB,CBB,A,pts,OVER,Goblin,Elite,high,117,81.0,0.8639990610183523,1.0,1.0,0.0,0.6923076923076923
CBB,CBB,D,pts,OVER,Demon,Elite,xl,114,31.0,0.289473682641983,1.0,1.0,0.0,0.2719298245614035
CBB,CBB,D,stl,OVER,Demon,Elite,low,110,26.0,,1.0,1.0,0.0,0.23636363636363636
CBB,CBB,C,pra,OVER,Goblin,Elite,xl,107,57.0,0.7793983997588305,1.0,1.0,0.0,0.5327102803738317
CBB,CBB,D,pra,OVER,Demon,(missing),xl,105,24.0,0.14387520551681518,1.0,0.0,0.0,0.22857142857142856
CBB,CBB,D,pts,OVER,Demon,(missing),xl,105,22.0,0.12273773923516273,1.0,0.0,0.0,0.20952380952380953
CBB,CBB,D,ast,OVER,Demon,Elite,low,104,23.0,,1.0,1.0,0.0,0.22115384615384615
CBB,CBB,D,reb,OVER,Goblin,Elite,low,103,67.0,0.6422614531263992,1.0,1.0,0.0,0.6504854368932039
CBB,CBB,D,pra,OVER,Demon,Avg,xl,102,35.0,,1.0,1.0,0.0,0.3431372549019608
CBB,CBB,D,pts,OVER,Standard OVER,Elite,high,101,40.0,0.6937465792795287,1.0,1.0,0.0,0.39603960396039606
CBB,CBB,D,stl,OVER,Demon,Weak,low,100,26.0,,1.0,1.0,0.0,0.26
CBB,CBB,C,ast,OVER,Goblin,Elite,low,99,62.0,0.8446688954236131,1.0,1.0,0.0,0.6262626262626263
CBB,CBB,A,pts,OVER,Goblin,Weak,high,98,64.0,0.8838037906780916,1.0,1.0,0.0,0.6530612244897959
CBB,CBB,C,pts,OVER,Goblin,Elite,mid,97,55.0,0.8173892633853057,1.0,1.0,0.0,0.5670103092783505
CBB,CBB,D,3pm,OVER,Demon,Weak,low,96,24.0,,1.0,1.0,0.0,0.25
