sport_disp,pipeline_group,tier_group,prop,direction,pick_type_group,def_tier_norm,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA,NBA,A,Pts+Rebs+Asts,OVER,Goblin,Weak,xl,216,150.0,0.8677571176507882,1.0,1.0,1.0,0.6944444444444444
NBA,NBA,A,Rebounds,OVER,Goblin,Above Avg,low,174,125.0,0.8578508702885651,1.0,1.0,0.9942528735632183,0.7183908045977011
NBA,NBA,A,Fantasy Score,OVER,Goblin,Avg,xl,162,129.0,0.9028471210090755,1.0,1.0,0.9938271604938271,0.7962962962962963
NBA,NBA,A,Fantasy Score,OVER,Goblin,Weak,xl,160,129.0,0.9065068677906916,1.0,1.0,1.0,0.80625
NBA,NBA,A,Points,OVER,Goblin,Elite,mid,157,96.0,0.8392881459276768,1.0,1.0,1.0,0.6114649681528662
NBA,NBA,A,Fantasy Score,OVER,Goblin,Above Avg,xl,153,126.0,0.8861616428510233,1.0,1.0,1.0,0.8235294117647058
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Above Avg,high,143,115.0,0.8739063008319913,1.0,1.0,0.993006993006993,0.8041958041958042
NBA,NBA,A,Rebounds,OVER,Goblin,Elite,low,141,103.0,0.8280651414112341,1.0,1.0,1.0,0.7304964539007093
NBA,NBA,A,Fantasy Score,OVER,Goblin,Elite,xl,136,100.0,0.8879848353806419,1.0,1.0,1.0,0.7352941176470589
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Weak,xl,134,95.0,0.8283604387629938,1.0,1.0,1.0,0.7089552238805971
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Avg,mid,131,92.0,0.8468112623637765,1.0,1.0,1.0,0.7022900763358778
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Weak,high,124,84.0,0.8516907923287756,1.0,1.0,1.0,0.6774193548387096
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Avg,xl,119,84.0,0.8466587194833012,1.0,1.0,1.0,0.7058823529411765
NBA,NBA,A,Assists,OVER,Goblin,Above Avg,low,114,86.0,0.8300751877455556,1.0,1.0,1.0,0.7543859649122807
NBA,NBA,A,Pts+Rebs+Asts,OVER,Goblin,Above Avg,xl,114,73.0,0.8681698396118729,1.0,1.0,1.0,0.6403508771929824
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Avg,high,113,78.0,0.8701794709469574,1.0,1.0,1.0,0.6902654867256637
NBA,NBA,A,Rebounds,OVER,Goblin,Avg,mid,110,71.0,0.8229019272863616,1.0,1.0,1.0,0.6454545454545455
NBA,NBA,A,Rebounds,OVER,Goblin,Weak,mid,107,83.0,0.832860210643292,1.0,1.0,1.0,0.7757009345794392
NBA,NBA,A,Fantasy Score,OVER,Standard OVER,Weak,xl,106,64.0,0.891915597001535,1.0,1.0,1.0,0.6037735849056604
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Elite,high,106,65.0,0.8469721583088732,1.0,1.0,1.0,0.6132075471698113
NBA,NBA,A,Pts+Rebs+Asts,OVER,Goblin,Weak,high,105,68.0,0.8733488508756982,1.0,1.0,0.9904761904761905,0.6476190476190476
NBA,NBA,A,Pts+Asts,OVER,Goblin,Weak,xl,101,71.0,0.841992433001138,1.0,1.0,1.0,0.7029702970297029
NBA,NBA,A,Points,OVER,Goblin,Elite,high,100,66.0,0.8457252547490044,1.0,1.0,1.0,0.66
NBA,NBA,A,Fantasy Score,OVER,Standard OVER,Avg,xl,99,54.0,0.9043457535160433,1.0,1.0,1.0,0.5454545454545454
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Above Avg,mid,95,69.0,0.8676291342551211,1.0,1.0,1.0,0.7263157894736842
NBA,NBA,A,Pts+Asts,OVER,Goblin,Avg,xl,94,66.0,0.8309244770176739,1.0,1.0,1.0,0.7021276595744681
NBA,NBA,A,Points,OVER,Goblin,Avg,xl,93,54.0,0.8181351050956787,1.0,1.0,1.0,0.5806451612903226
NBA,NBA,A,Fantasy Score,OVER,Standard OVER,Above Avg,xl,91,52.0,0.8964440039485965,1.0,1.0,1.0,0.5714285714285714
NBA,NBA,A,Points,OVER,Goblin,Weak,xl,91,53.0,0.8376725609463292,1.0,1.0,1.0,0.5824175824175825
NBA,NBA,A,Assists,OVER,Goblin,Elite,low,89,66.0,0.7935170025844446,1.0,1.0,1.0,0.7415730337078652
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Above Avg,xl,87,60.0,0.8567736531339768,1.0,1.0,1.0,0.6896551724137931
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Above Avg,high,78,51.0,0.8992452929692263,1.0,1.0,1.0,0.6538461538461539
NBA,NBA,A,Pts+Asts,OVER,Goblin,Elite,high,76,44.0,0.8133137405529611,1.0,1.0,1.0,0.5789473684210527
NBA,NBA,B,Pts+Asts,OVER,Goblin,Elite,high,74,49.0,0.7675398790157902,1.0,1.0,1.0,0.6621621621621622
NBA,NBA,A,Rebounds,OVER,Goblin,Above Avg,mid,67,52.0,0.8950646842327603,1.0,1.0,1.0,0.7761194029850746
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Avg,low,65,49.0,0.8579940858478176,1.0,1.0,1.0,0.7538461538461538
NBA,NBA,B,Pts+Rebs+Asts,OVER,Goblin,Elite,high,65,36.0,0.755009868532149,1.0,1.0,1.0,0.5538461538461539
