sport,prop,n,hits,mean_ml,hit_rate
cbb,3pm,56,39.0,0.6678525454178373,0.6964285714285714
cbb,fantasy,49,33.0,0.6799605818001592,0.673469387755102
cbb,fantasy score,206,129.0,0.8512258930110211,0.6262135922330098
cbb,stl,518,317.0,0.7906697005199785,0.611969111969112
cbb,ast,774,469.0,0.7752478552959311,0.6059431524547804
cbb,fg3m,336,192.0,0.7344028658121593,0.5714285714285714
cbb,pts,2152,1223.0,0.760372676105348,0.5683085501858736
cbb,reb,1271,721.0,0.7155865616542707,0.5672698662470496
mlb,Walks Allowed,97,64.0,0.3483472727272727,0.6597938144329897
mlb,Pitching Outs,57,30.0,0.37897941176470584,0.5263157894736842
mlb,Pitcher Strikeouts,243,105.0,0.27558309859154934,0.43209876543209874
mlb,Hits,4394,1584.0,0.3650491828553808,0.3604915794264907
mlb,Hits Allowed,188,66.0,0.3320111111111111,0.35106382978723405
mlb,Walks,2162,699.0,0.1961159147869674,0.3233117483811286
mlb,Total Bases,9380,2498.0,0.30043444844989187,0.26631130063965885
mlb,Runs,3034,768.0,0.23652901206973626,0.25313117996044826
nba,Defensive Rebounds,141,84.0,0.4646769879934832,0.5957446808510638
nba,3-PT Made,2673,1580.0,0.693355215210139,0.5910961466517022
nba,Points,9829,5767.0,0.7403029223841872,0.5867331366364839
nba,Fantasy Score,5039,2907.0,0.7735438476591293,0.5769001786068665
nba,Rebounds,6948,3985.0,0.7090034601085508,0.5735463442717329
nba,Assists,5582,3142.0,0.6944910140791184,0.5628806879254747
nba,Assists (Combo),162,91.0,0.48983125078898315,0.5617283950617284
nba,Pts+Rebs,8691,4866.0,0.7188065635892797,0.5598895409043838
nba1h,Fantasy Score,82,76.0,0.9135361132261536,0.926829268292683
nba1h,Pts+Rebs+Asts,268,178.0,0.8556537844347932,0.664179104477612
nba1h,Points,307,174.0,0.8177534778708604,0.5667752442996743
nba1q,Assists,638,501.0,0.8732618707015162,0.7852664576802508
nba1q,Points,1804,1300.0,0.8735936149911186,0.720620842572062
nba1q,Rebounds,786,557.0,0.8746361823340942,0.7086513994910941
nhl,Faceoffs Won,34,34.0,0.6890081818616577,1.0
nhl,hits,174,138.0,,0.7931034482758621
nhl,Power Play Points,322,235.0,0.07541243220858554,0.7298136645962733
nhl,time_on_ice,165,91.0,,0.5515151515151515
nhl,Hits,75,40.0,0.636407635975295,0.5333333333333333
nhl,Shots,64190,32095.0,,0.5
nhl,Time On Ice,74,37.0,0.33285543271280693,0.5
nhl,goals_allowed,24,12.0,,0.5
soccer,Shots Assisted,17,13.0,0.1696290034837267,0.7647058823529411
soccer,Goals Allowed,28,20.0,0.3925046349833718,0.7142857142857143
soccer,Shots On Target,899,478.0,0.13264655881879797,0.5317018909899889
soccer,Attempted Dribbles,18,7.0,0.1418887440970501,0.3888888888888889
soccer,Goalie Saves,811,290.0,0.29157017754981146,0.35758323057953145
soccer,Tackles,545,120.0,0.0699883274930209,0.22018348623853212
soccer,Shots,6179,1360.0,0.18460256483301105,0.2201003398608189
soccer,Fouls,1384,293.0,0.3384971785669825,0.21170520231213874
wcbb,reb,18,13.0,0.41907187344299424,0.7222222222222222
wcbb,pra,17,7.0,0.43832620101816516,0.4117647058823529
wcbb,ast,25,9.0,0.3068115547299385,0.36
wcbb,pts,46,14.0,0.4896842608957187,0.30434782608695654
wcbb,pr,16,4.0,0.4799710507504642,0.25
