sport,dimension,direction,n,hits,mean_ml,hit_rate,prop,minutes_tier,def_tier,h2h_bucket,role,pick_type,tier
cbb,direction,OVER,11962,6809.0,0.7763860285881108,0.5692191941146966,,,,,,,
cbb,direction,UNDER,4606,2517.0,0.5613309523277629,0.546461137646548,,,,,,,
cbb,prop,,509,330.0,0.8512258930110211,0.6483300589390962,fantasy score,,,,,,
cbb,prop,,62,40.0,0.6435456041030346,0.6451612903225806,fantasy,,,,,,
cbb,prop,,1278,785.0,0.764045176624354,0.6142410015649452,ast,,,,,,
cbb,prop,,892,544.0,0.782447886410769,0.6098654708520179,stl,,,,,,
cbb,prop,,336,201.0,0.6678525454178373,0.5982142857142857,3pm,,,,,,
cbb,prop,,609,350.0,0.6475333606042094,0.5747126436781609,tov,,,,,,
cbb,prop,,2209,1268.0,0.7064883414946486,0.5740153915799004,reb,,,,,,
cbb,prop,,3541,2022.0,0.7557848168509558,0.5710251341428975,pts,,,,,,
cbb,prop,,373,212.0,0.7208728754217351,0.5683646112600537,fg3m,,,,,,
cbb,prop,,294,162.0,0.7548853648130774,0.5510204081632653,blk,,,,,,
cbb,prop,,2383,1286.0,0.7158406178798993,0.5396558959295006,pra,,,,,,
cbb,prop,,1648,869.0,0.6772586492385476,0.5273058252427184,pr,,,,,,
cbb,prop,,1003,519.0,0.623183643720051,0.5174476570289133,ra,,,,,,
cbb,prop,,1315,678.0,0.6838100787511112,0.5155893536121673,pa,,,,,,
cbb,prop,,110,55.0,0.7196377821700956,0.5,stocks,,,,,,
cbb,minutes_tier,,553,319.0,0.5768790611870466,0.5768535262206148,,0,,,,,
cbb,minutes_tier,,15589,8784.0,0.7325583773929649,0.563474244659696,,(missing),,,,,
cbb,minutes_tier,,280,151.0,0.5983177281622376,0.5392857142857143,,1,,,,,
cbb,minutes_tier,,87,45.0,0.5905396325971889,0.5172413793103449,,2,,,,,
cbb,minutes_tier,,59,27.0,0.6039524105251846,0.4576271186440678,,3,,,,,
cbb,def_tier,,2539,1482.0,0.7342312568321351,0.5836943678613628,,,Avg,,,,
cbb,def_tier,,2512,1450.0,0.7483211242734048,0.5772292993630573,,,Above Avg,,,,
cbb,def_tier,,2259,1288.0,0.727266516857879,0.5701637892872953,,,Weak,,,,
cbb,def_tier,,2541,1415.0,0.6551794175213641,0.5568673750491933,,,elite,,,,
cbb,def_tier,,3504,1942.0,0.7902292741851314,0.5542237442922374,,,Elite,,,,
cbb,def_tier,,1924,1056.0,0.7084288313864433,0.5488565488565489,,,(missing),,,,
cbb,def_tier,,682,372.0,0.6698060927487672,0.5454545454545454,,,good,,,,
cbb,def_tier,,405,216.0,0.6334731055545633,0.5333333333333333,,,weak,,,,
cbb,def_tier,,202,105.0,0.7104499514209702,0.5198019801980198,,,average,,,,
cbb,h2h_bucket,,16568,9326.0,0.7185615518897092,0.562892322549493,,,,(not in graded export),,,
cbb,role,,16568,9326.0,0.7185615518897092,0.562892322549493,,,,,(missing),,
cbb,pick_type,,7738,4814.0,0.8018611078235912,0.6221245799948307,,,,,,Goblin,
cbb,pick_type,,8830,4512.0,0.6486000815661832,0.5109852774631937,,,,,,Standard,
cbb,tier,,1913,1203.0,0.8373752454030543,0.628855201254574,,,,,,,A
cbb,tier,,2587,1562.0,0.7585253817257023,0.6037881716273676,,,,,,,B
cbb,tier,,8101,4532.0,0.7340502913012115,0.5594371065300581,,,,,,,C
cbb,tier,,3967,2029.0,0.6089849219191246,0.5114696244013108,,,,,,,D
mlb,direction,OVER,47581,27907.0,0.6220006889019453,0.5865156259851622,,,,,,,
mlb,direction,UNDER,4476,2413.0,0.4894099928150936,0.5390974084003575,,,,,,,
mlb,prop,,830,541.0,0.5978265760197775,0.6518072289156627,Walks Allowed,,,,,,
mlb,prop,,1583,983.0,0.5572181112548512,0.6209728363866077,Hits Allowed,,,,,,
mlb,prop,,3975,2420.0,0.8304060628930817,0.6088050314465409,Hits+Runs+RBIs,,,,,,
