sport,dimension,direction,n,hits,mean_ml,hit_rate,prop,minutes_tier,def_tier,h2h_bucket,role,pick_type,tier,bucket
cbb,def_tier,,801,477.0,0.7443212078772165,0.5955056179775281,,,Avg,,,,,best
cbb,def_tier,,919,541.0,0.7527457987126299,0.588683351468988,,,Above Avg,,,,,best
cbb,def_tier,,3009,1707.0,0.7341595335662929,0.5672981056829511,,,(missing),,,,,best
cbb,direction,UNDER,2759,1553.0,0.5613309523277629,0.5628851032982964,,,,,,,,best
cbb,direction,OVER,7109,3984.0,0.7880142787150519,0.5604163736109158,,,,,,,,best
cbb,minutes_tier,,9282,5225.0,0.7325583773929649,0.5629174746821806,,(missing),,,,,,best
cbb,minutes_tier,,223,123.0,0.6123475081883204,0.5515695067264574,,1,,,,,,best
cbb,minutes_tier,,244,129.0,0.5818760026392878,0.5286885245901639,,0,,,,,,best
cbb,pick_type,,4447,2733.0,0.8125155585885826,0.6145716213177423,,,,,,Goblin,,best
cbb,pick_type,,5421,2804.0,0.6525454557856806,0.517247740269323,,,,,,Standard,,best
cbb,prop,,206,129.0,0.8512258930110211,0.6262135922330098,fantasy score,,,,,,,best
cbb,prop,,518,317.0,0.7906697005199785,0.611969111969112,stl,,,,,,,best
cbb,prop,,774,469.0,0.7752478552959311,0.6059431524547804,ast,,,,,,,best
cbb,tier,,1054,677.0,0.8373752454030543,0.642314990512334,,,,,,,A,best
cbb,tier,,1580,960.0,0.7598271959010976,0.6075949367088608,,,,,,,B,best
cbb,tier,,5048,2818.0,0.7363455926283771,0.5582408874801902,,,,,,,C,best
mlb,def_tier,,22540,6120.0,0.2685996313976675,0.2715173025732031,,,(missing),,,,,best
mlb,direction,UNDER,243,114.0,0.4959958847736626,0.4691358024691358,,,,,,,,best
mlb,direction,OVER,22297,6006.0,0.2652108610327486,0.2693635915145535,,,,,,,,best
mlb,minutes_tier,,5980,1694.0,,0.2832775919732441,,Low,,,,,,best
mlb,minutes_tier,,9438,2525.0,0.2757904005085823,0.2675354948082221,,0,,,,,,best
mlb,minutes_tier,,7094,1887.0,0.2582208627008739,0.2659994361432196,,DNP Risk,,,,,,best
mlb,pick_type,,4172,2364.0,0.7194858121330724,0.5666347075743049,,,,,,goblin,,best
mlb,pick_type,,605,281.0,0.621568988764045,0.4644628099173554,,,,,,standard,,best
mlb,pick_type,,17763,3475.0,0.1505225954901058,0.195631368575128,,,,,,demon,,best
mlb,prop,,243,105.0,0.2755830985915493,0.4320987654320987,Pitcher Strikeouts,,,,,,,best
mlb,prop,,4394,1584.0,0.3650491828553808,0.3604915794264907,Hits,,,,,,,best
mlb,prop,,2162,699.0,0.1961159147869674,0.3233117483811286,Walks,,,,,,,best
mlb,tier,,2571,1442.0,0.8771166926677068,0.5608712563204978,,,,,,,A,best
mlb,tier,,524,262.0,0.8153378306878307,0.5,,,,,,,C,best
mlb,tier,,368,183.0,0.868576618705036,0.4972826086956521,,,,,,,B,best
