prop,n,hits,hit_rate
Faceoffs Won,52,52.0,1.0
double-double,1,1.0,1.0
points (combo),5,4.0,0.8
Power Play Points,623,467.0,0.7495987158908507
hits,436,324.0,0.7431192660550459
Goals Allowed,45,33.0,0.7333333333333333
fantasy,62,40.0,0.6451612903225806
Shots Assisted,30,19.0,0.6333333333333333
goalie_saves,152,95.0,0.625
Fantasy Score,6396,3791.0,0.5927141963727329
Rebounds,11716,6890.0,0.5880846705360191
fantasy score,635,366.0,0.5763779527559055
Rebounds (Combo),376,213.0,0.5664893617021277
3-PT Made,4380,2461.0,0.5618721461187215
Defensive Rebounds,264,148.0,0.5606060606060606
Pts+Rebs,12166,6801.0,0.559016932434654
Time On Ice,136,75.0,0.5514705882352942
fg3m,394,217.0,0.550761421319797
Pts+Asts,10211,5619.0,0.5502889041230046
3-PT Made (Combo),100,55.0,0.55
Pts+Rebs+Asts,13347,7293.0,0.5464149247021802
tov,732,398.0,0.5437158469945356
Assists (Combo),360,195.0,0.5416666666666666
Steals,5039,2727.0,0.5411788053185156
Rebs+Asts,11645,6289.0,0.5400601116358952
Two Pointers Attempted,1250,669.0,0.5352
Two Pointers Made,1321,704.0,0.5329295987887964
Free Throws Attempted,1366,717.0,0.5248901903367497
Points,85497,44662.0,0.5223809022538802
Turnovers,3658,1903.0,0.5202296336796064
Offensive Rebounds,312,162.0,0.5192307692307693
Points (Combo),1090,561.0,0.5146788990825688
Blks+Stls,4037,2076.0,0.5142432499380728
ra,1041,535.0,0.5139289145052833
3-PT Attempted,1147,588.0,0.5126416739319966
Personal Fouls,1346,689.0,0.5118870728083209
Pitching Outs,202,103.0,0.5099009900990099
FG Attempted,3187,1623.0,0.5092563539378726
pa,1348,683.0,0.5066765578635015
Free Throws Made,1455,735.0,0.5051546391752577
Walks Allowed,341,172.0,0.5043988269794721
pr,1822,916.0,0.5027442371020856
Assists,78076,39099.0,0.5007812900251037
Blocks,1728,864.0,0.5
FTA,1728,864.0,0.5
PRA,1728,864.0,0.5
Threes,1728,864.0,0.5
pts,4601,2298.0,0.49945663986089983
FG Made,1289,643.0,0.49883630721489525
time_on_ice,445,219.0,0.49213483146067416
Goals,67962,33285.0,0.48975898296106646
ast,1896,921.0,0.48575949367088606
stl,1360,657.0,0.48308823529411765
pra,3036,1461.0,0.48122529644268774
Shots,72119,34429.0,0.47739153343779034
stocks,133,63.0,0.47368421052631576
reb,3205,1501.0,0.46833073322932917
Blocked Shots,1848,853.0,0.4615800865800866
Shots On Target,1414,637.0,0.4504950495049505
blk,444,195.0,0.4391891891891892
Hits Allowed,688,284.0,0.4127906976744186
goals_allowed,78,32.0,0.41025641025641024
Goalie Saves,1184,464.0,0.3918918918918919
Hits,8128,3016.0,0.37106299212598426
plus/minus,2251,827.0,0.3673922701021768
blocked_shots,633,232.0,0.3665086887835703
Pitcher Strikeouts,893,321.0,0.3594624860022396
3pm,902,324.0,0.35920177383592017
Goal + Assist,1985,677.0,0.3410579345088161
Plus/Minus,529,179.0,0.3383742911153119
Attempted Dribbles,31,10.0,0.3225806451612903
Walks,3922,1256.0,0.32024477307496174
points,7283,2232.0,0.3064671151997803
Total Bases,16846,4691.0,0.2784637302623768
faceoffs_won,221,61.0,0.27601809954751133
Runs,5573,1522.0,0.27310245828099766
Fouls,2255,613.0,0.27184035476718404
assists,5637,1441.0,0.2556324285967713
Tackles,839,176.0,0.2097735399284863
Shots On Goal,2627,546.0,0.20784164446136277
Double-Double,508,98.0,0.19291338582677164
goals,5984,1117.0,0.1866644385026738
Crosses,12,2.0,0.16666666666666666
Triple-Double,25,4.0,0.16
Stolen Bases,1919,225.0,0.11724856696195936
Home Runs,3437,362.0,0.1053244108233925
shots_on_goal,5364,275.0,0.05126771066368382
Clearances,33,1.0,0.030303030303030304
Passes Attempted,112,0.0,0.0
