_sport,direction,pick_type,n,hits,hit_rate
nba1h,OVER,goblin,8,8.0,1.0
nba1q,OVER,goblin,2692,2328.0,0.8647845468053492
nhl,UNDER,standard,2110,1702.0,0.8066350710900474
nba1q,OVER,standard,853,658.0,0.7713950762016413
soccer,UNDER,standard,60,44.0,0.7333333333333333
nba1h,OVER,standard,1272,909.0,0.714622641509434
nba,OVER,goblin,53967,35062.0,0.6496933311097522
nba1q,OVER,demon,3224,2074.0,0.6433002481389578
cbb,OVER,goblin,7738,4814.0,0.6221245799948307
nhl,UNDER,(missing),131137,79096.0,0.6031554786215942
mlb,OVER,goblin,7723,4518.0,0.5850058267512624
nba,UNDER,(missing),12934,7190.0,0.5558991804546157
cbb,UNDER,standard,4606,2517.0,0.546461137646548
soccer,UNDER,(missing),195,106.0,0.5435897435897435
nba,UNDER,standard,13002,6706.0,0.5157668051069066
wcbb,OVER,goblin,94,48.0,0.5106382978723404
mlb,UNDER,standard,409,208.0,0.508557457212714
wcbb,UNDER,standard,2,1.0,0.5
nba,OVER,standard,16690,8312.0,0.49802276812462554
cbb,OVER,standard,4224,1995.0,0.47230113636363635
mlb,OVER,standard,1028,479.0,0.4659533073929961
nba1h,OVER,demon,11,5.0,0.45454545454545453
nba,OVER,(missing),12934,5744.0,0.4441008195453843
soccer,OVER,goblin,1377,578.0,0.41975308641975306
nba1h,UNDER,standard,185,71.0,0.3837837837837838
nhl,OVER,(missing),156361,57266.0,0.366242221525828
nba,OVER,demon,16386,5764.0,0.3517637007201269
soccer,OVER,(missing),10552,3561.0,0.3374715693707354
nba1q,UNDER,standard,162,53.0,0.3271604938271605
wcbb,OVER,standard,31,9.0,0.2903225806451613
cbb,OVER,demon,4753,1167.0,0.2455291394908479
soccer,OVER,standard,327,79.0,0.2415902140672783
nhl,OVER,demon,6897,1512.0,0.2192257503262288
mlb,OVER,demon,32675,6688.0,0.20468247895944913
nhl,OVER,standard,560,110.0,0.19642857142857142
soccer,OVER,demon,6330,1236.0,0.195260663507109
nhl,OVER,goblin,684,129.0,0.18859649122807018
wcbb,OVER,demon,169,29.0,0.17159763313609466
