dominant_prop_type,n,cashes,avg_net_10,cash_rate
Free Throws Made,3,3.0,20.0,1.0
Pitching Outs,1,1.0,20.0,1.0
3-PT Made,7,5.0,14.242857142857144,0.7142857142857143
Pts+Asts,6,4.0,-0.4166666666666667,0.6666666666666666
Pts+Rebs,7,4.0,0.34285714285714264,0.5714285714285714
Points,24,12.0,-6.4750000000000005,0.5
Assists,10,5.0,11.0,0.5
Pts+Rebs+Asts,2,1.0,5.0,0.5
Rebounds,14,6.0,2.1214285714285714,0.42857142857142855
Total Bases,8,3.0,8.75,0.375
blocked_shots,9,3.0,3.3333333333333335,0.3333333333333333
Shots,10,3.0,-1.5399999999999998,0.3
Goalie Saves,7,0.0,-10.0,0.0
shots_on_goal,2,0.0,-10.0,0.0
Pitcher Strikeouts,1,0.0,-10.0,0.0
assists,1,0.0,-10.0,0.0
