section,additive_threshold,additive_date,additive_built,additive_n_legs,additive_legs_hit,additive_all_hit,additive_leg_hr,additive_reason,additive_sports,additive_players,additive_categories,additive_min_ml,additive_max_ml,additive_eligible_days,additive_build_rate_pct,additive_avg_legs_built,additive_all_hit_pct,additive_avg_leg_hr,additive_all_2_hit_pct,additive_all_3_hit_pct,additive_days_2_legs,additive_days_3_legs,additive_days,additive_pct_of_built,additive_highT_threshold,additive_highT_date,additive_highT_built,additive_highT_n_legs,additive_highT_legs_hit,additive_highT_all_hit,additive_highT_leg_hr,additive_highT_reason,additive_highT_sports,additive_highT_players,additive_highT_categories,additive_highT_min_ml,additive_highT_max_ml,additive_highT_eligible_days,additive_highT_build_rate_pct,additive_highT_avg_legs_built,additive_highT_all_hit_pct,additive_highT_avg_leg_hr,additive_highT_all_2_hit_pct,additive_highT_all_3_hit_pct,additive_highT_days_2_legs,additive_highT_days_3_legs,additive_highT_days,additive_highT_pct_of_built,additive_highT_avg_legs_target,additive_highT_first_threshold_below
additive_daily_ticket,0.62,2026-04-16,1.0,2.0,1.0,0.0,0.5,,SOCCER,Terem Moffi ; Pablo Fornals,SOCCER|OVER|0.65-0.70;SOCCER|OVER|0.65-0.70,0.6733,0.6798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-17,1.0,6.0,2.0,0.0,0.3333,,NBA1Q,Goga Bitadze ; Coby White ; Gui Santos ; Franz Wagner ; Kon Knueppel ; Brandon Miller,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.9028,0.9167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-18,1.0,6.0,5.0,0.0,0.8333,,NBA1Q,CJ McCollum ; Ja'Kobe Walter ; Julius Randle ; Cameron Johnson ; Rui Hachimura ; Christian Braun,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.9164,0.9207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-19,1.0,6.0,5.0,0.0,0.8333,,NBA1Q,Dylan Harper ; Anthony Black ; Luguentz Dort ; Cade Cunningham ; Payton Pritchard ; Donovan Clingan,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.9005,0.9139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-20,1.0,6.0,6.0,1.0,1.0,,NBA1Q,Ja'Kobe Walter ; Cameron Johnson ; Christian Braun ; Sam Merrill ; Max Strus ; Mitchell Robinson,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.9051,0.9179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-21,1.0,6.0,5.0,0.0,0.8333,,NBA1Q,Quentin Grimes ; Jrue Holiday ; Josh Okogie ; Payton Pritchard ; Donovan Clingan ; Andre Drummond,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.9041,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-22,1.0,6.0,5.0,0.0,0.8333,,NBA1Q,Anthony Black ; Duncan Robinson ; Alex Caruso ; Kevin Huerter ; Isaiah Hartenstein ; Desmond Bane,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8327,0.9247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-23,1.0,6.0,4.0,0.0,0.6667,,NBA1Q,Sam Merrill ; Jamal Murray ; Jonathan Kuminga ; Ayo Dosunmu ; James Harden ; Brandon Ingram,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8595,0.9087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-24,1.0,6.0,6.0,1.0,1.0,,NBA1Q,Jake LaRavia ; Marcus Smart ; Jaxson Hayes ; Payton Pritchard ; Reed Sheppard ; Stephon Castle,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8629,0.9247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-25,1.0,6.0,6.0,1.0,1.0,,NBA1Q,Ayo Dosunmu ; Alex Caruso ; Cason Wallace ; Mitchell Robinson ; Ajay Mitchell ; Julius Randle,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8704,0.9125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-26,1.0,6.0,3.0,0.0,0.5,,NBA1Q,Ja'Kobe Walter ; Stephon Castle ; James Harden ; Brandon Ingram ; Collin Murray-Boyles ; Max Strus,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8566,0.9175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-27,1.0,6.0,4.0,0.0,0.6667,,NBA1Q,Bruce Brown ; Goga Bitadze ; Grayson Allen ; Chet Holmgren ; Julius Randle ; Oso Ighodaro,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8626,0.9152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-28,1.0,6.0,6.0,1.0,1.0,,NBA1Q,CJ McCollum ; Scoot Henderson ; Payton Pritchard ; Mitchell Robinson ; Josh Hart ; Stephon Castle,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.858,0.9138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-29,1.0,6.0,4.0,0.0,0.6667,,NBA1Q,Duncan Robinson ; Ja'Kobe Walter ; Jamal Shead ; Collin Murray-Boyles ; Evan Mobley ; Cade Cunningham,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8634,0.9158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-04-30,1.0,6.0,5.0,0.0,0.8333,,NBA1Q,Mikal Bridges ; Mike Conley ; Miles McBride ; Bones Hyland ; Mitchell Robinson ; Jayson Tatum,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8866,0.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-05-01,1.0,6.0,6.0,1.0,1.0,,NBA1Q,Duncan Robinson ; Sam Merrill ; Sandro Mamukelashvili ; Luke Kennard ; Jalen Duren ; Anthony Black,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8892,0.9094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-05-02,1.0,6.0,5.0,0.0,0.8333,,NBA1Q,Payton Pritchard ; VJ Edgecombe ; Paul George ; Tyrese Maxey ; Jaylen Brown ; Joel Embiid,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.7577,0.9004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-05-03,1.0,6.0,6.0,1.0,1.0,,NBA1Q,Sam Merrill ; Desmond Bane ; Sandro Mamukelashvili ; Jarrett Allen ; Ja'Kobe Walter ; Jamal Cain,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8868,0.8986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-05-04,1.0,6.0,6.0,1.0,1.0,,NBA1Q,Dylan Harper ; Mike Conley ; Mitchell Robinson ; Paul George ; Julian Champagnie ; VJ Edgecombe,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8875,0.9034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-05-05,1.0,6.0,6.0,1.0,1.0,,NBA1Q,Luke Kennard ; Isaiah Stewart ; Alex Caruso ; Jaylin Williams ; Luguentz Dort ; Daniss Jenkins,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8838,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-05-06,0.0,0.0,0.0,0.0,,insufficient_locks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-05-07,1.0,6.0,3.0,0.0,0.5,,NBA1Q,Daniss Jenkins ; Jake LaRavia ; Dean Wade ; Cason Wallace ; Ausar Thompson ; Tobias Harris,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8838,0.9131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
additive_daily_ticket,0.62,2026-05-08,1.0,6.0,3.0,0.0,0.5,,NBA1Q,Mitchell Robinson ; Ayo Dosunmu ; Dylan Harper ; Josh Hart ; De'Aaron Fox ; VJ Edgecombe,NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+;NBA1Q|OVER|0.70+,0.8796,0.9064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
